epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8214,2.43083,4.84766,6.0715,2.29471,0,0.00078,0.27601,0.01893,0.00333,0.00093,0.26242,0.01168,0.00194,2.55587,4.43338,12.2735,2.33148,0,0.000545918,0.000545918,0.000545918
2,60.4582,2.31546,4.22126,4.49783,2.16995,0,0.03436,0.14604,0.02035,0.0063,0.03089,0.06328,0.00862,0.00244,2.61426,4.95681,58.2176,2.42928,0,0.00109068,0.00109068,0.00109068
3,77.8415,2.33201,4.10578,3.88053,2.1588,0,0.19902,0.26745,0.08996,0.02645,0.16505,0.21002,0.07233,0.02001,2.70522,6.25302,24.5323,2.33452,0,0.00162444,0.00162444,0.00162444
4,95.5454,2.28229,4.09531,3.27392,2.13224,0,0.35455,0.32682,0.27264,0.10061,0.28248,0.24767,0.21665,0.06462,2.53028,4.22244,10.3059,2.42037,0,0.00161749,0.00161749,0.00161749
5,112.755,2.31056,4.02725,2.8039,2.16067,0,0.34097,0.35794,0.27921,0.08885,0.32532,0.305,0.20407,0.06061,2.68301,5.39332,5.46892,2.483,0,0.00160099,0.00160099,0.00160099
6,129.712,2.19517,3.87439,2.44101,2.11625,0,0.26443,0.40842,0.25973,0.09328,0.20594,0.22671,0.11314,0.0264,2.56185,4.9643,7.9712,2.45115,0,0.00158448,0.00158448,0.00158448
7,146.851,2.19635,3.80988,2.27822,2.13495,0,0.45785,0.37811,0.41353,0.14097,0.36307,0.31405,0.28046,0.08899,2.22773,3.85092,3.83386,2.15089,0,0.00156798,0.00156798,0.00156798
8,163.828,2.13163,3.73643,2.09368,2.07276,0,0.52446,0.30901,0.33352,0.12074,0.55614,0.3191,0.32284,0.11037,2.64228,4.92499,3.63096,2.27031,0,0.00155148,0.00155148,0.00155148
9,181.094,2.14079,3.65767,2.09574,2.04119,0,0.36458,0.35753,0.30973,0.12031,0.33431,0.30512,0.26649,0.07699,2.28367,3.84279,2.84837,2.10797,0,0.00153497,0.00153497,0.00153497
10,198.599,2.11503,3.60187,2.00152,1.99966,0,0.47856,0.4111,0.39778,0.17195,0.54512,0.35481,0.3558,0.10942,2.29019,3.88566,2.39614,2.14559,0,0.00151847,0.00151847,0.00151847
11,215.849,2.0268,3.58102,1.95904,1.91244,0,0.5585,0.39754,0.39945,0.14906,0.51351,0.35594,0.34733,0.11911,2.46812,4.1056,2.64312,2.17884,0,0.00150197,0.00150197,0.00150197
12,233.352,2.02486,3.45302,1.85332,1.91131,0,0.41499,0.35054,0.34277,0.13368,0.42129,0.23874,0.2337,0.07414,2.48781,5.16096,2.60388,2.33411,0,0.00148546,0.00148546,0.00148546
13,251.062,2.02471,3.43147,1.8579,1.9366,0,0.35393,0.39143,0.35233,0.11804,0.51351,0.33502,0.3476,0.11526,2.36767,3.9651,2.81141,2.18622,0,0.00146896,0.00146896,0.00146896
14,268.239,1.96326,3.29634,1.7342,1.87743,0,0.45946,0.43595,0.40979,0.15374,0.3824,0.41615,0.28285,0.08509,2.12482,4.47628,2.34529,1.99886,0,0.00145246,0.00145246,0.00145246
15,285.301,1.9279,3.24983,1.7167,1.87239,0,0.63236,0.40274,0.43457,0.14856,0.48673,0.34977,0.33753,0.09984,2.71744,4.55646,2.1901,2.50782,0,0.00143595,0.00143595,0.00143595
16,302.476,1.93548,3.21445,1.67292,1.88714,0,0.48656,0.46467,0.44355,0.17186,0.61955,0.42508,0.41671,0.11552,2.36491,4.00543,2.32016,2.23658,0,0.00141945,0.00141945,0.00141945
