epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,69.4848,2.45727,4.92751,6.18394,2.25938,0,0.00144,0.46739,0.0582,0.01732,0.00092,0.3059,0.03819,0.00749,2.52784,4.56403,15.9102,2.16107,0,0.000545918,0.000545918,0.000545918
2,112.631,2.3964,4.24569,4.61655,2.16855,0,0.04858,0.08696,0.04074,0.01149,0.04069,0.08696,0.05146,0.01056,2.47506,6.0512,15.9694,2.26295,0,0.00109068,0.00109068,0.00109068
3,154.701,2.34824,4.17701,3.92107,2.18312,0,0.15806,0.10675,0.06294,0.01447,0.121,0.0198,0.01792,0.00442,2.76598,8.49273,8.55202,2.1539,0,0.00162444,0.00162444,0.00162444
4,197.676,2.29194,4.09363,3.29279,2.13832,0,0.13491,0.30318,0.08672,0.0308,0.12531,0.3051,0.08011,0.02102,2.81544,5.33179,16.8549,2.6188,0,0.00161749,0.00161749,0.00161749
5,239.656,2.2615,4.03578,2.88098,2.11263,0,0.3077,0.2764,0.21928,0.08117,0.18632,0.26359,0.1516,0.04432,2.54288,5.39095,5.53573,2.32346,0,0.00160099,0.00160099,0.00160099
6,281.285,2.24449,3.91167,2.5481,2.10952,0,0.59974,0.25349,0.29359,0.11564,0.51813,0.21605,0.22947,0.08188,2.49108,5.05318,18.3968,2.24437,0,0.00158448,0.00158448,0.00158448
7,323.279,2.22887,3.8048,2.35227,2.10176,0,0.29399,0.37034,0.27382,0.09429,0.24108,0.29814,0.21993,0.06629,2.50993,4.04361,5.77847,2.23693,0,0.00156798,0.00156798,0.00156798
8,363.969,2.13551,3.66768,2.24015,2.09996,0,0.50344,0.44247,0.43129,0.14077,0.43365,0.32332,0.27571,0.09787,2.36691,3.86647,3.78322,2.23446,0,0.00155148,0.00155148,0.00155148
9,405.206,2.14438,3.61056,2.1154,2.10318,0,0.3034,0.46817,0.35186,0.12342,0.25823,0.3979,0.30328,0.08432,2.32149,4.33737,5.78931,2.18118,0,0.00153497,0.00153497,0.00153497
10,446.806,2.15083,3.59456,2.05511,2.07963,0,0.44412,0.35041,0.33,0.12324,0.41897,0.30693,0.30023,0.10105,2.37066,3.60956,7.20231,2.19275,0,0.00151847,0.00151847,0.00151847
11,487.526,2.08662,3.5043,1.94175,2.06073,0,0.48567,0.43866,0.42683,0.15664,0.42687,0.41304,0.34897,0.09296,2.48889,4.52963,3.14899,2.35131,0,0.00150197,0.00150197,0.00150197
12,528.219,2.0233,3.38447,1.86757,1.99309,0,0.58594,0.38936,0.4147,0.15443,0.49098,0.3389,0.32115,0.09847,2.21517,3.97892,2.49287,2.11845,0,0.00148546,0.00148546,0.00148546
13,570.13,2.00173,3.31752,1.8551,1.97437,0,0.30567,0.43595,0.35802,0.12768,0.55372,0.35287,0.34035,0.10844,2.33971,3.90944,2.90998,2.22516,0,0.00146896,0.00146896,0.00146896
14,610.961,1.99696,3.34531,1.77738,2.00928,0,0.58475,0.36452,0.43894,0.18086,0.45125,0.32298,0.3117,0.10488,2.20956,3.86105,2.10798,2.10963,0,0.00145246,0.00145246,0.00145246
15,652.515,1.95779,3.19429,1.72143,1.97892,0,0.48123,0.41069,0.37981,0.16719,0.66424,0.31793,0.37544,0.1346,2.25552,3.77929,2.71761,2.22582,0,0.00143595,0.00143595,0.00143595
16,695.158,1.93523,3.17778,1.68231,1.91827,0,0.55282,0.44876,0.47507,0.19839,0.53909,0.39635,0.36953,0.12782,2.18963,4.40989,1.96026,2.09412,0,0.00141945,0.00141945,0.00141945
17,737.785,1.8854,3.12096,1.68684,1.9231,0,0.51766,0.39907,0.42826,0.18336,0.43901,0.33191,0.3788,0.1338,2.16824,3.39843,2.26345,2.11556,0,0.00140295,0.00140295,0.00140295
18,780.035,1.86945,3.11167,1.63201,1.90032,0,0.60998,0.4309,0.41979,0.15725,0.44505,0.35205,0.32005,0.10623,2.33704,4.70445,2.26614,2.22216,0,0.00138644,0.00138644,0.00138644
19,821.669,1.8858,3.10414,1.62723,1.90343,0,0.64361,0.41956,0.44837,0.17433,0.4787,0.30823,0.32013,0.12433,2.48147,4.20749,2.45156,2.31887,0,0.00136994,0.00136994,0.00136994
20,863.812,1.87228,3.06859,1.61815,1.9093,0,0.55873,0.39063,0.41382,0.14767,0.5098,0.33385,0.3624,0.10761,2.24833,3.82126,2.51729,2.15759,0,0.00135344,0.00135344,0.00135344
21,907.158,1.82168,3.05832,1.6158,1.84043,0,0.61515,0.41498,0.46119,0.18835,0.57218,0.32959,0.40877,0.14197,2.19169,3.70858,2.49879,2.08493,0,0.00133693,0.00133693,0.00133693
22,949.141,1.83065,3.03632,1.51903,1.86644,0,0.52899,0.52085,0.5213,0.20674,0.49861,0.49415,0.44536,0.14232,2.15476,4.07009,1.84107,2.11352,0,0.00132043,0.00132043,0.00132043
23,992.134,1.80306,2.92511,1.48743,1.83831,0,0.59097,0.42585,0.45143,0.15876,0.56572,0.41304,0.36945,0.11037,2.19585,3.86082,1.86065,2.12207,0,0.00130393,0.00130393,0.00130393
24,1034.19,1.73791,2.92073,1.44704,1.78423,0,0.52929,0.4309,0.46193,0.19035,0.51185,0.4111,0.41745,0.14657,2.28353,3.9681,1.8969,2.20782,0,0.00128742,0.00128742,0.00128742
25,1077.14,1.7644,2.89066,1.45947,1.79193,0,0.49996,0.33437,0.4164,0.15057,0.48558,0.32026,0.36673,0.11698,2.24428,3.96397,2.18498,2.1431,0,0.00127092,0.00127092,0.00127092
26,1119.78,1.71929,2.86906,1.40202,1.76531,0,0.70607,0.40994,0.50561,0.19615,0.53636,0.37151,0.41015,0.14785,2.55201,4.01036,2.17129,2.31056,0,0.00125442,0.00125442,0.00125442
27,1161.47,1.72249,2.86217,1.35976,1.76621,0,0.458,0.50815,0.47682,0.17468,0.51829,0.34278,0.37767,0.12667,2.31937,4.09462,2.02935,2.21745,0,0.00123791,0.00123791,0.00123791
