epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7313,3.49291,5.23171,6.58183,3.83231,0,0,0,0,0,0,0,0,0,4.23201,5.14016,20.9863,4.08195,0,0.000545918,0.000545918,0.000545918
2,89.425,2.81636,4.56887,4.84661,3.13576,0,0.00031,0.11374,9e-05,1e-05,9e-05,0.01786,0,0,3.81172,4.9824,17.5764,3.54868,0,0.00109068,0.00109068,0.00109068
3,133.491,2.78205,4.50197,4.38295,2.87669,0,0.52486,0.1087,0.00843,0.00269,0.0012,0.35171,0.00532,0.00099,2.88583,4.50683,11.612,2.84236,0,0.00162444,0.00162444,0.00162444
4,177.05,2.66078,4.5288,3.73386,2.77254,0,0.13284,0.16033,0.06788,0.02399,0.14902,0.16925,0.06901,0.01764,2.91628,4.71478,11.2005,2.79258,0,0.00161749,0.00161749,0.00161749
5,220.928,2.6608,4.42173,3.38762,2.71884,0,0.25532,0.16694,0.08949,0.02377,0.23635,0.12267,0.07997,0.01636,2.84199,4.67805,7.31134,2.79356,0,0.00160099,0.00160099,0.00160099
6,264.573,2.60662,4.41186,3.1127,2.64895,0,0.2637,0.19915,0.19346,0.07681,0.30748,0.17042,0.17346,0.05341,2.69422,4.27811,5.33568,2.64823,0,0.00158448,0.00158448,0.00158448
7,308.404,2.5016,4.28026,2.80892,2.54909,0,0.20443,0.24457,0.14572,0.05518,0.16013,0.20109,0.10678,0.02789,2.38173,4.43439,4.77014,2.51672,0,0.00156798,0.00156798,0.00156798
8,352.345,2.54479,4.26168,2.67426,2.55613,0,0.12856,0.26708,0.08484,0.02425,0.07599,0.19682,0.03918,0.00774,2.70601,4.90013,6.36373,2.6709,0,0.00155148,0.00155148,0.00155148
9,395.937,2.4581,4.18861,2.56856,2.52261,0,0.38998,0.25636,0.24562,0.08866,0.3657,0.19915,0.19776,0.04938,2.45274,4.19205,7.02251,2.52313,0,0.00153497,0.00153497,0.00153497
10,440.37,2.41365,4.1514,2.43482,2.45095,0,0.36543,0.31289,0.21848,0.07901,0.29411,0.26941,0.17523,0.04395,2.4517,4.08818,7.45899,2.44878,0,0.00151847,0.00151847,0.00151847
11,484.407,2.39499,4.08495,2.36391,2.43744,0,0.3252,0.29503,0.2111,0.07322,0.28038,0.25349,0.17402,0.04723,2.48174,4.23039,4.21457,2.52229,0,0.00150197,0.00150197,0.00150197
