variant_id,run_id,family,focus,channel_kernel,channel_dilation,spatial_kernel,groups,robust_mode,fusion_mode,alpha,temperature,boundary_weight
0,SD000,A_RCCM,robust-channel,3,1,3,4,mad,sum,0.1,0.85,0.05
1,SD001,A_RCCM,robust-channel,5,1,5,8,rms,sum,0.15,1.0,0.1
2,SD002,A_RCCM,robust-channel,7,1,7,16,topk,sum,0.2,0.7,0.15
3,SD003,A_RCCM,robust-channel,3,2,3,4,mad,product,0.1,0.85,0.05
4,SD004,A_RCCM,robust-channel,5,2,5,8,rms,product,0.15,1.0,0.1
5,SD005,A_RCCM,robust-channel,7,2,7,16,topk,product,0.2,0.7,0.15
6,SD006,A_RCCM,robust-channel,3,3,3,4,mad,competitive,0.1,0.85,0.05
7,SD007,A_RCCM,robust-channel,5,3,5,8,rms,competitive,0.15,1.0,0.1
8,SD008,A_RCCM,robust-channel,7,3,7,16,topk,competitive,0.2,0.7,0.15
9,SD009,B_DCCM,dilated-channel,3,1,5,8,mad,sum,0.15,0.85,0.15
10,SD010,B_DCCM,dilated-channel,5,1,7,16,rms,sum,0.2,1.0,0.05
11,SD011,B_DCCM,dilated-channel,7,1,3,4,topk,sum,0.1,0.7,0.1
12,SD012,B_DCCM,dilated-channel,3,2,5,8,mad,product,0.15,0.85,0.15
13,SD013,B_DCCM,dilated-channel,5,2,7,16,rms,product,0.2,1.0,0.05
14,SD014,B_DCCM,dilated-channel,7,2,3,4,topk,product,0.1,0.7,0.1
15,SD015,B_DCCM,dilated-channel,3,3,5,8,mad,competitive,0.15,0.85,0.15
16,SD016,B_DCCM,dilated-channel,5,3,7,16,rms,competitive,0.2,1.0,0.05
17,SD017,B_DCCM,dilated-channel,7,3,3,4,topk,competitive,0.1,0.7,0.1
18,SD018,C_GASE,anisotropic-spatial,3,1,7,16,mad,sum,0.2,0.85,0.1
19,SD019,C_GASE,anisotropic-spatial,5,1,3,4,rms,sum,0.1,1.0,0.15
20,SD020,C_GASE,anisotropic-spatial,7,1,5,8,topk,sum,0.15,0.7,0.05
21,SD021,C_GASE,anisotropic-spatial,3,2,7,16,mad,product,0.2,0.85,0.1
22,SD022,C_GASE,anisotropic-spatial,5,2,3,4,rms,product,0.1,1.0,0.15
23,SD023,C_GASE,anisotropic-spatial,7,2,5,8,topk,product,0.15,0.7,0.05
24,SD024,C_GASE,anisotropic-spatial,3,3,7,16,mad,competitive,0.2,0.85,0.1
25,SD025,C_GASE,anisotropic-spatial,5,3,3,4,rms,competitive,0.1,1.0,0.15
26,SD026,C_GASE,anisotropic-spatial,7,3,5,8,topk,competitive,0.15,0.7,0.05
27,SD027,D_BDRE,boundary-density,3,1,3,4,mad,sum,0.1,0.85,0.05
28,SD028,D_BDRE,boundary-density,5,1,5,8,rms,sum,0.15,1.0,0.1
29,SD029,D_BDRE,boundary-density,7,1,7,16,topk,sum,0.2,0.7,0.15
30,SD030,D_BDRE,boundary-density,3,2,3,4,mad,product,0.1,0.85,0.05
31,SD031,D_BDRE,boundary-density,5,2,5,8,rms,product,0.15,1.0,0.1
32,SD032,D_BDRE,boundary-density,7,2,7,16,topk,product,0.2,0.7,0.15
33,SD033,D_BDRE,boundary-density,3,3,3,4,mad,competitive,0.1,0.85,0.05
34,SD034,D_BDRE,boundary-density,5,3,5,8,rms,competitive,0.15,1.0,0.1
35,SD035,D_BDRE,boundary-density,7,3,7,16,topk,competitive,0.2,0.7,0.15
36,SD036,E_CGRF,confidence-residual,3,1,5,8,mad,sum,0.15,0.85,0.15
37,SD037,E_CGRF,confidence-residual,5,1,7,16,rms,sum,0.2,1.0,0.05
38,SD038,E_CGRF,confidence-residual,7,1,3,4,topk,sum,0.1,0.7,0.1
39,SD039,E_CGRF,confidence-residual,3,2,5,8,mad,product,0.15,0.85,0.15
40,SD040,E_CGRF,confidence-residual,5,2,7,16,rms,product,0.2,1.0,0.05
41,SD041,E_CGRF,confidence-residual,7,2,3,4,topk,product,0.1,0.7,0.1
42,SD042,E_CGRF,confidence-residual,3,3,5,8,mad,competitive,0.15,0.85,0.15
43,SD043,E_CGRF,confidence-residual,5,3,7,16,rms,competitive,0.2,1.0,0.05
44,SD044,E_CGRF,confidence-residual,7,3,3,4,topk,competitive,0.1,0.7,0.1
45,SD045,F_DUAL,dual-domain,3,1,7,16,mad,sum,0.2,0.85,0.1
46,SD046,F_DUAL,dual-domain,5,1,3,4,rms,sum,0.1,1.0,0.15
47,SD047,F_DUAL,dual-domain,7,1,5,8,topk,sum,0.15,0.7,0.05
48,SD048,F_DUAL,dual-domain,3,2,7,16,mad,product,0.2,0.85,0.1
49,SD049,F_DUAL,dual-domain,5,2,3,4,rms,product,0.1,1.0,0.15
50,SD050,F_DUAL,dual-domain,7,2,5,8,topk,product,0.15,0.7,0.05
51,SD051,F_DUAL,dual-domain,3,3,7,16,mad,competitive,0.2,0.85,0.1
52,SD052,F_DUAL,dual-domain,5,3,3,4,rms,competitive,0.1,1.0,0.15
53,SD053,F_DUAL,dual-domain,7,3,5,8,topk,competitive,0.15,0.7,0.05
