split,image,group_key,disease,shrimp_id,mask_instances,is_labeled,class_ids,has_bg_mask,has_wssv_mask,is_coinfection
test,BG-13-img-2_jpg.rf.8e9d8f93a400155a1648c196d26a3e90.jpg,bg::13,bg,13,1,True,0,True,False,False
test,BG-2-img-1_jpg.rf.807563b950fd75d83301a0c2d920a1ee.jpg,bg::2,bg,2,1,True,0,True,False,False
test,BG-29-img-3_jpg.rf.0003ffc1905d215be85139ae238a1a37.jpg,bg::29,bg,29,1,True,0,True,False,False
test,BG-3-img-3_jpg.rf.bc789ff5f7d852ca316d91b349d79bf2.jpg,bg::3,bg,3,1,True,0,True,False,False
test,BG-32-img-1_jpg.rf.68ee5319c9cd9b9d932af3817b564812.jpg,bg::32,bg,32,1,True,0,True,False,False
test,BG-34-img-2_jpg.rf.32342e069f3b6eb45959ed1bfdc8bea2.jpg,bg::34,bg,34,1,True,0,True,False,False
test,BG-41-img-1_jpg.rf.aa13aa4fb34fb3e341ff4c47902d7db0.jpg,bg::41,bg,41,1,True,0,True,False,False
test,BG-42-img-3_jpg.rf.7310ba5be1ca1e0e5bf93e1737413fb5.jpg,bg::42,bg,42,1,True,0,True,False,False
test,BG-43-img-3_jpg.rf.1c35e11d5ddee02a69d1b02027476246.jpg,bg::43,bg,43,1,True,0,True,False,False
test,BG-5-img-1_jpg.rf.0c20206e55648442107bc4e5f6bceb25.jpg,bg::5,bg,5,1,True,0,True,False,False
test,BG-55-img-2_jpg.rf.6626fc4619253f3e6c9247a6ae39b3e1.jpg,bg::55,bg,55,1,True,0,True,False,False
test,BG-57-img-1_jpg.rf.82dab8c627a37ef6d6d7427f3ad867d2.jpg,bg::57,bg,57,1,True,0,True,False,False
test,BG-6-img-1_jpg.rf.eab7c9e98de9028dc40a0fb56a6c2684.jpg,bg::6,bg,6,1,True,0,True,False,False
test,BG-60-img-2_jpg.rf.c027dcda62b6fc0bb1bc3fff143ab45a.jpg,bg::60,bg,60,1,True,0,True,False,False
test,BG-66-img-3_jpg.rf.70654874b8219ef64c4f9e5c1da1dfbd.jpg,bg::66,bg,66,1,True,0,True,False,False
test,BG-67-img-2_jpg.rf.ebce637cf07b3ca4ac46ee4d597ceb3a.jpg,bg::67,bg,67,1,True,0,True,False,False
test,BG-71-img-2_jpg.rf.41f869350ad5f656a78357d9bf6ec695.jpg,bg::71,bg,71,1,True,0,True,False,False
test,BG-74-img-1_jpg.rf.84161f82e87d683dcee12be450a68dbf.jpg,bg::74,bg,74,1,True,0,True,False,False
test,BG-75-img-1_jpg.rf.b1d81a974b9cf4ac80392a6bd3711920.jpg,bg::75,bg,75,1,True,0,True,False,False
test,BG-75-img-3_jpg.rf.597568b9475bc41778498e23f2c9e1a5.jpg,bg::75,bg,75,1,True,0,True,False,False
test,Healthy-1-img-1_jpg.rf.f93b4a3457bce7948be3327640d8e629.jpg,healthy::1,healthy,1,0,False,,False,False,False
test,Healthy-100-img-3_jpg.rf.2d955a1e69b6970e6b23ab63ed59c558.jpg,healthy::100,healthy,100,0,False,,False,False,False
test,Healthy-101-img-3_jpg.rf.024f45e85cafb67e0d621515582b9dab.jpg,healthy::101,healthy,101,0,False,,False,False,False
test,Healthy-107-img-1_jpg.rf.d800eb662e3bd980f3bf2b0ff99b797c.jpg,healthy::107,healthy,107,0,False,,False,False,False
test,Healthy-108-img-2_jpg.rf.5ce71d8adcfa96f2b14683e5b1393b89.jpg,healthy::108,healthy,108,0,False,,False,False,False
test,Healthy-11-img-2_jpg.rf.08feef63238632a7eb13e4eb529afa42.jpg,healthy::11,healthy,11,0,False,,False,False,False
test,Healthy-117-img-1_jpg.rf.9672032b98edfc1b7d1b12f7052b0eeb.jpg,healthy::117,healthy,117,0,False,,False,False,False
test,Healthy-125-img-2_jpg.rf.a0cb669ef7adf02dd3876208fb65d929.jpg,healthy::125,healthy,125,0,False,,False,False,False
test,Healthy-126-img-1_jpg.rf.fb26b9d2007f47054e30fe899b468dd4.jpg,healthy::126,healthy,126,0,False,,False,False,False
test,Healthy-128-img-2_jpg.rf.f0a677a7040c90ced8dc12678bd55bce.jpg,healthy::128,healthy,128,0,False,,False,False,False
test,Healthy-134-img-2_jpg.rf.2cae2d7404c7b97e49e5a7f5430e92fa.jpg,healthy::134,healthy,134,0,False,,False,False,False
test,Healthy-136-img-1_jpg.rf.fdc35bb6ce35b407deb6c6efb264c819.jpg,healthy::136,healthy,136,0,False,,False,False,False
test,Healthy-137-img-3_jpg.rf.aed2db7181044426d199543a38cadb2c.jpg,healthy::137,healthy,137,0,False,,False,False,False
test,Healthy-138-img-3_jpg.rf.384345d0084dd7bce1614b6af9b4ae7d.jpg,healthy::138,healthy,138,0,False,,False,False,False
test,Healthy-139-img-1_jpg.rf.e701d9fbc24b862ec1de84c4d48d581d.jpg,healthy::139,healthy,139,0,False,,False,False,False
test,Healthy-140-img-1_jpg.rf.22c13720609d35e85e4f5d8162da4a34.jpg,healthy::140,healthy,140,0,False,,False,False,False
test,Healthy-140-img-2_jpg.rf.1eeec1674495cc776753ef50a17a2078.jpg,healthy::140,healthy,140,0,False,,False,False,False
test,Healthy-17-img-3_jpg.rf.cd117e9e452ccd0671a9f6502e9c00bf.jpg,healthy::17,healthy,17,0,False,,False,False,False
test,Healthy-33-img-3_jpg.rf.d7eaedafeb8b8f2ffd237c73839a632f.jpg,healthy::33,healthy,33,0,False,,False,False,False
test,Healthy-38-img-2_jpg.rf.0ac5bf04888f3d02a02b61cd3828c830.jpg,healthy::38,healthy,38,0,False,,False,False,False
test,Healthy-45-img-2_jpg.rf.ed2f7cda53a5915105535b9edc7decaa.jpg,healthy::45,healthy,45,0,False,,False,False,False
test,Healthy-46-img-2_jpg.rf.912fd7b6ff4e156f962a9b824bb03761.jpg,healthy::46,healthy,46,0,False,,False,False,False
test,Healthy-47-img-2_jpg.rf.068003196667b9c9f81a2f2a1155777c.jpg,healthy::47,healthy,47,0,False,,False,False,False
test,Healthy-49-img-1_jpg.rf.a1ef20d33f5a0b72b166d404ec931a0e.jpg,healthy::49,healthy,49,0,False,,False,False,False
test,Healthy-50-img-2_jpg.rf.9561525058af9c4b6b76295a974d460c.jpg,healthy::50,healthy,50,0,False,,False,False,False
test,Healthy-51-img-1_jpg.rf.4751f95b68e15ea80a77cb952cecb082.jpg,healthy::51,healthy,51,0,False,,False,False,False
test,Healthy-51-img-3_jpg.rf.93a593ba84a98840c9857111b99316f8.jpg,healthy::51,healthy,51,0,False,,False,False,False
test,Healthy-54-img-1_jpg.rf.82e9010dd97de33a97ccba5f4619f41c.jpg,healthy::54,healthy,54,0,False,,False,False,False
test,Healthy-57-img-2_jpg.rf.5c7266910ecf7a8885d7519041720fad.jpg,healthy::57,healthy,57,0,False,,False,False,False
test,Healthy-58-img-2_jpg.rf.a88f730041ea5a8716e6b7184237777b.jpg,healthy::58,healthy,58,0,False,,False,False,False
test,Healthy-6-img-3_jpg.rf.4e359eded68df37c90d0f7763198b120.jpg,healthy::6,healthy,6,0,False,,False,False,False
test,Healthy-68-img-1_jpg.rf.79febbb5a4568a0ca9eae013ffe2c316.jpg,healthy::68,healthy,68,0,False,,False,False,False
test,Healthy-69-img-3_jpg.rf.997d790c564b40ac3f7dea17a3974557.jpg,healthy::69,healthy,69,0,False,,False,False,False
test,Healthy-71-img-3_jpg.rf.cbc8c0ed351c734b32b9965dd3515b02.jpg,healthy::71,healthy,71,0,False,,False,False,False
test,Healthy-8-img-1_jpg.rf.f8d232044de050dd6f6051c6f64c57c5.jpg,healthy::8,healthy,8,0,False,,False,False,False
test,Healthy-80-img-1_jpg.rf.6f3d9f09d1ede0b9a89662a24d072dff.jpg,healthy::80,healthy,80,0,False,,False,False,False
test,Healthy-80-img-2_jpg.rf.8086318e7c479ac4778a47eea3d268bf.jpg,healthy::80,healthy,80,0,False,,False,False,False
test,Healthy-81-img-3_jpg.rf.a158d85c428e54988fa624e79129f648.jpg,healthy::81,healthy,81,0,False,,False,False,False
test,Healthy-82-img-2_jpg.rf.9a930dff3bdc89d982d8681eaa7617e4.jpg,healthy::82,healthy,82,0,False,,False,False,False
test,Healthy-83-img-3_jpg.rf.6b2bbdb88435906dc5a23dc1b7f7cf9c.jpg,healthy::83,healthy,83,0,False,,False,False,False
test,Healthy-87-img-2_jpg.rf.3cb0a031be3b5ff74e1741093fd1a6d2.jpg,healthy::87,healthy,87,0,False,,False,False,False
test,Healthy-89-img-2_jpg.rf.861cd047a830b903baa093461573356b.jpg,healthy::89,healthy,89,0,False,,False,False,False
test,Healthy-97-img-1_jpg.rf.013266e9cc0291994e1e936264db989a.jpg,healthy::97,healthy,97,0,False,,False,False,False
test,Healthy-99-img-3_jpg.rf.a435bc186600738ca23b379b7c68dfaf.jpg,healthy::99,healthy,99,0,False,,False,False,False
test,WSSV-1-img-1_jpg.rf.c276fa7eebf46bba4309e92da030c4ce.jpg,wssv::1,wssv,1,1,True,1,False,True,False
test,WSSV-112-img-2_jpg.rf.08764be7efdabf9e2e5babb4b18e7023.jpg,wssv::112,wssv,112,1,True,1,False,True,False
test,WSSV-113-img-1_jpg.rf.b972780529ad3e5d0024fb9c091c292f.jpg,wssv::113,wssv,113,1,True,1,False,True,False
test,WSSV-13-img-1_jpg.rf.302bfcdb458ead160ff65d3e3040d7d7.jpg,wssv::13,wssv,13,1,True,1,False,True,False
test,WSSV-20-img-2_jpg.rf.8fdd547435b83f71145b32e53479ef09.jpg,wssv::20,wssv,20,1,True,1,False,True,False
test,WSSV-23-img-1_jpg.rf.f88fe2aa6cd97769b462b647b7b57f66.jpg,wssv::23,wssv,23,1,True,1,False,True,False
test,WSSV-25-img-3_jpg.rf.45a39355ba0d6b013fe7bb3eeb3e81bd.jpg,wssv::25,wssv,25,1,True,1,False,True,False
test,WSSV-33-img-2_jpg.rf.bc267a64649a872e4e6f89177cc4d3f2.jpg,wssv::33,wssv,33,1,True,1,False,True,False
test,WSSV-36-img-2_jpg.rf.e3cdae4881637d0c52430cc243be89f0.jpg,wssv::36,wssv,36,1,True,1,False,True,False
test,WSSV-38-img-2_jpg.rf.eedd6b3d57dbee3d68a6b03ed7d52a3d.jpg,wssv::38,wssv,38,1,True,1,False,True,False
test,WSSV-38-img-3_jpg.rf.135b07c0dc9f625f2f9e47ff20b6410c.jpg,wssv::38,wssv,38,1,True,1,False,True,False
test,WSSV-4-img-3_jpg.rf.1e863cf937538f9cde39546756aeb050.jpg,wssv::4,wssv,4,1,True,1,False,True,False
test,WSSV-43-img-2_jpg.rf.892a0012673c9e3a8dea7f6d756be447.jpg,wssv::43,wssv,43,1,True,1,False,True,False
test,WSSV-49-img-1_jpg.rf.f1d61e52a71e14de69144d40c04b4425.jpg,wssv::49,wssv,49,1,True,1,False,True,False
test,WSSV-49-img-3_jpg.rf.faac2551bc742f63c94a668c0129c7a0.jpg,wssv::49,wssv,49,1,True,1,False,True,False
test,WSSV-5-img-1_jpg.rf.b3a4683c309e471d91ae9f369edec48b.jpg,wssv::5,wssv,5,1,True,1,False,True,False
test,WSSV-50-img-1_jpg.rf.9d93f37a2b2273facb56b067fbed83f4.jpg,wssv::50,wssv,50,1,True,1,False,True,False
test,WSSV-52-img-2_jpg.rf.6e963f1028e995a67fa4f51f8a8f62d8.jpg,wssv::52,wssv,52,1,True,1,False,True,False
test,WSSV-6-img-2_jpg.rf.7b6045ae078418954626922f621f31ac.jpg,wssv::6,wssv,6,1,True,1,False,True,False
test,WSSV-61-img-3_jpg.rf.355db745afdea77ef59d95eb5fbbf67d.jpg,wssv::61,wssv,61,1,True,1,False,True,False
test,WSSV-63-img-2_jpg.rf.067cd64129b51144d08fa08806d816e2.jpg,wssv::63,wssv,63,1,True,1,False,True,False
test,WSSV-75-img-1_jpg.rf.c0c7662c84b234de62ea047c444439ba.jpg,wssv::75,wssv,75,1,True,1,False,True,False
test,WSSV-77-img-1_jpg.rf.8a2db042e9252c79c7250ebade55d1d8.jpg,wssv::77,wssv,77,1,True,1,False,True,False
test,WSSV-77-img-2_jpg.rf.6bbd31c7e5414e0ebfb2d65f6dc06b58.jpg,wssv::77,wssv,77,1,True,1,False,True,False
test,WSSV-80-img-3_jpg.rf.16597596f2b028bbcfbbe353b03c7e1d.jpg,wssv::80,wssv,80,1,True,1,False,True,False
test,WSSV-86-img-3_jpg.rf.80118a9711a142d3701fae74dfc4807a.jpg,wssv::86,wssv,86,1,True,1,False,True,False
test,WSSV-96-img-3_jpg.rf.220bc878a563bcbcd7a123625b00b6d5.jpg,wssv::96,wssv,96,1,True,1,False,True,False
test,WSSV-99-img-3_jpg.rf.ae93da4c00e457f84622a27860bc107f.jpg,wssv::99,wssv,99,1,True,1,False,True,False
test,WSSV_BG-12-img-2_jpg.rf.b9fa4c63149fc54389c043256e3a68a8.jpg,wssv_bg::12,wssv_bg,12,4,True,"0,1",True,True,True
test,WSSV_BG-12-img-3_jpg.rf.021a4e9745621e043a15b6ba51d52848.jpg,wssv_bg::12,wssv_bg,12,4,True,"0,1",True,True,True
test,WSSV_BG-14-img-3_jpg.rf.a48f225ac9e2bef4723843a3238acbbc.jpg,wssv_bg::14,wssv_bg,14,2,True,"0,1",True,True,True
test,WSSV_BG-19-img-1_jpg.rf.84c36d501f8d050fbc7d4147657c3a05.jpg,wssv_bg::19,wssv_bg,19,2,True,"0,1",True,True,True
test,WSSV_BG-36-img-2_jpg.rf.d6034a26c91ed58493c92a4e75868777.jpg,wssv_bg::36,wssv_bg,36,3,True,"0,1",True,True,True
test,WSSV_BG-4-img-3_jpg.rf.ac35a6d44850e9a0590190d4e90b1150.jpg,wssv_bg::4,wssv_bg,4,3,True,"0,1",True,True,True
test,WSSV_BG-44-img-1_jpg.rf.59a5927fe9546ade704d4df45ca25b1f.jpg,wssv_bg::44,wssv_bg,44,2,True,"0,1",True,True,True
test,WSSV_BG-47-img-3_jpg.rf.c91d3719f1e521e490115eb2cee1be5e.jpg,wssv_bg::47,wssv_bg,47,2,True,"0,1",True,True,True
test,WSSV_BG-6-img-2_jpg.rf.030cf3f3fd59de951e60c6eb5c594f18.jpg,wssv_bg::6,wssv_bg,6,2,True,"0,1",True,True,True
test,WSSV_BG-62-img-3_jpg.rf.c0ccda3eaf74e613f34383c0ab51fda8.jpg,wssv_bg::62,wssv_bg,62,2,True,"0,1",True,True,True
test,WSSV_BG-66-img-3_jpg.rf.41a29a4f23ed823480f7265352910898.jpg,wssv_bg::66,wssv_bg,66,2,True,"0,1",True,True,True
test,WSSV_BG-71-img-2_jpg.rf.47015505ec2f98d547aa52437b32b539.jpg,wssv_bg::71,wssv_bg,71,2,True,"0,1",True,True,True
test,WSSV_BG-71-img-3_jpg.rf.8245a8c822c9a37eb6e6c52034c8d72f.jpg,wssv_bg::71,wssv_bg,71,2,True,"0,1",True,True,True
test,WSSV_BG-74-img-1_jpg.rf.1a1bc2e97da7276f64ecb5cc4188ac30.jpg,wssv_bg::74,wssv_bg,74,2,True,"0,1",True,True,True
test,WSSV_BG-74-img-2_jpg.rf.543d3c9ef5a8ce7389c669a89d2aab52.jpg,wssv_bg::74,wssv_bg,74,2,True,"0,1",True,True,True
test,WSSV_BG-76-img-1_jpg.rf.23633b7d14cb53f5fb6e497d22a732af.jpg,wssv_bg::76,wssv_bg,76,2,True,"0,1",True,True,True
test,WSSV_BG-78-img-3_jpg.rf.2c702ad95591793509defcccc66b0731.jpg,wssv_bg::78,wssv_bg,78,3,True,"0,1",True,True,True
test,WSSV_BG-8-img-1_jpg.rf.3ab05bd6365d9bed8716e4efeb12737b.jpg,wssv_bg::8,wssv_bg,8,2,True,"0,1",True,True,True
test,WSSV_BG-8-img-2_jpg.rf.325c9b0d50bdbf8f7e4d37ed2b99cda0.jpg,wssv_bg::8,wssv_bg,8,3,True,"0,1",True,True,True
test,WSSV_BG-80-img-1_jpg.rf.e464dd9bdbe08451375df68a5a327f91.jpg,wssv_bg::80,wssv_bg,80,2,True,"0,1",True,True,True
test,WSSV_BG-80-img-2_jpg.rf.b99b40010c5afe7ea729bf712b733343.jpg,wssv_bg::80,wssv_bg,80,2,True,"0,1",True,True,True
test,WSSV_BG-80-img-3_jpg.rf.9814603d237cf227e02077e8ddf62e82.jpg,wssv_bg::80,wssv_bg,80,2,True,"0,1",True,True,True
test,WSSV_BG-81-img-2_jpg.rf.92d891d43ef541807b13d027ce6f7c23.jpg,wssv_bg::81,wssv_bg,81,2,True,"0,1",True,True,True
test,WSSV_BG-9-img-3_jpg.rf.5754dc3a188c9b4ccb5bdbdcc48fdd46.jpg,wssv_bg::9,wssv_bg,9,2,True,"0,1",True,True,True
train,BG-1-img-2_jpg.rf.5d2a98483593cdf82ef899ac53384484.jpg,bg::1,bg,1,1,True,0,True,False,False
train,BG-1-img-3_jpg.rf.1ee3e870db4a42a18f168a74c222cd5b.jpg,bg::1,bg,1,1,True,0,True,False,False
train,BG-10-img-1_jpg.rf.ce9bab42d5bae653a94195d8e441a8f5.jpg,bg::10,bg,10,1,True,0,True,False,False
