epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4754,2.498,4.7924,5.91096,2.06468,0,0.00156,0.41503,0.08075,0.02618,0.00139,0.36765,0.05672,0.01099,2.27851,4.18864,6.52773,1.72845,0,0.000546086,0.000546086,0.000546086
2,39.6206,2.43117,4.30952,4.4916,1.87808,0,0.12479,0.24837,0.10906,0.02665,0.13163,0.16013,0.08523,0.02032,2.46195,5.22872,9.64258,2.03425,0,0.00109085,0.00109085,0.00109085
3,56.6217,2.4004,4.15299,3.7415,1.98859,0,0.27456,0.21569,0.17642,0.05003,0.18235,0.11686,0.06041,0.01103,2.44132,5.79751,5.27814,1.9453,0,0.0016246,0.0016246,0.0016246
4,73.2103,2.40241,4.19803,3.20032,1.87821,0,0.30639,0.19717,0.22678,0.08431,0.1788,0.19608,0.14107,0.04862,2.45238,5.02439,3.85737,2.0211,0,0.00161749,0.00161749,0.00161749
5,89.7613,2.2517,3.95212,2.69621,1.84956,0,0.39214,0.33071,0.2909,0.10952,0.33442,0.27179,0.20655,0.05729,2.28273,4.45153,2.79447,1.8424,0,0.00160099,0.00160099,0.00160099
6,106.331,2.26241,3.83842,2.44305,1.89126,0,0.56104,0.33034,0.34125,0.12312,0.51407,0.28023,0.25392,0.07411,2.22205,4.16227,3.42626,1.81125,0,0.00158448,0.00158448,0.00158448
7,122.621,2.22973,3.74146,2.2823,1.84328,0,0.24913,0.36874,0.24514,0.09373,0.21262,0.35554,0.18272,0.05977,2.12913,3.77644,2.69859,1.87083,0,0.00156798,0.00156798,0.00156798
8,139.15,2.18995,3.65752,2.13857,1.84297,0,0.38625,0.28214,0.22688,0.06977,0.31202,0.2146,0.19969,0.04707,2.41931,4.5979,2.57133,1.89658,0,0.00155148,0.00155148,0.00155148
9,155.702,2.15953,3.63558,2.04088,1.81981,0,0.37017,0.36601,0.28174,0.10279,0.34563,0.30828,0.24072,0.06576,2.2119,4.15271,2.32055,1.8404,0,0.00153497,0.00153497,0.00153497
10,172.244,2.09986,3.51602,1.96311,1.76468,0,0.44793,0.41209,0.33003,0.09959,0.4133,0.35675,0.28172,0.07411,2.30043,3.91086,2.51619,1.82642,0,0.00151847,0.00151847,0.00151847
11,188.996,2.06264,3.44453,1.82381,1.74226,0,0.86162,0.30556,0.35412,0.11699,0.83806,0.28704,0.30588,0.08531,2.33173,3.71328,2.46424,1.8844,0,0.00150197,0.00150197,0.00150197
12,205.69,2.04712,3.44267,1.83109,1.74611,0,0.43996,0.35632,0.34596,0.1293,0.36628,0.29671,0.28638,0.09558,2.16538,3.71702,2.20824,1.81452,0,0.00148546,0.00148546,0.00148546
13,221.844,1.99548,3.34894,1.70308,1.68563,0,0.45024,0.34804,0.31168,0.11526,0.43362,0.33824,0.28252,0.09048,2.32413,3.79673,2.30764,1.86346,0,0.00146896,0.00146896,0.00146896
14,238.118,2.00196,3.28318,1.69451,1.69098,0,0.50159,0.36907,0.34988,0.13088,0.54442,0.35894,0.33552,0.10506,2.22206,3.59003,2.13365,1.8037,0,0.00145246,0.00145246,0.00145246
15,254.652,1.98437,3.21895,1.641,1.66643,0,0.4058,0.34255,0.31652,0.10615,0.39819,0.33335,0.28414,0.08158,2.36098,3.68351,2.22066,1.83226,0,0.00143595,0.00143595,0.00143595
16,271.419,1.98875,3.18467,1.63865,1.66534,0,0.45899,0.36172,0.35943,0.10476,0.40641,0.31543,0.24345,0.07369,2.27071,3.89031,2.16236,1.87042,0,0.00141945,0.00141945,0.00141945
17,287.947,1.91146,3.14578,1.59905,1.63459,0,0.33185,0.36329,0.30143,0.10586,0.3218,0.34477,0.2474,0.0693,2.23608,3.99344,2.1902,1.76274,0,0.00140295,0.00140295,0.00140295
18,304.314,1.8769,3.10115,1.58297,1.60128,0,0.4818,0.40017,0.37065,0.12953,0.43083,0.34532,0.28818,0.09237,2.25786,3.70899,2.05322,1.79281,0,0.00138644,0.00138644,0.00138644
19,321.417,1.88117,3.05955,1.5304,1.59543,0,0.49994,0.27832,0.37081,0.12787,0.55227,0.27413,0.3136,0.10629,2.2444,3.87485,2.13472,1.82445,0,0.00136994,0.00136994,0.00136994
20,337.721,1.82352,3.02592,1.47857,1.56805,0,0.45789,0.37653,0.3728,0.12661,0.40199,0.31384,0.30143,0.09464,2.28229,3.60509,2.00123,1.86043,0,0.00135344,0.00135344,0.00135344
21,354.023,1.79908,2.90672,1.45359,1.56323,0,0.48941,0.39325,0.35508,0.12654,0.48578,0.36619,0.3315,0.10341,2.32513,3.44726,2.27131,1.86646,0,0.00133693,0.00133693,0.00133693
22,370.757,1.78293,2.91826,1.42481,1.55967,0,0.47983,0.36275,0.42197,0.14526,0.47727,0.28867,0.33447,0.11189,2.25339,3.60321,2.10783,1.79838,0,0.00132043,0.00132043,0.00132043
23,387.543,1.76142,2.91782,1.38352,1.53168,0,0.5911,0.38399,0.41678,0.14716,0.56573,0.35621,0.33122,0.11101,2.2515,3.68378,2.05522,1.77056,0,0.00130393,0.00130393,0.00130393
24,403.944,1.70384,2.8681,1.36743,1.49547,0,0.4931,0.44315,0.39939,0.1457,0.44182,0.39631,0.34101,0.10986,2.27159,3.64132,1.82061,1.80302,0,0.00128742,0.00128742,0.00128742
25,420.462,1.72138,2.80325,1.33694,1.50735,0,0.53813,0.4134,0.37586,0.13464,0.47063,0.35675,0.32307,0.10867,2.24915,3.54105,1.97251,1.85719,0,0.00127092,0.00127092,0.00127092
26,437.377,1.70619,2.79713,1.29015,1.48517,0,0.46725,0.42157,0.36089,0.12033,0.40437,0.38344,0.30683,0.09274,2.17492,3.81226,1.84175,1.74698,0,0.00125442,0.00125442,0.00125442
