epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5062,2.53769,4.80586,5.8767,2.08039,0,0.00191,0.39856,0.0136,0.004,0.00153,0.30965,0.01051,0.00233,2.27063,4.189,9.95331,1.75092,0,0.000546086,0.000546086,0.000546086
2,39.0749,2.43591,4.27344,4.54706,1.8934,0,0.20773,0.09783,0.09038,0.02767,0.22522,0.09783,0.07951,0.0228,2.34263,4.44762,10.529,1.86253,0,0.00109085,0.00109085,0.00109085
3,56.6108,2.39452,4.22496,3.74476,1.93969,0,0.09219,0.15653,0.07132,0.02237,0.09219,0.15653,0.04807,0.00917,2.26266,4.15608,8.0469,1.96631,0,0.0016246,0.0016246,0.0016246
4,74.7727,2.36156,4.17739,3.14489,1.98731,0,0.31199,0.32922,0.26512,0.08895,0.33385,0.27945,0.21674,0.04484,2.18689,4.1576,3.96874,1.90788,0,0.00161749,0.00161749,0.00161749
5,92.7647,2.31757,4.03571,2.70116,1.94753,0,0.24777,0.29211,0.20999,0.07344,0.24777,0.29211,0.17273,0.04308,2.26681,4.24409,3.90731,1.96799,0,0.00160099,0.00160099,0.00160099
6,110.514,2.23958,3.88545,2.37843,1.87949,0,0.41701,0.41796,0.29274,0.10667,0.32487,0.35676,0.20002,0.05634,2.1243,3.72742,3.35151,1.77105,0,0.00158448,0.00158448,0.00158448
7,128.132,2.2384,3.90912,2.26168,1.87689,0,0.35428,0.33093,0.28801,0.0949,0.29813,0.34536,0.22909,0.05586,2.1347,3.79347,3.17904,1.84657,0,0.00156798,0.00156798,0.00156798
8,145.86,2.21456,3.7752,2.13342,1.86264,0,0.46057,0.40746,0.37515,0.14819,0.39506,0.35047,0.30627,0.08444,2.08864,3.72388,2.65456,1.71071,0,0.00155148,0.00155148,0.00155148
9,163.754,2.13917,3.59465,2.08999,1.82639,0,0.55994,0.40347,0.38536,0.14911,0.44241,0.34171,0.28938,0.08394,2.09076,3.67495,4.3465,1.70259,0,0.00153497,0.00153497,0.00153497
10,181.573,2.08001,3.56515,1.9409,1.77893,0,0.50255,0.39761,0.36856,0.14078,0.32013,0.31225,0.2569,0.06728,2.16399,3.70691,2.28929,1.78861,0,0.00151847,0.00151847,0.00151847
11,199.562,2.09371,3.54137,1.87214,1.7843,0,0.35101,0.28908,0.30957,0.11255,0.26288,0.23347,0.24178,0.05928,2.21943,3.8539,2.37275,1.88778,0,0.00150197,0.00150197,0.00150197
12,217.465,2.06264,3.47109,1.81937,1.74252,0,0.6265,0.36189,0.41201,0.1482,0.60155,0.28342,0.30583,0.10342,2.06444,3.42844,2.26568,1.70257,0,0.00148546,0.00148546,0.00148546
13,235.533,2.02904,3.41455,1.77955,1.74154,0,0.55107,0.44689,0.45958,0.19099,0.49328,0.42059,0.41028,0.13481,1.96324,3.38689,2.0147,1.68969,0,0.00146896,0.00146896,0.00146896
14,253.903,2.01143,3.29837,1.72925,1.71778,0,0.57318,0.50095,0.53389,0.21388,0.55498,0.47416,0.47278,0.14252,1.95534,3.29723,1.92088,1.6689,0,0.00145246,0.00145246,0.00145246
15,271.214,1.95859,3.26915,1.65328,1.68917,0,0.52012,0.50525,0.50984,0.20859,0.59578,0.47512,0.47614,0.15372,2.01812,3.39381,1.79337,1.67269,0,0.00143595,0.00143595,0.00143595
16,289.033,1.94517,3.20325,1.59142,1.66127,0,0.67694,0.50199,0.50991,0.23709,0.59544,0.43304,0.43055,0.13459,1.83629,3.38321,1.78554,1.60009,0,0.00141945,0.00141945,0.00141945
17,307.757,1.92295,3.18827,1.63936,1.63972,0,0.61398,0.50779,0.56039,0.23899,0.49661,0.47648,0.45495,0.15112,1.95449,3.26088,1.65928,1.64351,0,0.00140295,0.00140295,0.00140295
