epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8479,2.1959,4.67448,16.8888,0.0155,5.17136,0.00173,0.5,0.02626,0.00806,0.00103,0.28028,0.02148,0.0039,2.00558,4.26792,58.943,0.01266,0,0.000545918,0.000545918,0.000545918
2,48.3169,1.99389,4.16501,12.0194,0.01372,3.34421,0.09179,0.52213,0.19314,0.05951,0.06913,0.43711,0.14704,0.03893,2.064,3.91814,39.7006,0.01324,0,0.00109068,0.00109068,0.00109068
3,69.3652,2.03151,4.00157,8.83941,0.01391,2.54912,0.17319,0.11698,0.09146,0.0345,0.11891,0.09123,0.08622,0.02525,2.07925,5.14313,24.6358,0.01345,0,0.00162444,0.00162444,0.00162444
4,90.1154,2.04031,3.89506,6.50725,0.01383,1.91853,0.34649,0.18711,0.20974,0.07084,0.31396,0.1604,0.19364,0.05925,2.52899,4.64315,20.8633,0.01751,0,0.00161749,0.00161749,0.00161749
5,111.345,2.08116,3.83986,5.20967,0.01444,1.51346,0.39215,0.1966,0.17535,0.05205,0.38074,0.18757,0.15953,0.04906,2.22404,4.83615,11.7376,0.0147,0,0.00160099,0.00160099,0.00160099
6,132.484,2.03602,3.77463,4.17576,0.01389,1.2867,0.24178,0.24146,0.16639,0.06534,0.26506,0.21584,0.16155,0.05555,1.96919,4.69593,9.30333,0.01171,0,0.00158448,0.00158448,0.00158448
7,152.729,2.02187,3.65958,3.52628,0.01372,1.22656,0.3017,0.27562,0.23166,0.08708,0.26857,0.237,0.19419,0.06874,2.27258,4.54596,6.80404,0.01505,0,0.00156798,0.00156798,0.00156798
8,174.14,1.96578,3.53863,3.1576,0.01328,1.15501,0.44598,0.28649,0.25002,0.0809,0.44192,0.26836,0.25247,0.0851,2.15904,4.29982,5.95893,0.01314,0,0.00155148,0.00155148,0.00155148
9,194.855,2.05127,3.59846,3.06066,0.01393,1.26112,0.37679,0.37849,0.29358,0.10169,0.30896,0.31328,0.2678,0.07516,2.06903,3.86724,4.77663,0.01282,0,0.00153497,0.00153497,0.00153497
10,215.973,2.00607,3.45923,2.7329,0.01335,1.14207,0.47998,0.27964,0.33019,0.11428,0.2846,0.26812,0.28454,0.10383,2.28578,3.4043,5.07005,0.01447,0,0.00151847,0.00151847,0.00151847
