epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6795,2.17586,4.81222,22.8223,0.01526,4.96785,0.03863,0.08036,0.02977,0.00838,0.55849,0.07143,0.02286,0.00553,2.03034,4.20305,28.8237,0.01314,0,0.000545918,0.000545918,0.000545918
2,69.2136,2.23371,4.16561,4.86872,0.01587,2.58209,0.2716,0.19857,0.12535,0.04324,0.21642,0.17324,0.09134,0.02007,2.31797,4.23545,6.98809,0.01535,0,0.00109068,0.00109068,0.00109068
3,101.772,2.33376,4.13732,3.4712,0.01631,1.65234,0.36482,0.24653,0.18886,0.06321,0.36382,0.18517,0.15903,0.04966,2.47607,5.75737,7.42434,0.01611,0,0.00162444,0.00162444,0.00162444
4,134.344,2.24436,4.07463,3.31997,0.01537,1.60409,0.21834,0.11297,0.10405,0.02344,0.19124,0.1021,0.08259,0.02173,2.59005,6.66604,5.92116,0.01786,0,0.00161749,0.00161749,0.00161749
5,166.546,2.26639,3.95975,2.92785,0.01575,1.69251,0.29702,0.29501,0.20105,0.06577,0.26193,0.26359,0.16554,0.05446,2.59451,4.57899,3.8419,0.0178,0,0.00160099,0.00160099,0.00160099
6,198.959,2.13528,3.88936,2.79376,0.01462,1.66861,0.25056,0.32764,0.20564,0.05992,0.24338,0.24573,0.15401,0.03444,2.64282,4.74246,3.97936,0.01764,0,0.00158448,0.00158448,0.00158448
7,231.228,2.26733,3.862,2.49722,0.01581,1.38701,0.19385,0.1265,0.1512,0.0407,0.20125,0.12634,0.15524,0.04179,2.60452,4.22797,3.37389,0.01804,0,0.00156798,0.00156798,0.00156798
8,263.347,2.16475,3.75935,2.54517,0.01482,1.41443,0.31836,0.30473,0.24484,0.08471,0.31449,0.217,0.203,0.06833,2.39365,4.48959,6.08281,0.01657,0,0.00155148,0.00155148,0.00155148
9,295.964,2.12633,3.62883,2.51872,0.01462,1.33479,0.28627,0.36141,0.26726,0.09582,0.23927,0.26747,0.1785,0.0521,2.64729,5.27022,6.31166,0.01781,0,0.00153497,0.00153497,0.00153497
10,328.03,2.16234,3.54915,2.34853,0.01476,1.30079,0.35067,0.24262,0.22894,0.09942,0.32123,0.20109,0.19788,0.07819,2.62175,3.97484,3.49645,0.01843,0,0.00151847,0.00151847,0.00151847
