epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1806,2.4617,4.70184,5.68037,2.18013,0,0.00158,0.52484,0.02287,0.00367,0.00115,0.3913,0.00835,0.00143,2.37618,4.33039,10.4093,2.08759,0,0.000545918,0.000545918,0.000545918
2,36.5177,2.37583,4.25493,4.40853,1.98682,0,0.19016,0.02873,0.04937,0.012,0.05568,0.01786,0.01121,0.00279,2.82894,11.7854,12.5227,2.3171,0,0.00109068,0.00109068,0.00109068
3,53.2918,2.31778,4.17582,3.73268,1.95292,0,0.27377,0.27562,0.17802,0.0786,0.27377,0.27562,0.18067,0.05601,2.53687,4.34302,48.3906,2.15321,0,0.00162444,0.00162444,0.00162444
4,69.3443,2.27198,3.96532,3.03989,1.89846,0,0.26986,0.36064,0.18909,0.06701,0.27478,0.36957,0.18215,0.05521,2.5933,5.02425,17.1029,2.17624,0,0.00161749,0.00161749,0.00161749
5,85.4342,2.28114,3.9432,2.75227,1.92689,0,0.32806,0.31793,0.22152,0.08442,0.3358,0.30008,0.21426,0.06274,2.49747,4.79497,5.17801,2.0862,0,0.00160099,0.00160099,0.00160099
6,101.51,2.25363,3.84311,2.44386,1.89927,0,0.4949,0.37833,0.3783,0.13071,0.43288,0.30318,0.26266,0.07307,2.44339,4.43544,3.55659,2.02551,0,0.00158448,0.00158448,0.00158448
7,117.612,2.18625,3.77076,2.25977,1.89964,0,0.45466,0.33075,0.38209,0.13466,0.3771,0.27135,0.28579,0.10049,2.51099,4.86421,4.54588,2.18396,0,0.00156798,0.00156798,0.00156798
8,134.024,2.13465,3.71988,2.09832,1.83149,0,0.37289,0.35481,0.31751,0.09993,0.44938,0.34394,0.33282,0.08355,2.51624,4.04661,4.81618,2.1069,0,0.00155148,0.00155148,0.00155148
9,150.443,2.13372,3.54566,2.07751,1.84859,0,0.47965,0.38432,0.41597,0.14969,0.43341,0.34278,0.35227,0.10184,2.35884,4.1092,5.37303,2.08422,0,0.00153497,0.00153497,0.00153497
10,166.179,2.06568,3.54734,2.07625,1.81851,0,0.49379,0.28416,0.31825,0.12415,0.49235,0.28322,0.29314,0.08428,2.37141,3.71443,4.0033,1.94396,0,0.00151847,0.00151847,0.00151847
11,182.525,2.05545,3.51781,1.88513,1.7424,0,0.46048,0.39325,0.34317,0.12434,0.44218,0.36004,0.27094,0.08381,2.44725,4.08507,2.80229,1.96859,0,0.00150197,0.00150197,0.00150197
12,199.152,2.01404,3.39596,1.78853,1.72735,0,0.6002,0.4161,0.48841,0.16578,0.57394,0.33941,0.37791,0.10624,2.24401,5.51628,2.47192,1.82419,0,0.00148546,0.00148546,0.00148546
13,215.575,1.95386,3.34467,1.74162,1.69661,0,0.40966,0.48195,0.38556,0.1384,0.43569,0.42392,0.35622,0.10038,2.48009,4.07766,2.40846,2.1067,0,0.00146896,0.00146896,0.00146896
14,232.015,1.95828,3.28281,1.70191,1.69526,0,0.65298,0.40612,0.45903,0.1763,0.51136,0.33502,0.35795,0.12341,2.34875,4.61357,2.39131,1.87843,0,0.00145246,0.00145246,0.00145246
15,248.361,1.91377,3.16537,1.6401,1.66191,0,0.64776,0.45009,0.47777,0.19833,0.52719,0.41227,0.42091,0.13345,2.38575,3.95647,2.51382,2.0171,0,0.00143595,0.00143595,0.00143595
16,264.838,1.89504,3.14631,1.60496,1.64434,0,0.74725,0.44488,0.49594,0.18227,0.49813,0.35093,0.34879,0.12052,2.35411,4.98124,2.72999,1.94189,0,0.00141945,0.00141945,0.00141945
17,281.216,1.84787,3.10706,1.52878,1.5889,0,0.59179,0.44682,0.48979,0.19022,0.52691,0.40528,0.39692,0.14075,2.41082,4.0128,2.52756,1.91078,0,0.00140295,0.00140295,0.00140295
18,297.314,1.83446,3.0411,1.54901,1.62298,0,0.71841,0.46157,0.54251,0.19377,0.67101,0.42896,0.46792,0.14278,2.35605,4.21549,2.0495,2.04484,0,0.00138644,0.00138644,0.00138644
19,313.474,1.79427,2.95242,1.44494,1.54287,0,0.67453,0.42508,0.47849,0.19928,0.70083,0.36762,0.42359,0.15253,2.3973,4.13439,2.22565,1.94298,0,0.00136994,0.00136994,0.00136994
20,329.821,1.78485,2.94747,1.45847,1.54082,0,0.61662,0.46307,0.50947,0.20512,0.52733,0.39542,0.3804,0.13282,2.37856,5.2603,2.25033,2.04812,0,0.00135344,0.00135344,0.00135344
21,345.683,1.74712,2.97199,1.41796,1.54925,0,0.61936,0.41304,0.479,0.1827,0.57458,0.32278,0.34513,0.13292,2.43584,4.82452,2.92494,2.04246,0,0.00133693,0.00133693,0.00133693
22,361.55,1.70161,2.88316,1.3658,1.49615,0,0.45007,0.39053,0.41793,0.16798,0.63682,0.34589,0.37341,0.10777,2.53669,4.65555,2.69969,2.04285,0,0.00132043,0.00132043,0.00132043
23,378.173,1.69614,2.87049,1.35638,1.4973,0,0.62996,0.47729,0.50245,0.19411,0.54809,0.43465,0.43129,0.1505,2.35618,4.14878,2.33689,2.03187,0,0.00130393,0.00130393,0.00130393
24,394.075,1.65784,2.85681,1.29845,1.46504,0,0.70112,0.46157,0.50188,0.18945,0.54612,0.41615,0.42026,0.13663,2.26627,4.9058,2.34393,1.98529,0,0.00128742,0.00128742,0.00128742
25,410.22,1.67535,2.80522,1.29869,1.49358,0,0.66592,0.48389,0.51301,0.2079,0.56896,0.41326,0.43637,0.1565,2.4969,4.39016,2.02106,2.13082,0,0.00127092,0.00127092,0.00127092
26,426.362,1.64884,2.80769,1.27043,1.45956,0,0.7135,0.40916,0.48069,0.18925,0.68791,0.3389,0.39382,0.12564,2.5037,4.329,2.00166,2.13155,0,0.00125442,0.00125442,0.00125442
27,442.363,1.62321,2.74702,1.20915,1.45147,0,0.72782,0.42314,0.49895,0.20641,0.68254,0.38816,0.43544,0.15415,2.26979,4.63772,1.94677,1.85296,0,0.00123791,0.00123791,0.00123791
28,458.466,1.63186,2.68983,1.18189,1.4477,0,0.65931,0.44293,0.49864,0.21881,0.69124,0.39932,0.43704,0.15108,2.29327,4.36955,2.89889,2.0748,0,0.00122141,0.00122141,0.00122141
29,474.373,1.5758,2.67878,1.18729,1.45138,0,0.67629,0.48253,0.51932,0.21681,0.64267,0.46972,0.45853,0.17312,2.15663,3.85153,2.64281,1.8231,0,0.00120491,0.00120491,0.00120491
30,490.807,1.58186,2.6675,1.15722,1.41658,0,0.76021,0.46545,0.53725,0.24408,0.74393,0.42003,0.48261,0.1864,2.34301,3.91558,2.17187,1.92705,0,0.0011884,0.0011884,0.0011884
