epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0482,2.52825,4.69717,6.68744,2.23072,0,0.11449,0.12384,0.05578,0.01155,0.0515,0.10908,0.03089,0.0052,2.61515,5.34631,5.17977,2.37408,0,0.000545918,0.000545918,0.000545918
2,50.5539,2.45689,4.31365,3.09453,2.30954,0,0.07746,0.19138,0.04552,0.01369,0.02962,0.0823,0.01172,0.00216,2.58262,7.52304,29.6215,2.6436,0,0.00109068,0.00109068,0.00109068
3,73.4716,2.45408,4.28303,2.95461,2.24113,0,0.14884,0.24961,0.07871,0.01816,0.06983,0.0823,0.02436,0.00399,2.89503,7.11819,16.772,3.10138,0,0.00162444,0.00162444,0.00162444
4,96.6201,2.3784,4.09016,2.53714,2.22152,0,0.3155,0.24649,0.15736,0.04066,0.29937,0.25272,0.15853,0.03582,2.83365,4.89999,4.64631,2.66387,0,0.00161749,0.00161749,0.00161749
5,119.903,2.37292,4.14535,2.46298,2.24535,0,0.3665,0.20924,0.2528,0.08218,0.40244,0.19138,0.19497,0.05211,2.45348,4.42293,3.64245,2.3378,0,0.00160099,0.00160099,0.00160099
6,143.3,2.34195,3.96867,2.36762,2.19459,0,0.30981,0.366,0.2349,0.08758,0.31235,0.2962,0.19649,0.05726,2.60323,4.10438,6.79557,2.46519,0,0.00158448,0.00158448,0.00158448
7,165.992,2.21158,3.86145,2.21446,2.12863,0,0.38387,0.29697,0.29737,0.09894,0.31009,0.26152,0.17129,0.04979,2.49225,4.71569,4.09292,2.26123,0,0.00156798,0.00156798,0.00156798
8,189.273,2.27061,3.76299,2.12485,2.18868,0,0.38669,0.32065,0.315,0.1018,0.24887,0.23776,0.13527,0.0345,2.64668,5.16108,4.11438,2.27102,0,0.00155148,0.00155148,0.00155148
9,212.415,2.20847,3.741,2.11206,2.14106,0,0.41845,0.42197,0.33984,0.11085,0.32344,0.33385,0.26057,0.0537,2.36438,3.9595,3.62097,2.22385,0,0.00153497,0.00153497,0.00153497
10,236.131,2.13409,3.64785,1.93047,2.09422,0,0.3332,0.43672,0.34657,0.12326,0.29751,0.35952,0.28419,0.08266,2.38935,3.74825,2.24718,2.24277,0,0.00151847,0.00151847,0.00151847
11,259.619,2.09297,3.61184,1.90838,2.03876,0,0.47411,0.45319,0.37692,0.14162,0.38713,0.38043,0.25234,0.07667,2.27364,4.13306,4.27791,2.12388,0,0.00150197,0.00150197,0.00150197
12,282.656,2.05586,3.44168,1.85106,2.00793,0,0.37415,0.43478,0.33745,0.13556,0.32188,0.33622,0.26554,0.09152,2.36629,4.49453,2.53929,2.20458,0,0.00148546,0.00148546,0.00148546
13,305.636,2.04645,3.43343,1.81578,2.01336,0,0.55091,0.40605,0.40414,0.14196,0.45932,0.32803,0.30642,0.09506,2.38002,4.1946,2.50505,2.27419,0,0.00146896,0.00146896,0.00146896
14,328.798,2.02004,3.36161,1.74398,1.99589,0,0.57741,0.4111,0.42525,0.16334,0.46807,0.32803,0.31407,0.09362,2.24871,4.39001,2.61141,2.1304,0,0.00145246,0.00145246,0.00145246
15,351.786,1.96473,3.27829,1.70063,1.96896,0,0.4789,0.37345,0.3971,0.15952,0.60629,0.31258,0.35661,0.12926,2.19302,3.52889,2.33374,2.09612,0,0.00143595,0.00143595,0.00143595
16,374.737,2.00296,3.25841,1.7057,1.98026,0,0.64521,0.26394,0.39876,0.15337,0.64521,0.26394,0.34623,0.11988,2.31856,4.69684,3.36427,2.2699,0,0.00141945,0.00141945,0.00141945
17,397.674,1.90911,3.18976,1.63701,1.91112,0,0.56411,0.39829,0.39101,0.1445,0.50042,0.3191,0.34027,0.1062,2.31766,4.22788,2.4832,2.21444,0,0.00140295,0.00140295,0.00140295
18,420.661,1.90016,3.13811,1.64365,1.88076,0,0.43442,0.44177,0.42624,0.17722,0.40892,0.3258,0.32346,0.12414,2.31166,4.95452,3.97639,2.21463,0,0.00138644,0.00138644,0.00138644
19,443.533,1.90748,3.07693,1.55536,1.86551,0,0.71462,0.41421,0.47113,0.17927,0.63676,0.35481,0.37725,0.11899,2.34692,3.9252,2.11978,2.29785,0,0.00136994,0.00136994,0.00136994
20,466.608,1.84451,3.11649,1.54986,1.86313,0,0.67794,0.48117,0.49566,0.20269,0.61702,0.43917,0.41356,0.12363,2.3116,4.40957,3.22404,2.13159,0,0.00135344,0.00135344,0.00135344
21,489.494,1.8377,3.07948,1.56793,1.84308,0,0.48469,0.49146,0.47987,0.18684,0.62217,0.3816,0.38856,0.14254,2.22708,3.95752,2.21102,2.13056,0,0.00133693,0.00133693,0.00133693
22,512.459,1.82067,2.94854,1.48947,1.82512,0,0.4543,0.42585,0.40439,0.14743,0.47511,0.34278,0.33144,0.1027,2.58457,4.28259,2.46265,2.43317,0,0.00132043,0.00132043,0.00132043
23,535.291,1.79625,2.93848,1.40448,1.80163,0,0.55219,0.48137,0.43148,0.15747,0.46758,0.42003,0.34619,0.11608,2.42398,4.12937,2.45263,2.2725,0,0.00130393,0.00130393,0.00130393
24,558.116,1.74125,2.89584,1.43105,1.75491,0,0.55839,0.51443,0.47939,0.20572,0.49157,0.46157,0.41352,0.14135,2.62333,4.20566,2.29089,2.53008,0,0.00128742,0.00128742,0.00128742
25,581.211,1.736,2.86511,1.39534,1.75437,0,0.45743,0.45769,0.44031,0.16789,0.51382,0.33696,0.3722,0.11369,2.56093,4.87455,2.31284,2.5281,0,0.00127092,0.00127092,0.00127092
26,603.957,1.68075,2.83396,1.35639,1.72255,0,0.61806,0.45885,0.48139,0.18313,0.61985,0.36374,0.36216,0.11929,2.41128,4.2196,2.06161,2.2433,0,0.00125442,0.00125442,0.00125442
27,626.811,1.69569,2.86048,1.30222,1.73515,0,0.49031,0.44343,0.40843,0.14796,0.44126,0.38626,0.32057,0.10204,2.41081,3.82567,2.06574,2.23133,0,0.00123791,0.00123791,0.00123791
28,649.609,1.68462,2.76758,1.28148,1.72526,0,0.54805,0.48702,0.4977,0.18945,0.45737,0.44293,0.38615,0.12001,2.4192,4.61538,2.13252,2.27289,0,0.00122141,0.00122141,0.00122141
29,672.498,1.65903,2.79595,1.33359,1.71173,0,0.58058,0.4802,0.49224,0.19451,0.48601,0.41304,0.38239,0.14063,2.3924,4.65563,2.25958,2.36821,0,0.00120491,0.00120491,0.00120491
30,695.281,1.64206,2.70095,1.2487,1.69513,0,0.54549,0.51405,0.48852,0.20278,0.4726,0.38742,0.40159,0.14092,2.19475,3.62485,2.48098,2.10522,0,0.0011884,0.0011884,0.0011884
