dataset_key,dataset_name,split,image_path,image_name,label_path,label_exists,parse_ok,specimen_key,shrimp_id,img_num,disease_from_name,normalized_stem,mask_instances,mask_classes,mask_class_ids,co_infection,total_mask_area_norm,mean_mask_area_norm,ahash,dhash
ewu,EWU Roboflow segmentation,train,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_318-1-_jpg.rf.2a2a215d5bf2fd7002536cdc57e8607f.jpg,Shrimp_318-1-_jpg.rf.2a2a215d5bf2fd7002536cdc57e8607f.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_318-1-_jpg.rf.2a2a215d5bf2fd7002536cdc57e8607f.txt,True,True,shrimp::318,318,1,Shrimp,Shrimp_318-1-,2,whitespot,1,False,0.011758385440587993,0.005879192720293996,1111111111111111011110110000000100000111001111110000111100011111,0111011011111101111100110011011101111111110111010011111111111111
ewu,EWU Roboflow segmentation,train,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_318-2-_jpg.rf.0dbba7d8d0f9fd1951ddb61c556f4ad3.jpg,Shrimp_318-2-_jpg.rf.0dbba7d8d0f9fd1951ddb61c556f4ad3.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_318-2-_jpg.rf.0dbba7d8d0f9fd1951ddb61c556f4ad3.txt,True,True,shrimp::318,318,2,Shrimp,Shrimp_318-2-,2,whitespot,1,False,0.010407729657173181,0.005203864828586591,1111110011111111011110110000000100000111001111110001111100111111,0101110011111100111100110011011101111111111111010011111111111111
ewu,EWU Roboflow segmentation,train,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_318-3-_jpg.rf.78b0be2d1a0a4256946be895317c12c1.jpg,Shrimp_318-3-_jpg.rf.78b0be2d1a0a4256946be895317c12c1.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_318-3-_jpg.rf.78b0be2d1a0a4256946be895317c12c1.txt,True,True,shrimp::318,318,3,Shrimp,Shrimp_318-3-,2,whitespot,1,False,0.030621177745580708,0.015310588872790354,1111111111111111111111111111111111110000111000010000001100000111,0010001101100011011000110110001101000011110000111100111100011101
ewu,EWU Roboflow segmentation,train,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_319-1-_jpg.rf.1eecb8db66bfa6719aa346e652f6411f.jpg,Shrimp_319-1-_jpg.rf.1eecb8db66bfa6719aa346e652f6411f.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_319-1-_jpg.rf.1eecb8db66bfa6719aa346e652f6411f.txt,True,True,shrimp::319,319,1,Shrimp,Shrimp_319-1-,1,whitespot,1,False,0.002341717481613159,0.002341717481613159,0011111100111111000111110000111100000111000000110000000100000001,1110111111111111111111111111111100111111001100111101101100111111
ewu,EWU Roboflow segmentation,train,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_319-2-_jpg.rf.83f6969ca9cfe254c3bd7a2ed24281ab.jpg,Shrimp_319-2-_jpg.rf.83f6969ca9cfe254c3bd7a2ed24281ab.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_319-2-_jpg.rf.83f6969ca9cfe254c3bd7a2ed24281ab.txt,True,True,shrimp::319,319,2,Shrimp,Shrimp_319-2-,2,whitespot,1,False,0.014171642522215908,0.007085821261107954,1111111111111111111111111001111110000101000000000000000000000000,1111111101111111110111110011101100111101000101101011001100011011
ewu,EWU Roboflow segmentation,train,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_319-3-_jpg.rf.5ce9169784415418060fb78d2dc52dfb.jpg,Shrimp_319-3-_jpg.rf.5ce9169784415418060fb78d2dc52dfb.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_319-3-_jpg.rf.5ce9169784415418060fb78d2dc52dfb.txt,True,True,shrimp::319,319,3,Shrimp,Shrimp_319-3-,3,whitespot,1,False,0.017990137370467216,0.005996712456822405,1111111111111111111111101000000010000000100000000000000000000000,1100110011001100100001000011010000001100000001100001011000010010
ewu,EWU Roboflow segmentation,train,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_320_jpg.rf.d5bf1b1dc7cbb65c899e3a953da528c6.jpg,Shrimp_320_jpg.rf.d5bf1b1dc7cbb65c899e3a953da528c6.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_320_jpg.rf.d5bf1b1dc7cbb65c899e3a953da528c6.txt,True,True,shrimp::320,320,1,Shrimp,Shrimp_320,2,whitespot,1,False,0.022784897165179244,0.011392448582589622,0000011100000111000001110000011100001011000111110000111100001111,1111111111111111111111111101111111101011011101110001111111011111
ewu,EWU Roboflow segmentation,train,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_321-1-_jpg.rf.1c244723dfb11b6e90d3973752357369.jpg,Shrimp_321-1-_jpg.rf.1c244723dfb11b6e90d3973752357369.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_321-1-_jpg.rf.1c244723dfb11b6e90d3973752357369.txt,True,True,shrimp::321,321,1,Shrimp,Shrimp_321-1-,2,whitespot,1,False,0.011745354624748239,0.005872677312374119,1111111110111111000111110010111100010100000000010000001100111111,0111111101111111011111111110110010100101000110110001111111100101
ewu,EWU Roboflow segmentation,train,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_321-2-_jpg.rf.149980f06b0bd5a67a61980f007841c1.jpg,Shrimp_321-2-_jpg.rf.149980f06b0bd5a67a61980f007841c1.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_321-2-_jpg.rf.149980f06b0bd5a67a61980f007841c1.txt,True,True,shrimp::321,321,2,Shrimp,Shrimp_321-2-,1,whitespot,1,False,0.030689592300891813,0.030689592300891813,1111111111111111111111111111100101000001000000110000011111001111,1111101101111111101011010010100110000011010001110100110110011111
ewu,EWU Roboflow segmentation,train,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_321-3-_jpg.rf.cc30b4bcf5642df19aadbb9216fc00ce.jpg,Shrimp_321-3-_jpg.rf.cc30b4bcf5642df19aadbb9216fc00ce.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_321-3-_jpg.rf.cc30b4bcf5642df19aadbb9216fc00ce.txt,True,True,shrimp::321,321,3,Shrimp,Shrimp_321-3-,1,whitespot,1,False,0.028423770990371647,0.028423770990371647,1111111111111111111111111111110100000001000000110000001111101111,1111101111111111100111011011100111000011011001110100110111001111
