archive	member	size_bytes	sha256	candidate_reason	status
\\wsl.localhost\Ubuntu\home\nhanayai\.vscode-server\bin\0958016b2af9f09bb4257e0df4a95e2f90590f9f-1779034552.tar.gz					error:EOFError('Compressed file ended before the end-of-stream marker was reached')
D:\CVio\CVio_YOLO26m_TestAug_vs_TTA_seed42_RESULTS.zip	training/YOLO26m-cls_CE/best.pt	20883606	4acb5924b7d1d845a775fdcd623edf61834821ca8cb13f5f3b7a10c9cc2a409d	best.pt;suffix:.pt;tokens:yolo26m	ok
D:\CVio\CVio_YOLO26m_TestAug_vs_TTA_seed42_RESULTS.zip	training/YOLO26m-cls_ASL-LDAM_SimAM-DCFR/best.pt	21946242	8fd72ad5f1ffc9767f3ed24ce65c3ac3b51dc07e5e95045eac2943676cbcaafe	best.pt;suffix:.pt;tokens:asl,ldam,simam,dcfr,yolo26m	ok
D:\CVio\Final_thesis_figs\legacy\CVio_Shrimp_Disease_Classification_Capstone_SU26-paper-asl-ldam-simam-dcfr-yolo-noisy-shrimp.zip	CVio_Shrimp_Disease_Classification_Capstone_SU26-paper-asl-ldam-simam-dcfr-yolo-noisy-shrimp/export/yolo26m_asl_ldam_simam_dcfr_fp16.tflite	20767070	c8d1f744871c32f79e495ee950c7a6fc53de114aaefab757e4da3ff83f1275d7	deployment_export:.tflite;tokens:asl,ldam,simam,dcfr,yolo26m,classification	ok
D:\CVio\Final_thesis_figs\legacy\CVio_Shrimp_Disease_Classification_Capstone_SU26-paper-asl-ldam-simam-dcfr-yolo-noisy-shrimp.zip	CVio_Shrimp_Disease_Classification_Capstone_SU26-paper-asl-ldam-simam-dcfr-yolo-noisy-shrimp/export/yolo26m_asl_ldam_simam_dcfr_fp32.tflite	41443690	9834ecbaeee14878da2fd53a811005cfa2ed8192b94f9d8a7f5b732b19d1689d	deployment_export:.tflite;tokens:asl,ldam,simam,dcfr,yolo26m,classification	ok
D:\CVio\Final_thesis_figs\legacy\CVio_ShrimpDB_Combined_YOLO26m_CE_Baseline_seed42_RESULTS.zip	source_packages/ce_baseline/runs/yolo26m_cls__baseline_ce__combined4__seed42/weights/best.pt	20883670	adebc0a4e16fe45f2b1f12e375c5514d15a9eafb8be5939834d27208a744c5ad	best.pt;suffix:.pt;tokens:yolo26m	ok
D:\CVio\Final_thesis_figs\legacy\CVio_ShrimpDB_Combined_YOLO26m_CE_Baseline_seed42_RESULTS.zip	source_packages/ce_baseline/runs/yolo26m_cls__baseline_ce__combined4__seed42/weights/last.pt	20883670	6b7ba8b74d77200136c45378f96b167ca07fd1a7b432f6d988f2f665435cdebe	last.pt;suffix:.pt;tokens:yolo26m	ok
D:\CVio\Final_thesis_figs\legacy\CVio_ShrimpDB_Combined_YOLO26m_CE_Baseline_seed42_RESULTS.zip	source_packages/ce_baseline/runs/yolo26m_cls__baseline_ce__shrimpdb3__seed42/weights/best.pt	20880662	055e22edd699bea623a4b1b8c34ad7a395b56658036a4495e5b54159b786c8ea	best.pt;suffix:.pt;tokens:yolo26m	ok
D:\CVio\Final_thesis_figs\legacy\CVio_ShrimpDB_Combined_YOLO26m_CE_Baseline_seed42_RESULTS.zip	source_packages/ce_baseline/runs/yolo26m_cls__baseline_ce__shrimpdb3__seed42/weights/last.pt	20880662	6869eb8268f3ee7af7ad952dd16da0156798ed46a5737e757bd27f7dfdaca631	last.pt;suffix:.pt;tokens:yolo26m	ok
D:\CVio\Final_thesis_figs\legacy\CVio_ShrimpDB_Combined_YOLO26m_CE_Baseline_seed42_RESULTS.zip	source_packages/ce_baseline/final_baseline_model/yolo26m_ce_baseline_combined4_best.pt	20883670	adebc0a4e16fe45f2b1f12e375c5514d15a9eafb8be5939834d27208a744c5ad	suffix:.pt;tokens:yolo26m	ok
