epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6599,2.4609,4.71228,5.94939,2.14337,0,0.00127,0.52896,0.09395,0.024,0.0009,0.37204,0.0378,0.0074,1.67242,4.04735,72.178,1.48444,0,0.000546086,0.000546086,0.000546086
2,39.729,2.32023,4.18428,4.57727,1.97755,0,0.57696,0.16667,0.15469,0.04669,0.55925,0.09722,0.10543,0.0254,1.78673,3.48922,63.9076,1.48017,0,0.00109085,0.00109085,0.00109085
3,57.7838,2.37018,4.1928,3.81973,2.08285,0,0.19299,0.28852,0.14273,0.04785,0.1759,0.21908,0.10119,0.02817,1.68088,3.88513,79.9212,1.62062,0,0.0016246,0.0016246,0.0016246
4,75.8084,2.25488,4.0234,3.12905,1.97458,0,0.13505,0.32299,0.10604,0.0341,0.13034,0.27069,0.09617,0.02478,1.72703,3.44256,69.2718,1.54988,0,0.00161749,0.00161749,0.00161749
5,93.4827,2.2247,3.91853,2.77484,1.92567,0,0.32754,0.45538,0.29433,0.09434,0.27487,0.35402,0.21975,0.05888,1.66305,3.72425,59.6323,1.46471,0,0.00160099,0.00160099,0.00160099
6,111.943,2.2056,3.75231,2.38521,1.88153,0,0.28043,0.46217,0.25334,0.08411,0.21332,0.36658,0.20329,0.05911,1.61212,2.96776,16.786,1.33368,0,0.00158448,0.00158448,0.00158448
7,130.264,2.18739,3.72307,2.31401,1.85267,0,0.34816,0.36791,0.31844,0.11088,0.35189,0.29108,0.25825,0.08547,1.59969,2.91605,13.6672,1.33159,0,0.00156798,0.00156798,0.00156798
8,147.921,2.12863,3.57891,2.19801,1.83054,0,0.45893,0.33777,0.34599,0.13728,0.47843,0.29935,0.30545,0.10369,1.6511,2.75128,8.1978,1.36386,0,0.00155148,0.00155148,0.00155148
9,166.005,2.11254,3.58868,2.07538,1.83921,0,0.43823,0.38357,0.39833,0.16669,0.39952,0.33777,0.3141,0.12066,1.57019,2.64473,10.1644,1.37408,0,0.00153497,0.00153497,0.00153497
10,183.55,2.09397,3.46404,1.94771,1.80886,0,0.50058,0.46101,0.44618,0.18248,0.37778,0.35398,0.28862,0.08696,1.56408,3.00522,7.24072,1.3196,0,0.00151847,0.00151847,0.00151847
