epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3623,2.36419,4.62116,6.17052,2.15029,0,0.00131,0.46331,0.00806,0.00165,0.00101,0.35212,0.00715,0.0012,2.13804,4.20954,9.82397,1.9702,0,0.000546086,0.000546086,0.000546086
2,41.9571,2.28558,4.13695,4.48782,2.12446,0,0.66616,0.11538,0.12304,0.04932,0.70855,0.14103,0.11941,0.03201,2.30298,4.68664,8.65335,2.26652,0,0.00109085,0.00109085,0.00109085
3,58.5548,2.23213,4.04067,3.79583,2.05983,0,0.09723,0.27409,0.05156,0.0137,0.09985,0.19717,0.05197,0.01199,2.35247,4.22925,20.8598,2.34256,0,0.0016246,0.0016246,0.0016246
4,75.1916,2.28582,4.00946,3.1664,2.15346,0,0.28697,0.18823,0.13087,0.04328,0.16967,0.09439,0.04583,0.01227,2.38168,11.4968,4.91685,2.09924,0,0.00161749,0.00161749,0.00161749
5,91.8652,2.2688,3.85127,2.73144,2.16219,0,0.30803,0.20115,0.20319,0.07318,0.32561,0.11655,0.10018,0.02176,2.35299,5.19121,4.30973,2.39734,0,0.00160099,0.00160099,0.00160099
6,108.313,2.16093,3.73251,2.37961,2.05514,0,0.49662,0.31786,0.35669,0.15517,0.46594,0.27056,0.24693,0.06622,2.32699,4.25119,3.11412,2.32027,0,0.00158448,0.00158448,0.00158448
7,125.218,2.13181,3.62417,2.24173,2.01479,0,0.39217,0.36892,0.29393,0.09015,0.2518,0.26194,0.1971,0.04707,2.38522,4.4369,3.2648,2.25455,0,0.00156798,0.00156798,0.00156798
8,141.779,2.09745,3.55975,2.16769,1.96269,0,0.43752,0.32582,0.3549,0.12304,0.36428,0.30897,0.28679,0.08581,2.23558,3.77083,3.55973,2.01876,0,0.00155148,0.00155148,0.00155148
9,158.108,2.03952,3.38961,2.0057,1.89284,0,0.32931,0.33002,0.32101,0.13338,0.838,0.19231,0.28024,0.0927,2.28662,3.9047,3.38115,2.15413,0,0.00153497,0.00153497,0.00153497
10,174.875,2.04493,3.41124,1.94592,1.94232,0,0.56428,0.27536,0.35682,0.13731,0.4676,0.33986,0.32737,0.09711,2.22183,3.42974,2.67358,2.00793,0,0.00151847,0.00151847,0.00151847
11,191.397,1.96597,3.25583,1.84834,1.88664,0,0.51352,0.38683,0.40144,0.15788,0.50509,0.40787,0.36394,0.11471,2.22275,3.62906,2.84755,2.26414,0,0.00150197,0.00150197,0.00150197
12,207.952,1.9079,3.30335,1.80639,1.78079,0,0.38713,0.39899,0.3796,0.14038,0.36984,0.37905,0.34976,0.09752,2.25722,3.79454,2.54162,2.1243,0,0.00148546,0.00148546,0.00148546
13,224.668,1.99833,3.21367,1.78825,1.85257,0,0.49768,0.39478,0.41682,0.16919,0.48436,0.38694,0.3717,0.10994,2.20481,3.68942,2.46656,2.15892,0,0.00146896,0.00146896,0.00146896
14,241.294,1.90304,3.18352,1.76641,1.77616,0,0.51956,0.44695,0.4389,0.16947,0.48814,0.42971,0.38949,0.11811,2.15624,3.46538,2.51289,2.05681,0,0.00145246,0.00145246,0.00145246
15,258.141,1.86683,3.17061,1.68544,1.7657,0,0.44819,0.45604,0.45325,0.17508,0.48421,0.42573,0.36712,0.11675,2.17369,3.54142,2.18011,2.05511,0,0.00143595,0.00143595,0.00143595
16,274.579,1.90349,3.08399,1.66295,1.77226,0,0.54211,0.43211,0.46321,0.18826,0.49527,0.3908,0.40868,0.15221,2.14665,3.29842,2.04482,2.07637,0,0.00141945,0.00141945,0.00141945
17,291.387,1.77972,3.00893,1.58907,1.66019,0,0.53196,0.50243,0.48824,0.20312,0.45787,0.43369,0.38822,0.11579,2.19968,3.75579,1.91135,2.05599,0,0.00140295,0.00140295,0.00140295
18,307.612,1.84143,3.06527,1.60053,1.71581,0,0.19789,0.16843,0.16304,0.04693,0.27417,0.18899,0.16485,0.04438,2.14121,3.50656,3.40714,1.91165,0,0.00138644,0.00138644,0.00138644
19,323.981,1.82402,3.0442,1.59894,1.69782,0,0.64543,0.41147,0.43062,0.16578,0.6259,0.39682,0.39425,0.11686,2.11762,3.49397,1.98675,1.94539,0,0.00136994,0.00136994,0.00136994
20,340.666,1.75408,2.92985,1.51279,1.68389,0,0.58314,0.41247,0.465,0.17507,0.55595,0.39103,0.43083,0.13305,2.22856,3.23744,1.90626,2.14315,0,0.00135344,0.00135344,0.00135344
21,356.899,1.71443,2.86015,1.50526,1.6535,0,0.51681,0.49567,0.47924,0.19766,0.52812,0.48045,0.46184,0.15902,2.18708,3.3409,2.11964,2.08781,0,0.00133693,0.00133693,0.00133693
22,373.554,1.73802,2.8637,1.44245,1.61645,0,0.7029,0.39265,0.45696,0.14832,0.65041,0.33488,0.40694,0.12102,2.31803,3.43198,1.94994,2.09243,0,0.00132043,0.00132043,0.00132043
23,390.507,1.71562,2.8454,1.40808,1.61666,0,0.77172,0.36351,0.48494,0.20784,0.77172,0.36351,0.47256,0.15604,2.12553,3.45211,1.87815,2.01192,0,0.00130393,0.00130393,0.00130393
24,406.509,1.70522,2.81198,1.37477,1.60067,0,0.49794,0.48097,0.47698,0.19601,0.46686,0.48427,0.43804,0.13028,2.22423,3.40056,1.87962,2.08832,0,0.00128742,0.00128742,0.00128742
25,422.732,1.66381,2.73203,1.35401,1.58954,0,0.69838,0.45449,0.51231,0.23765,0.66234,0.42574,0.46837,0.18534,2.09653,3.31109,1.82997,1.97191,0,0.00127092,0.00127092,0.00127092
