epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7813,2.40071,4.82986,6.17643,2.12592,0,0.00161,0.53986,0.0057,0.00128,0.0011,0.36976,0.00386,0.0008,2.36098,4.41421,9.11597,2.01757,0,0.000546086,0.000546086,0.000546086
2,38.3767,2.32882,4.30171,4.70902,2.09909,0,0.00117,0.38654,0.00702,0.0014,0.00063,0.21892,0.00336,0.00057,2.53337,4.66003,8.84943,2.12922,0,0.00109085,0.00109085,0.00109085
3,55.6291,2.36654,4.20273,3.9143,2.18106,0,0.18097,0.2725,0.12095,0.03559,0.16816,0.19641,0.09739,0.02688,2.30167,4.50198,6.0338,2.33095,0,0.0016246,0.0016246,0.0016246
4,73.2994,2.34345,4.09204,3.16212,2.14372,0,0.22184,0.34687,0.18628,0.06273,0.17577,0.2645,0.1312,0.02895,2.20128,4.64829,12.3611,2.09449,0,0.00161749,0.00161749,0.00161749
5,90.393,2.29235,3.99974,2.70454,2.11039,0,0.2416,0.30178,0.19653,0.06502,0.14902,0.26127,0.13248,0.04057,2.25937,4.26637,3.60926,2.13983,0,0.00160099,0.00160099,0.00160099
6,107.453,2.17408,3.90211,2.41587,2.00864,0,0.29133,0.33848,0.2341,0.08243,0.27804,0.28623,0.20948,0.0608,2.23773,3.62267,3.71543,2.11876,0,0.00158448,0.00158448,0.00158448
7,124.994,2.19584,3.79062,2.26309,2.04044,0,0.39984,0.30185,0.27005,0.10429,0.31462,0.33677,0.22457,0.06825,2.26503,3.54776,3.20636,2.15704,0,0.00156798,0.00156798,0.00156798
8,141.817,2.18496,3.73518,2.09078,2.00374,0,0.32604,0.35984,0.26657,0.09779,0.34253,0.32799,0.2441,0.07482,2.22573,3.60544,2.83423,2.17341,0,0.00155148,0.00155148,0.00155148
9,159.119,2.09401,3.559,1.98289,1.95472,0,0.38196,0.32551,0.31254,0.09896,0.28432,0.32799,0.21189,0.06541,2.1028,3.78194,2.48624,1.94185,0,0.00153497,0.00153497,0.00153497
10,176.494,2.08011,3.54253,2.01064,1.94694,0,0.32877,0.32513,0.30558,0.12036,0.27989,0.2992,0.27196,0.08873,1.96656,3.52949,2.52769,1.96702,0,0.00151847,0.00151847,0.00151847
11,193.569,2.06861,3.46857,1.8826,1.93116,0,0.69841,0.3215,0.34406,0.11828,0.23623,0.24561,0.28035,0.08974,2.21698,3.55324,2.95699,2.14552,0,0.00150197,0.00150197,0.00150197
12,211.233,2.0243,3.46357,1.86993,1.88357,0,0.56461,0.4283,0.44277,0.16604,0.39661,0.36308,0.33314,0.1,1.95983,3.6277,2.18554,1.85624,0,0.00148546,0.00148546,0.00148546
13,228.961,2.00544,3.45306,1.79821,1.85335,0,0.40193,0.38196,0.34173,0.11651,0.36924,0.30587,0.27238,0.07943,2.06103,3.46619,2.39128,1.92205,0,0.00146896,0.00146896,0.00146896
14,246.899,2.01052,3.33542,1.74102,1.84792,0,0.64821,0.38063,0.42536,0.16231,0.57655,0.35221,0.36675,0.11544,1.97491,3.3419,2.77213,1.8999,0,0.00145246,0.00145246,0.00145246
15,264.528,1.93538,3.30342,1.70268,1.78158,0,0.34801,0.43459,0.34809,0.14114,0.33841,0.38283,0.26985,0.08721,2.0388,3.54195,2.28654,1.8842,0,0.00143595,0.00143595,0.00143595
16,282.241,1.97492,3.27529,1.67991,1.81564,0,0.52563,0.39151,0.47266,0.20277,0.4759,0.3648,0.39065,0.14348,1.95431,3.24804,2.12884,1.7842,0,0.00141945,0.00141945,0.00141945
17,299.906,1.92137,3.25783,1.66899,1.79648,0,0.50099,0.3812,0.39977,0.15337,0.45886,0.33219,0.33166,0.11567,2.06113,3.24657,1.96866,1.89771,0,0.00140295,0.00140295,0.00140295
18,317.415,1.85341,3.16097,1.61792,1.72967,0,0.56546,0.50019,0.51753,0.20254,0.55993,0.40797,0.41684,0.13285,1.93028,3.19344,2.39416,1.82675,0,0.00138644,0.00138644,0.00138644
19,334.741,1.87333,3.10859,1.60584,1.76229,0,0.5697,0.45042,0.47113,0.18567,0.56989,0.43078,0.41961,0.14655,2.0164,3.1231,1.95771,1.8385,0,0.00136994,0.00136994,0.00136994
20,351.688,1.8463,3.058,1.51336,1.69351,0,0.5505,0.45252,0.46834,0.19159,0.4466,0.43242,0.37395,0.13775,1.97201,3.23071,1.83668,1.91992,0,0.00135344,0.00135344,0.00135344
21,369.24,1.84831,3.08656,1.5034,1.69636,0,0.54067,0.40495,0.42188,0.16057,0.48628,0.35358,0.35337,0.11834,1.9875,3.19805,2.29935,1.81788,0,0.00133693,0.00133693,0.00133693
22,386.732,1.83775,3.06038,1.52642,1.68647,0,0.60954,0.49093,0.51642,0.22734,0.56158,0.45364,0.44087,0.15667,1.96751,3.28991,1.80633,1.8302,0,0.00132043,0.00132043,0.00132043
23,404.02,1.78814,3.02297,1.45615,1.65649,0,0.63289,0.48189,0.54245,0.24255,0.6358,0.47635,0.51614,0.1818,1.94751,3.03561,1.78424,1.7775,0,0.00130393,0.00130393,0.00130393
24,422.179,1.75198,2.95287,1.43348,1.62438,0,0.57737,0.5256,0.56046,0.23899,0.54114,0.47103,0.46843,0.16261,1.9623,3.19924,1.82707,1.80827,0,0.00128742,0.00128742,0.00128742
25,439.728,1.72913,2.90091,1.42553,1.61947,0,0.499,0.51316,0.49314,0.21381,0.41204,0.45461,0.37785,0.14079,1.97908,3.26456,1.87759,1.83094,0,0.00127092,0.00127092,0.00127092
26,456.858,1.73013,2.86453,1.3752,1.59136,0,0.73713,0.43463,0.5547,0.23318,0.56125,0.39397,0.45676,0.16877,1.93436,3.15528,1.86073,1.71256,0,0.00125442,0.00125442,0.00125442
27,473.434,1.69034,2.82887,1.37831,1.60299,0,0.62584,0.49503,0.53591,0.22682,0.6015,0.49141,0.50874,0.17105,1.98478,3.008,1.68669,1.81284,0,0.00123791,0.00123791,0.00123791
28,491.554,1.68851,2.87454,1.32879,1.55339,0,0.55913,0.51811,0.52672,0.21446,0.50273,0.44397,0.41978,0.12457,2.03966,3.27722,1.9025,1.7871,0,0.00122141,0.00122141,0.00122141
29,508.272,1.72698,2.81302,1.31954,1.59826,0,0.59927,0.49809,0.56148,0.23707,0.55487,0.5018,0.49601,0.17787,1.92374,3.01359,1.70746,1.73657,0,0.00120491,0.00120491,0.00120491
30,525.042,1.68294,2.79075,1.2772,1.56784,0,0.64622,0.57456,0.58911,0.24156,0.59162,0.51812,0.51686,0.18828,2.05321,2.95218,1.57608,1.85318,0,0.0011884,0.0011884,0.0011884
31,542.496,1.65187,2.75402,1.2636,1.5542,0,0.54954,0.47845,0.50058,0.21008,0.4893,0.50057,0.43295,0.15747,1.98798,3.1382,1.79278,1.79786,0,0.0011719,0.0011719,0.0011719
32,559.761,1.6299,2.7646,1.2286,1.52431,0,0.57631,0.53986,0.55531,0.23696,0.47878,0.47949,0.44696,0.17056,1.94448,3.1731,1.60886,1.76958,0,0.0011554,0.0011554,0.0011554
33,577.2,1.63312,2.7682,1.23947,1.52607,0,0.70245,0.5213,0.5863,0.24926,0.54383,0.50954,0.51553,0.1913,1.87065,3.13747,1.66817,1.6725,0,0.00113889,0.00113889,0.00113889
34,594.411,1.57705,2.698,1.20332,1.48969,0,0.7444,0.5385,0.5943,0.25402,0.63961,0.52059,0.52035,0.18563,1.84799,2.9307,1.60617,1.7094,0,0.00112239,0.00112239,0.00112239
35,611.906,1.56156,2.63522,1.15249,1.47766,0,0.59518,0.52651,0.59026,0.26079,0.56079,0.49508,0.53365,0.19873,1.9574,3.16353,1.71167,1.75088,0,0.00110589,0.00110589,0.00110589
36,629.611,1.52782,2.67172,1.15196,1.45543,0,0.68351,0.63387,0.62936,0.2708,0.6391,0.57952,0.54302,0.1951,1.91504,2.90704,1.44611,1.66148,0,0.00108938,0.00108938,0.00108938
37,646.871,1.48307,2.62584,1.12848,1.39775,0,0.77776,0.58551,0.64852,0.27838,0.72444,0.55243,0.57757,0.22902,1.83464,2.92309,1.54147,1.6954,0,0.00107288,0.00107288,0.00107288
38,664.346,1.526,2.64978,1.11852,1.42395,0,0.49596,0.65389,0.5897,0.24797,0.48454,0.6167,0.51953,0.18477,1.9289,2.91917,1.55169,1.68412,0,0.00105638,0.00105638,0.00105638
39,681.649,1.52011,2.6118,1.10875,1.42001,0,0.78218,0.58202,0.6197,0.29525,0.66467,0.5532,0.58019,0.2168,1.82871,2.82534,1.46495,1.6343,0,0.00103987,0.00103987,0.00103987
40,699.013,1.49558,2.54067,1.06881,1.40698,0,0.61148,0.53086,0.57243,0.25296,0.48962,0.50686,0.47715,0.19411,1.80312,3.01862,1.59823,1.69027,0,0.00102337,0.00102337,0.00102337
41,716.504,1.47486,2.48624,1.05659,1.4062,0,0.59094,0.54046,0.56187,0.26674,0.55958,0.52422,0.52598,0.20281,1.94955,2.97193,1.504,1.69072,0,0.00100687,0.00100687,0.00100687
42,734.364,1.4493,2.44392,1.0732,1.37904,0,0.68894,0.5556,0.61113,0.29209,0.6884,0.53566,0.56906,0.2271,1.80193,2.98068,1.41577,1.58869,0,0.000990365,0.000990365,0.000990365
