dataset_key,specimen_key,images,splits,shrimp_id,disease_from_name,mask_instances,co_infection_images,example_images
ewu,shrimp::318,3,train,318,Shrimp,6,0,Shrimp_318-1-_jpg.rf.2a2a215d5bf2fd7002536cdc57e8607f.jpg; Shrimp_318-2-_jpg.rf.0dbba7d8d0f9fd1951ddb61c556f4ad3.jpg; Shrimp_318-3-_jpg.rf.78b0be2d1a0a4256946be895317c12c1.jpg
ewu,shrimp::319,3,train,319,Shrimp,6,0,Shrimp_319-1-_jpg.rf.1eecb8db66bfa6719aa346e652f6411f.jpg; Shrimp_319-2-_jpg.rf.83f6969ca9cfe254c3bd7a2ed24281ab.jpg; Shrimp_319-3-_jpg.rf.5ce9169784415418060fb78d2dc52dfb.jpg
ewu,shrimp::321,3,train,321,Shrimp,4,0,Shrimp_321-1-_jpg.rf.1c244723dfb11b6e90d3973752357369.jpg; Shrimp_321-2-_jpg.rf.149980f06b0bd5a67a61980f007841c1.jpg; Shrimp_321-3-_jpg.rf.cc30b4bcf5642df19aadbb9216fc00ce.jpg
ewu,shrimp::322,3,train,322,Shrimp,9,0,Shrimp_322-1-_jpg.rf.21c212e745a38c1cc4017838cdd98370.jpg; Shrimp_322-2-_jpg.rf.48f406927677bb97075fab17d7289f47.jpg; Shrimp_322-3-_jpg.rf.6978857f76e7874078c866ea3ce51a0f.jpg
ewu,shrimp::323,3,train,323,Shrimp,4,0,Shrimp_323-1-_jpg.rf.396e8eb5d8bcbf6b0941dfb13a6d33a0.jpg; Shrimp_323-2-_jpg.rf.d350aaa17c3d601c8da69d064eb35de7.jpg; Shrimp_323-3-_jpg.rf.de4c842e0502092a0617cc2d569ebc94.jpg
ewu,shrimp::324,3,train,324,Shrimp,13,0,Shrimp_324-1-_jpg.rf.3ab6ab7085046b5f4008187699f307c9.jpg; Shrimp_324-2-_jpg.rf.06c36bc25e6923d8f79890bfd0764102.jpg; Shrimp_324-3-_jpg.rf.a67c9a5c7123e3143d575f992ddc9df4.jpg
ewu,shrimp::325,3,train,325,Shrimp,6,0,Shrimp_325-1-_jpg.rf.9c522edf9854bf1889bb4ca883bc625e.jpg; Shrimp_325-2-_jpg.rf.791306e288a2223bff65c1bbd67f38c7.jpg; Shrimp_325-3-_jpg.rf.7aa777e0ed1e9140c6b22ae819ef5576.jpg
ewu,shrimp::326,3,train,326,Shrimp,7,0,Shrimp_326-1-_jpg.rf.06e720b11e39183c043d0a85f96bf437.jpg; Shrimp_326-2-_jpg.rf.c102c57ce00a59362c9c5b6c94dcf9b4.jpg; Shrimp_326-3-_jpg.rf.8dd585c4670664d46095873cec6e0f5a.jpg
ewu,shrimp::327,3,train,327,Shrimp,6,0,Shrimp_327-1-_jpg.rf.e5da2428aa37fdd2b4f1b4f83ee04cd5.jpg; Shrimp_327-2-_jpg.rf.8b1edb5fa24069d3040a8e651f57fadd.jpg; Shrimp_327-3-_jpg.rf.e7906630a06e99f779250b11ff177070.jpg
ewu,shrimp::328,3,train,328,Shrimp,6,0,Shrimp_328-1-_jpg.rf.9d6e6536d6fb158b7d91d1d44b50b761.jpg; Shrimp_328-2-_jpg.rf.6305694ac34459136612cb50bbe39e22.jpg; Shrimp_328-3-_jpg.rf.802715b244bf136fd5867fea62113a55.jpg
ewu,shrimp::330,3,train,330,Shrimp,4,0,Shrimp_330-1-_jpg.rf.bcea83f8f36dbad5b04a041812118a45.jpg; Shrimp_330-2-_jpg.rf.2fdb33890c67f034460d027908683db7.jpg; Shrimp_330-3-_jpg.rf.42b8b0de59dc736a2741e3134f867e72.jpg
ewu,shrimp::331,3,train,331,Shrimp,8,0,Shrimp_331-1-_jpg.rf.8ba41d4bfadeb62c9aa12fcc52352747.jpg; Shrimp_331-2-_jpg.rf.c6c934a37d09bc51e98e33779dda22c5.jpg; Shrimp_331-3-_jpg.rf.473e7c61e880503af96a0e54ed9e2406.jpg
ewu,shrimp::332,3,train,332,Shrimp,7,0,Shrimp_332-1-_jpg.rf.59485f4126540fff73bbfa9f8fd42cb7.jpg; Shrimp_332-2-_jpg.rf.f8f34768ca58fc6939eb544d45ae072f.jpg; Shrimp_332-3-_jpg.rf.37a542b7716c420cb40dd208141c8016.jpg
ewu,shrimp::333,3,train,333,Shrimp,6,0,Shrimp_333-1-_jpg.rf.03dc55626a3361e1b846d3f72133bcad.jpg; Shrimp_333-2-_jpg.rf.db8608cf392a1f209377cfb55debc1e8.jpg; Shrimp_333-3-_jpg.rf.608f7d15bc86251c13aaa58422d1f64e.jpg
ewu,shrimp::334,3,train,334,Shrimp,6,0,Shrimp_334-1-_jpg.rf.31f0008585c246ecaa437f5e4475b4b4.jpg; Shrimp_334-2-_jpg.rf.abcee567b1b91183b378b88ce2f98e24.jpg; Shrimp_334-3-_jpg.rf.a9b7d9a69a7d2ec21453e66c1db0b79e.jpg
ewu,shrimp::335,3,train,335,Shrimp,5,0,Shrimp_335-1-_jpg.rf.c0993682e4ad54cef6ef7e56f58da834.jpg; Shrimp_335-2-_jpg.rf.c52346e34923ee6a9a15649884324b01.jpg; Shrimp_335-3-_jpg.rf.4c0ef3dbc9a4ddff74cd0c438a18769f.jpg
ewu,shrimp::336,3,train,336,Shrimp,6,0,Shrimp_336-1-_jpg.rf.020eaa6634c859fd9643f552b63eaa67.jpg; Shrimp_336-2-_jpg.rf.2335e0f0e3a7fd15fc81db92bfdc778a.jpg; Shrimp_336-3-_jpg.rf.930a05ddc643071beb82ac80056f9085.jpg
ewu,shrimp::337,3,train,337,Shrimp,8,0,Shrimp_337-1-_jpg.rf.1df44e677ef6a426c400d45cf0355862.jpg; Shrimp_337-2-_jpg.rf.d16b03180f46562e921e422a39ff0cfe.jpg; Shrimp_337-3-_jpg.rf.c724b534c6bf80005fa9f4a845fe9d15.jpg
ewu,shrimp::338,3,train,338,Shrimp,7,0,Shrimp_338-1-_jpg.rf.c342cf72d7ca5634707b5ddb93c1ed0c.jpg; Shrimp_338-2-_jpg.rf.b0f893caeb8b5df56ca63a09a8db45f6.jpg; Shrimp_338-3-_jpg.rf.eb006cdc73b07661ac05bd2d7bc35c7b.jpg
ewu,shrimp::339,3,train,339,Shrimp,9,0,Shrimp_339-1-_jpg.rf.70fb2d24de0b5f28a993bc6a04b924af.jpg; Shrimp_339-2-_jpg.rf.c1a8c75a2bcfd2dbbdf4b5cd70188182.jpg; Shrimp_339-3-_jpg.rf.b45520d7b4f9e7ba152e1fbdf48b6d35.jpg
ewu,shrimp::340,3,train,340,Shrimp,8,0,Shrimp_340-1-_jpg.rf.a0e4294dd93a6d91d9b6837ba7d50dc2.jpg; Shrimp_340-2-_jpg.rf.df1e0780cc6402fe5613f12ce0bee671.jpg; Shrimp_340-3-_jpg.rf.f5ed172c5449879e28d423b46894930c.jpg
ewu,shrimp::341,3,train,341,Shrimp,6,0,Shrimp_341-1-_jpg.rf.b23fdba420271370ebd085b842bc20f9.jpg; Shrimp_341-2-_jpg.rf.5890351bbabe13693d512ed2d4541ab7.jpg; Shrimp_341-3-_jpg.rf.09885fa79e4d0405953a7067493fc282.jpg
ewu,shrimp::342,3,train,342,Shrimp,11,0,Shrimp_342-1-_jpg.rf.40080e3f5307041de3a0c7c6178dc2aa.jpg; Shrimp_342-2-_jpg.rf.ad04613a57442cbaf1b3d19d6f0f4d84.jpg; Shrimp_342-3-_jpg.rf.5b87c1651aef1404fac5ccee0e25b939.jpg
ewu,shrimp::343,3,train,343,Shrimp,7,0,Shrimp_343-1-_jpg.rf.17f7a89a573885ec94d582e4baa4312e.jpg; Shrimp_343-2-_jpg.rf.71dac2a12639053f4893572308252957.jpg; Shrimp_343-3-_jpg.rf.e1ffe3f37365d651e2734a2c88396995.jpg
ewu,shrimp::344,3,train,344,Shrimp,5,0,Shrimp_344-1-_jpg.rf.090531fc92cb394ee10fa23346ee7d0b.jpg; Shrimp_344-2-_jpg.rf.fd3467d91d33f2713acd4ca9eb509506.jpg; Shrimp_344-3-_jpg.rf.e53d55670359c5b174e3360b90235792.jpg
ewu,shrimp::346,3,train,346,Shrimp,7,0,Shrimp_346-1-_jpg.rf.83c3d137a0355aa90044d3a29aadfaf0.jpg; Shrimp_346-2-_jpg.rf.a8434022563d6445e3e7160388e604fc.jpg; Shrimp_346-3-_jpg.rf.109dfeac829de7f70f68589b886c5fee.jpg
ewu,shrimp::347,3,train,347,Shrimp,6,0,Shrimp_347-1-_jpg.rf.4464934c378e5ec4bbcc2c44f853216c.jpg; Shrimp_347-2-_jpg.rf.7d41f202bdb3cb750922cb2c586402d7.jpg; Shrimp_347-3-_jpg.rf.06a4e5927b337b98ff24b568f498133e.jpg
ewu,shrimp::348,3,train,348,Shrimp,5,0,Shrimp_348-1-_jpg.rf.9932ed43aec9cf64d38c790948fbeda8.jpg; Shrimp_348-2-_jpg.rf.0ca6fc82f2523331d50fcfb2becebf49.jpg; Shrimp_348-3-_jpg.rf.d7a6af5f96173d22d47a7c0543aa44be.jpg
ewu,shrimp::349,3,train,349,Shrimp,6,0,Shrimp_349-1-_jpg.rf.714079f99af3a60ef70236d2badf3be5.jpg; Shrimp_349-2-_jpg.rf.82cca54b0945d17d76628560ca215503.jpg; Shrimp_349-3-_jpg.rf.17a56481b3dbe29a7e48807f698d670f.jpg
ewu,shrimp::351,3,train,351,Shrimp,7,0,Shrimp_351-1-_jpg.rf.570d60c7f86d1cd0b06130368faa59a6.jpg; Shrimp_351-2-_jpg.rf.ca2ba17602cff5435f3b33027d24481a.jpg; Shrimp_351-3-_jpg.rf.c861a5e04fd7d96a010196307f76fc9f.jpg
ewu,shrimp::352,3,train,352,Shrimp,6,0,Shrimp_352-1-_jpg.rf.60bde428482c632b8e0d694710d97e24.jpg; Shrimp_352-2-_jpg.rf.9ad839960f5d425d251930760e5d0079.jpg; Shrimp_352-3-_jpg.rf.b72118f6c43b0712e970bc90eadcc71d.jpg
ewu,shrimp::354,3,train,354,Shrimp,6,0,Shrimp_354-1-_jpg.rf.a9ead02b65f02a1298998795bd58107c.jpg; Shrimp_354-2-_jpg.rf.b6d127a8d01755a856c3cb9dad97bd20.jpg; Shrimp_354-3-_jpg.rf.895ab5f57daa84a784703fa452c4b53b.jpg
ewu,shrimp::355,3,train,355,Shrimp,6,0,Shrimp_355-1-_jpg.rf.be79e3844178d9b06ba62f4714105abd.jpg; Shrimp_355-2-_jpg.rf.82405893a5b7ca17befc399fa466017b.jpg; Shrimp_355-3-_jpg.rf.9bc49e3df38164fecf36b2e63f353768.jpg
ewu,shrimp::356,3,train,356,Shrimp,4,0,Shrimp_356-1-_jpg.rf.86f422c24a2f4cd062766e7ee9eda626.jpg; Shrimp_356-2-_jpg.rf.a34c632e22aa20238443ff38b50992a8.jpg; Shrimp_356-3-_jpg.rf.8a086c96d1f1cedcf6185da06a2113c5.jpg
ewu,shrimp::357,3,train,357,Shrimp,5,0,Shrimp_357-1-_jpg.rf.ab4979e4176537cf7e6022f2a57f362d.jpg; Shrimp_357-2-_jpg.rf.27430434fb3f0cea86a11826d59896ca.jpg; Shrimp_357-3-_jpg.rf.2f7ffcf474f3d10f07eb63abe8e56226.jpg
ewu,shrimp::358,3,train,358,Shrimp,4,0,Shrimp_358-1-_jpg.rf.140111120edf4d6a5cb4b0d35284be4c.jpg; Shrimp_358-2-_jpg.rf.6022cab458c15b72b0072e44818589e8.jpg; Shrimp_358-3-_jpg.rf.f70fab077a2dfa141d639711ffcf2bfe.jpg
ewu,shrimp::359,3,train,359,Shrimp,8,0,Shrimp_359-1-_jpg.rf.796f1459765bb5059ce0a28c8f39e18f.jpg; Shrimp_359-2-_jpg.rf.eb8a3804760d24ed162a7222802a7b7b.jpg; Shrimp_359-3-_jpg.rf.52b6a4bdd94d21428a707e7d3609dc6e.jpg
