split,image_path,classes_present,num_classes_present,box_count
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-11-img-1.jpg,BG,1,5
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-11-img-2.jpg,BG,1,5
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-11-img-3.jpg,BG,1,5
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-19-img-2.jpg,BG,1,1
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-2-img-1.jpg,BG,1,1
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-20-img-1.jpg,BG,1,1
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-21-img-1.jpg,BG,1,1
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-23-img-2.jpg,BG,1,4
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-29-img-2.jpg,BG,1,2
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-30-img-1.jpg,BG,1,3
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-30-img-2.jpg,BG,1,3
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-30-img-3.jpg,BG,1,4
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-31-img-2.jpg,BG,1,1
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-32-img-2.jpg,BG,1,3
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-36-img-1.jpg,BG,1,5
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-47-img-3.jpg,BG,1,3
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-48-img-1.jpg,BG,1,1
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-55-img-1.jpg,BG,1,1
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-59-img-1.jpg,BG,1,2
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-6-img-2.jpg,BG,1,1
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-62-img-2.jpg,BG,1,3
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-63-img-2.jpg,BG,1,2
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-67-img-2.jpg,BG,1,2
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-68-img-2.jpg,BG,1,4
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-7-img-3.jpg,BG,1,1
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-74-img-1.jpg,BG,1,23
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-74-img-3.jpg,BG,1,2
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-75-img-1.jpg,BG,1,5
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/BG-9-img-1.jpg,BG,1,2
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-10-img-1.jpg,WSSV,1,7
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-101-img-2.jpg,WSSV,1,8
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-104-img-1.jpg,WSSV,1,3
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-108-img-3.jpg,WSSV,1,5
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-109-img-2.jpg,WSSV,1,10
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-11-img-1.jpg,WSSV,1,7
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-11-img-3.jpg,WSSV,1,21
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-114-img-1.jpg,WSSV,1,7
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-12-img-1.jpg,WSSV,1,6
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-13-img-3.jpg,WSSV,1,2
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-14-img-2.jpg,WSSV,1,12
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-2-img-1.jpg,WSSV,1,3
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-23-img-3.jpg,WSSV,1,3
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-25-img-2.jpg,WSSV,1,5
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-27-img-2.jpg,WSSV,1,10
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-27-img-3.jpg,WSSV,1,4
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-28-img-3.jpg,WSSV,1,3
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-3-img-1.jpg,WSSV,1,18
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-30-img-2.jpg,WSSV,1,8
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-31-img-3.jpg,WSSV,1,11
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-32-img-3.jpg,WSSV,1,16
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-33-img-2.jpg,WSSV,1,11
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-36-img-3.jpg,WSSV,1,37
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-39-img-2.jpg,WSSV,1,3
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-44-img-1.jpg,WSSV,1,6
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-47-img-2.jpg,WSSV,1,20
test,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/test/WSSV-48-img-3.jpg,WSSV,1,25
