Repeat,Seed,Model,Backend,Backend Name,Loss,Loss Key,Loss Paper,Selection Metric,Parameters (M),Training Time (s),Best Epoch,Best Val Loss,Best Val Macro F1,Best Val Top1,Val Accuracy,Val Precision,Val Recall,Val F1-Score,Val Cohen Kappa,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Cohen Kappa,Inference Time (s),FPS,Latency (ms),Checkpoint Path,Confusion Matrix Path,Classification Report Path,Export Format,Export Path,Export Note
1,42,convnext_tiny,timm,convnext_tiny,Baseline CE,baseline_ce,Default CrossEntropyLoss,val_macro_f1,28.22,677.8,29,0.463389,0.881047,0.8895,0.8895,0.8863,0.8779,0.881,0.8481,0.7919,0.772,0.7615,0.7655,0.7122,9.4603,18.29,54.6836,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/checkpoints/best_repeat01_convnext_tiny_baseline_ce.pth,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/plots/confusion_matrix_repeat01_convnext_tiny_baseline_ce.png,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/reports/classification_report_repeat01_convnext_tiny_baseline_ce.csv,,,
1,42,convnext_tiny,timm,convnext_tiny,ASL,asl,Asymmetric Loss For Multi-Label Classification,val_macro_f1,28.22,606.6,29,0.429587,0.881047,0.8895,0.8895,0.8863,0.8779,0.881,0.8481,0.7919,0.772,0.7615,0.7655,0.7122,6.6217,26.13,38.2758,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/checkpoints/best_repeat01_convnext_tiny_asl.pth,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/plots/confusion_matrix_repeat01_convnext_tiny_asl.png,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/reports/classification_report_repeat01_convnext_tiny_asl.csv,,,
1,42,yolo26m-cls,yolo,yolo26m-cls.pt,Baseline CE,baseline_ce,Default CrossEntropyLoss,ultralytics_default_best_pt,10.35,226.7,27,0.62158,0.812637,0.8256,0.8256,0.8205,0.8097,0.8126,0.7608,0.8786,0.8787,0.8859,0.877,0.8346,12.2204,14.16,70.6379,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/yolo_runs/repeat01_yolo26m-cls_baseline_ce/weights/best.pt,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/plots/confusion_matrix_repeat01_yolo26m-cls_baseline_ce.png,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/reports/classification_report_repeat01_yolo26m-cls_baseline_ce.csv,,,
1,42,yolo26m-cls,yolo,yolo26m-cls.pt,ASL,asl,Asymmetric Loss For Multi-Label Classification,ultralytics_default_best_pt,10.35,221.1,29,0.49876,0.824388,0.8372,0.8372,0.8278,0.8239,0.8244,0.7772,0.8786,0.8834,0.885,0.8787,0.8343,11.5949,14.92,67.0223,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/yolo_runs/repeat01_yolo26m-cls_asl/weights/best.pt,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/plots/confusion_matrix_repeat01_yolo26m-cls_asl.png,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/reports/classification_report_repeat01_yolo26m-cls_asl.csv,,,
2,42,convnext_tiny,timm,convnext_tiny,Baseline CE,baseline_ce,Default CrossEntropyLoss,val_macro_f1,28.22,623.8,29,0.463389,0.881047,0.8895,0.8895,0.8863,0.8779,0.881,0.8481,0.7919,0.772,0.7615,0.7655,0.7122,7.0832,24.42,40.9435,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/checkpoints/best_repeat02_convnext_tiny_baseline_ce.pth,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/plots/confusion_matrix_repeat02_convnext_tiny_baseline_ce.png,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/reports/classification_report_repeat02_convnext_tiny_baseline_ce.csv,,,
2,42,convnext_tiny,timm,convnext_tiny,ASL,asl,Asymmetric Loss For Multi-Label Classification,val_macro_f1,28.22,624.2,29,0.429587,0.881047,0.8895,0.8895,0.8863,0.8779,0.881,0.8481,0.7919,0.772,0.7615,0.7655,0.7122,7.0681,24.48,40.8562,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/checkpoints/best_repeat02_convnext_tiny_asl.pth,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/plots/confusion_matrix_repeat02_convnext_tiny_asl.png,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/reports/classification_report_repeat02_convnext_tiny_asl.csv,,,
2,42,yolo26m-cls,yolo,yolo26m-cls.pt,Baseline CE,baseline_ce,Default CrossEntropyLoss,ultralytics_default_best_pt,10.35,219.8,27,0.62158,0.812637,0.8256,0.8256,0.8205,0.8097,0.8126,0.7608,0.8786,0.8787,0.8859,0.877,0.8346,11.7385,14.74,67.8528,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/yolo_runs/repeat02_yolo26m-cls_baseline_ce/weights/best.pt,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/plots/confusion_matrix_repeat02_yolo26m-cls_baseline_ce.png,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/reports/classification_report_repeat02_yolo26m-cls_baseline_ce.csv,,,
2,42,yolo26m-cls,yolo,yolo26m-cls.pt,ASL,asl,Asymmetric Loss For Multi-Label Classification,ultralytics_default_best_pt,10.35,189.9,29,0.49876,0.824388,0.8372,0.8372,0.8278,0.8239,0.8244,0.7772,0.8786,0.8834,0.885,0.8787,0.8343,11.0905,15.6,64.1071,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/yolo_runs/repeat02_yolo26m-cls_asl/weights/best.pt,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/plots/confusion_matrix_repeat02_yolo26m-cls_asl.png,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/reports/classification_report_repeat02_yolo26m-cls_asl.csv,,,
3,42,convnext_tiny,timm,convnext_tiny,Baseline CE,baseline_ce,Default CrossEntropyLoss,val_macro_f1,28.22,609.0,29,0.463389,0.881047,0.8895,0.8895,0.8863,0.8779,0.881,0.8481,0.7919,0.772,0.7615,0.7655,0.7122,7.157,24.17,41.3697,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/checkpoints/best_repeat03_convnext_tiny_baseline_ce.pth,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/plots/confusion_matrix_repeat03_convnext_tiny_baseline_ce.png,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/reports/classification_report_repeat03_convnext_tiny_baseline_ce.csv,,,
3,42,convnext_tiny,timm,convnext_tiny,ASL,asl,Asymmetric Loss For Multi-Label Classification,val_macro_f1,28.22,608.4,29,0.429587,0.881047,0.8895,0.8895,0.8863,0.8779,0.881,0.8481,0.7919,0.772,0.7615,0.7655,0.7122,7.1105,24.33,41.1013,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/checkpoints/best_repeat03_convnext_tiny_asl.pth,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/plots/confusion_matrix_repeat03_convnext_tiny_asl.png,/home/drnguyenvinh/notebooks/final_yolo26m_convnext_tiny_ce_asl_original_yolo_best_repeat3_outputs/reports/classification_report_repeat03_convnext_tiny_asl.csv,,,
