epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.38882,3.39106,9.56294,0.00661,0.0008,0.03681,9e-05,2e-05,3.09206,10.2001,0.00613,0.000547247,0.000547247,0.000547247
2,10.8018,3.04174,7.40346,0.00559,0.00459,0.18584,0.00281,0.00058,2.98526,8.71976,0.00585,0.001092,0.001092,0.001092
3,15.1703,2.95944,6.02606,0.00513,0.01359,0.3136,0.01038,0.00234,2.88628,7.14804,0.00556,0.00162574,0.00162574,0.00162574
4,19.5689,3.06027,5.21477,0.00495,0.00992,0.40521,0.01204,0.00299,2.9174,6.01635,0.0056,0.00161749,0.00161749,0.00161749
5,23.9391,2.95295,4.77452,0.00486,0.01062,0.4489,0.0187,0.00417,2.7419,5.16801,0.00517,0.00160099,0.00160099,0.00160099
6,28.3495,2.91038,4.27997,0.0048,0.01159,0.49079,0.01943,0.0044,2.65275,4.61093,0.00505,0.00158448,0.00158448,0.00158448
7,32.698,2.87208,4.03747,0.00481,0.05401,0.10029,0.0187,0.00422,2.89148,4.82474,0.00554,0.00156798,0.00156798,0.00156798
8,37.0525,2.85159,3.90831,0.00485,0.03224,0.27553,0.0239,0.00627,2.66223,3.99874,0.0051,0.00155148,0.00155148,0.00155148
9,41.4184,2.81293,3.60748,0.00452,0.055,0.13199,0.0227,0.00595,2.65251,4.09604,0.00503,0.00153497,0.00153497,0.00153497
10,45.76,2.78268,3.56767,0.00466,0.0228,0.43385,0.02858,0.0079,2.62463,3.74483,0.00505,0.00151847,0.00151847,0.00151847
11,50.0697,2.84834,3.43011,0.00455,0.07085,0.11187,0.03516,0.01039,2.60534,3.62856,0.00486,0.00150197,0.00150197,0.00150197
12,54.4469,2.80623,3.37168,0.00446,0.05823,0.19508,0.03356,0.00963,2.59511,3.57324,0.00483,0.00148546,0.00148546,0.00148546
13,58.8061,2.78275,3.27368,0.00445,0.0858,0.09925,0.03844,0.01081,2.55915,3.47691,0.00473,0.00146896,0.00146896,0.00146896
14,63.1853,2.74156,3.32363,0.00457,0.05831,0.21437,0.042,0.01194,2.58628,3.46063,0.00487,0.00145246,0.00145246,0.00145246
15,67.5574,2.6917,3.18343,0.00436,0.08051,0.1261,0.04076,0.01063,2.60366,3.3571,0.00482,0.00143595,0.00143595,0.00143595
