epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.88084,3.23048,13.1695,0.00606,0.0054,0.1051,0.00086,0.00018,2.83118,8.5135,0.00532,0.000547247,0.000547247,0.000547247
2,14.3179,2.96556,4.51185,0.00536,0.01112,0.37133,0.00625,0.00133,2.96163,6.11885,0.00572,0.001092,0.001092,0.001092
3,20.6817,3.00656,3.74726,0.00512,0.02789,0.0735,0.01282,0.00302,2.82548,4.82338,0.00545,0.00162574,0.00162574,0.00162574
4,27.0081,3.0808,3.49829,0.00503,0.00867,0.34826,0.00691,0.00176,2.86464,4.999,0.00565,0.00161749,0.00161749,0.00161749
5,33.3075,2.97146,3.4382,0.00497,0.03993,0.09448,0.01601,0.00354,2.94262,4.23543,0.00566,0.00160099,0.00160099,0.00160099
6,39.6837,2.97633,3.33805,0.005,0.02832,0.20333,0.02036,0.00519,2.79762,3.7176,0.00536,0.00158448,0.00158448,0.00158448
7,46.0351,2.85142,3.28351,0.00475,0.01329,0.43405,0.01744,0.00445,2.8257,3.63167,0.00536,0.00156798,0.00156798,0.00156798
8,52.3766,2.83052,3.38087,0.00474,0.04293,0.16382,0.02195,0.00611,2.67533,3.6003,0.00507,0.00155148,0.00155148,0.00155148
9,58.7299,2.81176,3.17616,0.00448,0.2112,0.1242,0.03011,0.00865,2.61577,3.53949,0.00476,0.00153497,0.00153497,0.00153497
10,65.1677,2.75171,3.19173,0.00465,0.07668,0.12082,0.03156,0.00807,2.62279,3.39072,0.00489,0.00151847,0.00151847,0.00151847
11,71.4787,2.86993,3.07202,0.00457,0.07827,0.1783,0.03512,0.01047,2.64795,3.37724,0.00495,0.00150197,0.00150197,0.00150197
12,77.8653,2.79384,3.10355,0.00441,0.07495,0.13186,0.03466,0.00919,2.57918,3.35945,0.00472,0.00148546,0.00148546,0.00148546
13,84.2372,2.77255,3.04161,0.00443,0.06073,0.25646,0.04001,0.01026,2.60667,3.17713,0.00494,0.00146896,0.00146896,0.00146896
14,90.5393,2.72854,3.0386,0.00453,0.06466,0.22747,0.03712,0.00872,2.58628,3.22238,0.00488,0.00145246,0.00145246,0.00145246
15,96.8437,2.68886,3.0052,0.0043,0.10209,0.14657,0.04752,0.01238,2.61371,3.39177,0.00491,0.00143595,0.00143595,0.00143595
16,103.176,2.71371,3.03024,0.0045,0.15549,0.13518,0.06064,0.01847,2.5739,3.13084,0.00479,0.00141945,0.00141945,0.00141945
17,109.513,2.7164,2.91442,0.00411,0.13264,0.07772,0.05831,0.01757,2.55403,3.05057,0.00484,0.00140295,0.00140295,0.00140295
18,115.826,2.68757,2.9376,0.00428,0.09691,0.1222,0.04612,0.01294,2.58502,3.11112,0.00484,0.00138644,0.00138644,0.00138644
19,122.174,2.72811,2.90046,0.00418,0.13348,0.11109,0.04308,0.01102,2.62912,3.17589,0.00495,0.00136994,0.00136994,0.00136994
20,128.465,2.67946,2.91001,0.00422,0.12925,0.09537,0.05912,0.01693,2.54448,3.01344,0.00477,0.00135344,0.00135344,0.00135344
21,134.849,2.76291,2.98519,0.00425,0.19266,0.0691,0.0632,0.01811,2.58698,3.09742,0.00483,0.00133693,0.00133693,0.00133693
22,141.178,2.65464,2.90118,0.00421,0.13614,0.11139,0.06062,0.01869,2.51857,3.06061,0.00458,0.00132043,0.00132043,0.00132043
23,147.545,2.66447,2.81792,0.00417,0.13559,0.13431,0.0642,0.01861,2.51445,3.03228,0.00463,0.00130393,0.00130393,0.00130393
24,154.089,2.65943,2.88989,0.00426,0.14002,0.07597,0.05582,0.01537,2.5925,3.04979,0.00484,0.00128742,0.00128742,0.00128742
25,160.403,2.67194,2.7813,0.00404,0.1603,0.09378,0.06371,0.01692,2.53486,3.00777,0.00473,0.00127092,0.00127092,0.00127092
26,166.729,2.74378,2.74659,0.00414,0.15493,0.12568,0.06761,0.01954,2.53528,2.9946,0.00473,0.00125442,0.00125442,0.00125442
