epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.84853,3.46243,6.20637,1.98878,0.00019,0.01096,1e-05,0,3.16552,5.8952,1.79433,0.000547247,0.000547247,0.000547247
2,9.245,3.15288,4.70119,1.70674,0.00413,0.17906,0.00611,0.0014,3.08375,4.83426,1.69275,0.001092,0.001092,0.001092
3,12.6651,3.09461,4.16958,1.67147,0.06963,0.06896,0.01881,0.0039,2.9913,4.33276,1.73868,0.00162574,0.00162574,0.00162574
4,16.0386,3.14953,3.87295,1.66846,0.07364,0.05315,0.01649,0.00351,3.06844,4.27462,1.69705,0.00161749,0.00161749,0.00161749
5,19.33,3.11664,3.65477,1.65595,0.05717,0.10172,0.01851,0.00431,3.06969,3.82856,1.66126,0.00160099,0.00160099,0.00160099
6,22.6501,3.08546,3.49263,1.63708,0.07799,0.12118,0.024,0.00544,2.98125,3.64325,1.70565,0.00158448,0.00158448,0.00158448
7,25.9763,3.00622,3.27045,1.65499,0.07656,0.09427,0.03134,0.00744,2.86493,3.31127,1.65521,0.00156798,0.00156798,0.00156798
8,29.3534,2.94403,3.25058,1.63808,0.06153,0.09693,0.0258,0.0069,2.87239,3.76668,1.66387,0.00155148,0.00155148,0.00155148
9,32.6417,2.94108,3.06043,1.57484,0.08639,0.10658,0.03447,0.00846,2.87589,3.02323,1.61586,0.00153497,0.00153497,0.00153497
10,35.9525,2.8943,2.98226,1.60435,0.08844,0.10324,0.04237,0.01129,2.80608,3.02519,1.65272,0.00151847,0.00151847,0.00151847
11,39.2247,2.95646,2.94832,1.5855,0.09253,0.07267,0.02817,0.00764,2.87035,3.04127,1.59269,0.00150197,0.00150197,0.00150197
12,42.479,2.93855,2.90695,1.58589,0.08455,0.10547,0.04362,0.01121,2.77813,2.91634,1.59216,0.00148546,0.00148546,0.00148546
13,45.7459,2.88378,2.78472,1.56787,0.10285,0.13153,0.0397,0.00954,2.84519,2.91377,1.74417,0.00146896,0.00146896,0.00146896
14,49.0154,2.82878,2.82949,1.55242,0.11917,0.12025,0.05032,0.01338,2.7588,2.85284,1.60327,0.00145246,0.00145246,0.00145246
15,52.2867,2.81095,2.72692,1.53701,0.10018,0.1249,0.04363,0.01143,2.82715,2.87172,1.65599,0.00143595,0.00143595,0.00143595
16,55.5562,2.81657,2.70369,1.57215,0.10489,0.14315,0.05574,0.01655,2.76658,2.78519,1.64415,0.00141945,0.00141945,0.00141945
17,58.8353,2.88164,2.74417,1.54052,0.10814,0.10467,0.05024,0.01191,2.79464,2.80959,1.69053,0.00140295,0.00140295,0.00140295
18,62.1099,2.80397,2.69614,1.54515,0.13448,0.13404,0.05314,0.01353,2.76719,2.76828,1.63796,0.00138644,0.00138644,0.00138644
19,65.3826,2.794,2.67242,1.50411,0.09403,0.12201,0.04064,0.01089,2.75354,2.65774,1.57234,0.00136994,0.00136994,0.00136994
20,68.6399,2.76075,2.66558,1.51031,0.13023,0.10598,0.05765,0.01602,2.77105,2.71714,1.60437,0.00135344,0.00135344,0.00135344
21,71.933,2.79396,2.62965,1.5097,0.12808,0.12416,0.04711,0.01389,2.84661,2.86567,1.57372,0.00133693,0.00133693,0.00133693
22,75.2164,2.75291,2.57476,1.50123,0.12515,0.13796,0.06647,0.02096,2.70548,2.67046,1.60139,0.00132043,0.00132043,0.00132043
23,78.5071,2.74228,2.54821,1.49299,0.11403,0.13987,0.05698,0.01604,2.73091,2.67093,1.65601,0.00130393,0.00130393,0.00130393
24,81.768,2.75864,2.61379,1.53347,0.11492,0.14149,0.05936,0.01874,2.74027,2.70861,1.64259,0.00128742,0.00128742,0.00128742
25,85.0083,2.7521,2.54308,1.46825,0.10892,0.14814,0.05904,0.0195,2.70131,2.66748,1.60772,0.00127092,0.00127092,0.00127092
26,88.3102,2.78068,2.50565,1.48605,0.12609,0.14769,0.0616,0.0173,2.70071,2.61054,1.60192,0.00125442,0.00125442,0.00125442
