epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.54753,3.39618,5.29009,2.01201,0.02147,0.15096,0.00541,0.00137,3.06652,4.84848,1.79008,0.000547247,0.000547247,0.000547247
2,10.4696,3.14386,3.44563,1.80514,0.03336,0.06847,0.01398,0.00367,3.2141,7.01987,1.94344,0.001092,0.001092,0.001092
3,15.3291,3.12333,3.24152,1.7609,0.03267,0.12699,0.01128,0.00289,3.23669,4.39482,2.00982,0.00162574,0.00162574,0.00162574
4,20.1873,3.18376,3.13688,1.72515,0.03767,0.07553,0.01301,0.00355,3.07078,3.50611,1.82604,0.00161749,0.00161749,0.00161749
5,25.0256,3.11618,3.09047,1.69302,0.0484,0.11043,0.0192,0.00465,3.01276,4.0588,1.75367,0.00160099,0.00160099,0.00160099
6,29.881,3.08989,2.99479,1.74038,0.0526,0.08209,0.02085,0.00506,3.01044,3.08308,1.74631,0.00158448,0.00158448,0.00158448
7,34.7607,3.00439,2.97108,1.65654,0.06818,0.10542,0.02639,0.00653,2.89872,3.0795,1.64327,0.00156798,0.00156798,0.00156798
8,39.5984,3.00458,2.94461,1.68794,0.09317,0.10085,0.03431,0.00839,2.87849,2.93713,1.74557,0.00155148,0.00155148,0.00155148
9,44.4728,2.95926,2.83321,1.62367,0.08686,0.12479,0.03784,0.00926,2.84088,2.98359,1.73867,0.00153497,0.00153497,0.00153497
10,49.3422,2.89011,2.82726,1.65051,0.08245,0.09744,0.04217,0.01199,2.87774,3.20935,1.64999,0.00151847,0.00151847,0.00151847
11,54.1887,2.93445,2.78129,1.63164,0.04817,0.21606,0.02636,0.00666,2.86211,3.00952,1.75112,0.00150197,0.00150197,0.00150197
12,59.0114,2.91611,2.82831,1.63192,0.07486,0.12415,0.03578,0.00926,2.76827,2.98321,1.69817,0.00148546,0.00148546,0.00148546
13,63.8554,2.86088,2.72701,1.61706,0.1037,0.12403,0.0468,0.01375,2.79955,2.71845,1.71515,0.00146896,0.00146896,0.00146896
14,68.7219,2.83876,2.73124,1.57963,0.101,0.10487,0.04555,0.01133,2.81297,2.74566,1.7026,0.00145246,0.00145246,0.00145246
15,73.5632,2.8124,2.68692,1.58906,0.10117,0.09187,0.04454,0.01184,2.76872,2.79345,1.64658,0.00143595,0.00143595,0.00143595
