epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.164,3.4711,5.91404,1.9578,0.00081,0.03069,4e-05,1e-05,3.14531,5.7825,1.75962,0.000547247,0.000547247,0.000547247
2,7.48843,3.16397,4.6268,1.744,0.04034,0.03998,0.01075,0.00258,3.11349,4.59427,1.86813,0.001092,0.001092,0.001092
3,10.7172,3.1358,4.14901,1.73386,0.06582,0.05074,0.01261,0.00305,3.11304,4.15377,1.77774,0.00162574,0.00162574,0.00162574
4,14.0037,3.22728,3.8686,1.683,0.05153,0.03774,0.01349,0.00331,3.128,4.10875,1.80191,0.00161749,0.00161749,0.00161749
5,17.3753,3.06657,3.5668,1.64973,0.0652,0.09898,0.02537,0.00614,3.0313,4.96481,1.78746,0.00160099,0.00160099,0.00160099
6,20.6479,3.03975,3.36303,1.64492,0.0804,0.05819,0.02358,0.00553,2.91583,3.45432,1.66968,0.00158448,0.00158448,0.00158448
7,23.8615,2.94403,3.18041,1.63197,0.10352,0.07457,0.03754,0.00833,2.85694,3.17225,1.67346,0.00156798,0.00156798,0.00156798
8,27.1166,2.95072,3.19131,1.66254,0.09859,0.07685,0.03161,0.00777,2.93068,3.6346,1.68864,0.00155148,0.00155148,0.00155148
9,30.3425,2.94297,3.02259,1.61488,0.08743,0.08013,0.03619,0.00897,2.88858,3.17991,1.81114,0.00153497,0.00153497,0.00153497
10,33.5888,2.88648,2.94442,1.63468,0.08113,0.09484,0.03766,0.00902,2.84149,2.9659,1.65631,0.00151847,0.00151847,0.00151847
11,36.7896,2.93804,2.90781,1.59742,0.11984,0.07975,0.03314,0.00933,2.87476,2.96814,1.64739,0.00150197,0.00150197,0.00150197
12,40.0357,2.90173,2.87846,1.57119,0.07966,0.13051,0.03814,0.01066,2.76461,3.18752,1.67222,0.00148546,0.00148546,0.00148546
13,43.2519,2.86117,2.77545,1.55419,0.10012,0.12065,0.04375,0.01256,2.86769,2.92592,1.75138,0.00146896,0.00146896,0.00146896
14,46.4623,2.8314,2.80659,1.56585,0.10216,0.08851,0.04074,0.01099,2.81086,2.9332,1.61425,0.00145246,0.00145246,0.00145246
15,49.6644,2.78492,2.72075,1.56052,0.09749,0.11586,0.0431,0.01071,2.83696,2.8827,1.62593,0.00143595,0.00143595,0.00143595
16,52.8616,2.79209,2.72138,1.56294,0.13918,0.12829,0.06105,0.01838,2.77118,2.71522,1.63433,0.00141945,0.00141945,0.00141945
17,56.0687,2.83543,2.7302,1.53374,0.12077,0.112,0.05341,0.01508,2.80815,2.74768,1.6527,0.00140295,0.00140295,0.00140295
