epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.86453,3.5447,10.2623,2.15918,0.0035,0.13705,0.00046,0.0001,3.25792,21.1869,1.99873,0.000547247,0.000547247,0.000547247
2,15.0892,3.26776,3.69872,1.88491,0.01755,0.03272,0.0039,0.00096,3.3107,6.77165,1.90901,0.001092,0.001092,0.001092
3,22.4307,3.24364,3.33143,1.90595,0.04263,0.07704,0.01698,0.00409,3.1968,3.55361,2.11891,0.00162574,0.00162574,0.00162574
4,29.5166,3.21668,3.21142,1.78506,0.09795,0.0316,0.01625,0.00421,3.11244,3.40064,1.83977,0.00161749,0.00161749,0.00161749
5,36.641,3.16119,3.14484,1.75241,0.04095,0.10653,0.01421,0.00322,3.13338,3.7477,1.79831,0.00160099,0.00160099,0.00160099
6,43.7707,3.09828,3.01415,1.74714,0.04694,0.12618,0.02039,0.00631,2.97841,4.40162,1.76338,0.00158448,0.00158448,0.00158448
7,50.8328,3.01369,2.94871,1.70864,0.03723,0.16572,0.01879,0.0048,2.9734,3.12587,1.84152,0.00156798,0.00156798,0.00156798
8,57.8747,2.9791,2.95674,1.71311,0.06668,0.11707,0.0265,0.00743,2.90084,3.16645,1.75069,0.00155148,0.00155148,0.00155148
9,65.1334,2.94402,2.84584,1.6611,0.07527,0.14518,0.02837,0.00686,2.82383,3.09459,1.75357,0.00153497,0.00153497,0.00153497
10,72.2074,2.88471,2.83542,1.6752,0.08279,0.09247,0.03579,0.00888,2.82632,2.96039,1.75165,0.00151847,0.00151847,0.00151847
11,79.27,2.94442,2.79682,1.63199,0.10362,0.10242,0.0351,0.00944,2.74383,3.01744,1.6994,0.00150197,0.00150197,0.00150197
12,86.3249,2.9075,2.80088,1.63332,0.09871,0.12536,0.04685,0.0135,2.70935,2.74737,1.66924,0.00148546,0.00148546,0.00148546
13,93.388,2.87518,2.67519,1.64919,0.08372,0.10484,0.03742,0.00975,2.81713,2.81111,1.71742,0.00146896,0.00146896,0.00146896
14,100.427,2.83116,2.73272,1.60895,0.07896,0.1082,0.04302,0.01144,2.7839,2.77128,1.66955,0.00145246,0.00145246,0.00145246
15,107.467,2.77665,2.64832,1.58458,0.08074,0.13503,0.0376,0.00992,2.77575,2.74934,1.67055,0.00143595,0.00143595,0.00143595
16,114.722,2.77962,2.67381,1.60087,0.09373,0.13611,0.0372,0.01046,2.74728,2.87727,1.68083,0.00141945,0.00141945,0.00141945
17,121.779,2.81484,2.66366,1.56455,0.10834,0.14708,0.04784,0.01215,2.75007,2.7763,1.69374,0.00140295,0.00140295,0.00140295
18,128.83,2.79041,2.64614,1.55179,0.09677,0.12217,0.04482,0.01242,2.73963,2.69228,1.67924,0.00138644,0.00138644,0.00138644
19,135.889,2.78014,2.61201,1.56591,0.09481,0.11536,0.0429,0.01106,2.71479,2.76037,1.58924,0.00136994,0.00136994,0.00136994
20,142.931,2.71251,2.62056,1.56012,0.09041,0.15354,0.05109,0.01442,2.66567,2.76772,1.65673,0.00135344,0.00135344,0.00135344
21,150.034,2.78047,2.57333,1.54051,0.11953,0.16378,0.05625,0.01569,2.7311,2.62018,1.61693,0.00133693,0.00133693,0.00133693
22,157.298,2.7486,2.53153,1.53852,0.10428,0.16633,0.05722,0.01572,2.7152,2.68914,1.65462,0.00132043,0.00132043,0.00132043
23,164.4,2.69148,2.48327,1.54717,0.11032,0.1574,0.05665,0.01559,2.68499,2.66718,1.65461,0.00130393,0.00130393,0.00130393
24,171.429,2.70095,2.55812,1.5521,0.12583,0.13999,0.0588,0.01673,2.74068,2.77475,1.72351,0.00128742,0.00128742,0.00128742
25,178.524,2.72529,2.48059,1.51227,0.11242,0.17418,0.06451,0.01744,2.72861,2.64434,1.65815,0.00127092,0.00127092,0.00127092
26,185.61,2.74256,2.48792,1.54189,0.11571,0.1566,0.06034,0.01672,2.71909,2.63922,1.68926,0.00125442,0.00125442,0.00125442
27,192.641,2.69416,2.44631,1.52316,0.12473,0.15968,0.05638,0.01654,2.77417,2.70169,1.61673,0.00123791,0.00123791,0.00123791
28,199.852,2.64101,2.4222,1.49384,0.12516,0.18233,0.06817,0.01954,2.67546,2.5996,1.64324,0.00122141,0.00122141,0.00122141
29,206.93,2.67934,2.41459,1.51254,0.16865,0.19443,0.07991,0.02205,2.71086,2.56722,1.6691,0.00120491,0.00120491,0.00120491
30,214.036,2.66126,2.39564,1.51862,0.13913,0.15899,0.07499,0.02048,2.65832,2.74791,1.64779,0.0011884,0.0011884,0.0011884
31,221.109,2.61744,2.4182,1.50426,0.11159,0.15715,0.06339,0.02005,2.66868,2.64871,1.69502,0.0011719,0.0011719,0.0011719
32,228.19,2.65742,2.36231,1.46042,0.12832,0.20359,0.07571,0.02316,2.64397,2.57408,1.63122,0.0011554,0.0011554,0.0011554
33,235.27,2.58574,2.34906,1.48623,0.14885,0.17944,0.07895,0.02476,2.67047,2.68628,1.64984,0.00113889,0.00113889,0.00113889
34,242.535,2.60163,2.38072,1.49089,0.13527,0.14634,0.06902,0.0217,2.65607,2.59254,1.67397,0.00112239,0.00112239,0.00112239
35,249.571,2.62085,2.32843,1.49124,0.13845,0.20873,0.0685,0.01988,2.6367,2.56231,1.61988,0.00110589,0.00110589,0.00110589
36,256.616,2.54412,2.34997,1.51232,0.1756,0.18596,0.08948,0.0248,2.61834,2.483,1.60432,0.00108938,0.00108938,0.00108938
37,263.702,2.56979,2.30717,1.47998,0.14166,0.17465,0.07753,0.02189,2.68484,2.51619,1.67379,0.00107288,0.00107288,0.00107288
38,270.784,2.57864,2.32259,1.50215,0.14584,0.16534,0.07452,0.02232,2.61094,2.5562,1.60233,0.00105638,0.00105638,0.00105638
39,277.817,2.55185,2.34393,1.46508,0.12839,0.18468,0.07039,0.02071,2.6492,2.52818,1.67582,0.00103987,0.00103987,0.00103987
40,284.848,2.57446,2.32239,1.49761,0.13026,0.19234,0.07119,0.02079,2.68462,2.49123,1.65867,0.00102337,0.00102337,0.00102337
41,292.064,2.47762,2.25184,1.46059,0.13623,0.18685,0.07156,0.0209,2.6648,2.61712,1.64692,0.00100687,0.00100687,0.00100687
42,299.133,2.53251,2.27796,1.44266,0.16826,0.19618,0.1005,0.02806,2.63333,2.5214,1.61941,0.000990365,0.000990365,0.000990365
43,306.204,2.53601,2.26237,1.46261,0.13711,0.19626,0.08687,0.02594,2.59287,2.52719,1.60621,0.000973861,0.000973861,0.000973861
44,313.231,2.53488,2.25158,1.47923,0.14049,0.1586,0.07525,0.02066,2.62245,2.6213,1.59316,0.000957358,0.000957358,0.000957358
45,320.283,2.54159,2.24051,1.44128,0.15926,0.17134,0.08085,0.02395,2.65055,2.64844,1.63707,0.000940855,0.000940855,0.000940855
46,327.358,2.50267,2.2142,1.44179,0.14737,0.19865,0.0884,0.02598,2.57195,2.50247,1.6292,0.000924352,0.000924352,0.000924352
47,334.596,2.49593,2.18013,1.43477,0.14913,0.21015,0.08855,0.02476,2.59976,2.52659,1.60237,0.000907848,0.000907848,0.000907848
48,341.633,2.46971,2.14489,1.41408,0.14973,0.20049,0.0888,0.0258,2.6453,2.49769,1.61807,0.000891345,0.000891345,0.000891345
49,348.657,2.48204,2.27936,1.43443,0.15733,0.20559,0.10013,0.0284,2.64973,2.41178,1.61374,0.000874842,0.000874842,0.000874842
50,355.733,2.4657,2.17207,1.4103,0.16953,0.20893,0.10263,0.03167,2.628,2.42581,1.64849,0.000858338,0.000858338,0.000858338
51,362.787,2.46934,2.17934,1.41958,0.15879,0.20734,0.10359,0.03318,2.59891,2.45351,1.63086,0.000841835,0.000841835,0.000841835
52,369.822,2.43163,2.14758,1.44712,0.13205,0.20323,0.0826,0.02366,2.60921,2.55357,1.62295,0.000825332,0.000825332,0.000825332
53,376.866,2.43844,2.09636,1.41509,0.14713,0.22127,0.09704,0.02631,2.61876,2.51678,1.60461,0.000808828,0.000808828,0.000808828
54,384.1,2.46486,2.08225,1.41875,0.14832,0.19493,0.08827,0.02394,2.5698,2.50461,1.58999,0.000792325,0.000792325,0.000792325
55,391.122,2.44171,2.10707,1.4248,0.13151,0.20312,0.09005,0.02646,2.62207,2.51144,1.64391,0.000775822,0.000775822,0.000775822
56,398.165,2.36757,2.06386,1.42962,0.1362,0.22603,0.08839,0.02711,2.62361,2.55174,1.65778,0.000759318,0.000759318,0.000759318
57,405.174,2.41305,2.0465,1.41896,0.17756,0.21403,0.09726,0.02989,2.59818,2.46874,1.64174,0.000742815,0.000742815,0.000742815
58,412.227,2.37043,2.01813,1.38792,0.16018,0.21265,0.10506,0.03055,2.58811,2.41909,1.60554,0.000726312,0.000726312,0.000726312
59,419.28,2.36107,2.04469,1.40201,0.15814,0.19251,0.09811,0.0298,2.59509,2.40662,1.61893,0.000709809,0.000709809,0.000709809
60,426.487,2.32983,2.02401,1.40225,0.18368,0.20625,0.10996,0.03398,2.60091,2.407,1.63539,0.000693305,0.000693305,0.000693305
61,433.563,2.36997,1.98924,1.39012,0.17465,0.21382,0.09798,0.03039,2.65286,2.56459,1.68665,0.000676802,0.000676802,0.000676802
62,440.6,2.32728,2.00577,1.37548,0.16527,0.20527,0.10097,0.02961,2.59957,2.46012,1.58579,0.000660299,0.000660299,0.000660299
63,447.641,2.33282,1.98499,1.38283,0.1695,0.21372,0.09859,0.03103,2.65174,2.42898,1.63982,0.000643795,0.000643795,0.000643795
64,454.656,2.30494,1.92627,1.37241,0.15576,0.21334,0.09542,0.02884,2.63647,2.44804,1.63174,0.000627292,0.000627292,0.000627292
65,461.655,2.30154,1.94968,1.37052,0.15842,0.20846,0.09409,0.02817,2.63925,2.56667,1.64037,0.000610789,0.000610789,0.000610789
66,468.788,2.35391,1.95482,1.36679,0.18036,0.20087,0.10427,0.02945,2.64124,2.45212,1.65463,0.000594286,0.000594286,0.000594286
67,475.685,2.2871,1.9262,1.35033,0.15304,0.20884,0.09591,0.02825,2.6549,2.49981,1.65486,0.000577782,0.000577782,0.000577782
68,482.635,2.30962,1.91729,1.35159,0.15513,0.21986,0.10667,0.03093,2.64011,2.42069,1.63886,0.000561279,0.000561279,0.000561279
69,489.57,2.30734,1.87948,1.35685,0.17578,0.20905,0.10645,0.03224,2.62128,2.4488,1.68259,0.000544776,0.000544776,0.000544776
