epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.20613,3.5276,6.14393,2.08237,0.001,0.02921,3e-05,1e-05,3.23752,9.81629,1.78785,0.000547247,0.000547247,0.000547247
2,12.6432,3.19501,4.62964,1.79609,0.0074,0.27787,0.00767,0.00186,3.05106,4.51957,1.87931,0.001092,0.001092,0.001092
3,18.0924,3.21264,4.1715,1.77953,0.03378,0.0266,0.01001,0.00226,3.27719,4.5011,1.87925,0.00162574,0.00162574,0.00162574
4,23.3493,3.21262,3.8896,1.71695,0.05415,0.06976,0.01377,0.00323,3.11801,3.89182,1.87071,0.00161749,0.00161749,0.00161749
5,28.5709,3.15034,3.60663,1.69927,0.06166,0.07793,0.021,0.00526,3.02688,3.70673,1.73839,0.00160099,0.00160099,0.00160099
6,33.8625,3.07277,3.34721,1.67991,0.06451,0.10132,0.02592,0.00677,2.99069,3.89867,1.82771,0.00158448,0.00158448,0.00158448
7,39.0516,3.01745,3.22239,1.70407,0.06389,0.069,0.02373,0.00556,3.00242,3.36049,1.70368,0.00156798,0.00156798,0.00156798
8,44.2396,2.99826,3.18818,1.65756,0.08246,0.09642,0.02938,0.00723,2.87423,3.25958,1.67498,0.00155148,0.00155148,0.00155148
9,49.5835,2.94096,2.99024,1.65501,0.08389,0.13157,0.03406,0.00818,2.87277,3.43885,1.7615,0.00153497,0.00153497,0.00153497
10,54.7986,2.87928,2.97161,1.65239,0.07881,0.07498,0.03134,0.00851,2.82117,3.10144,1.76283,0.00151847,0.00151847,0.00151847
11,59.9704,2.96239,2.93812,1.62162,0.12179,0.10079,0.04385,0.01099,2.83006,2.85817,1.70099,0.00150197,0.00150197,0.00150197
12,65.1562,2.9212,2.91645,1.62111,0.08388,0.10465,0.03383,0.00942,2.80187,2.99606,1.65886,0.00148546,0.00148546,0.00148546
13,70.3096,2.89656,2.79426,1.59045,0.10939,0.10451,0.03944,0.00979,2.89739,3.00954,1.74609,0.00146896,0.00146896,0.00146896
14,75.4857,2.84904,2.80498,1.6162,0.23512,0.14828,0.04215,0.01054,2.81907,3.15558,1.79572,0.00145246,0.00145246,0.00145246
15,80.8036,2.78515,2.69357,1.55926,0.1255,0.12962,0.05706,0.01463,2.83253,2.7099,1.71397,0.00143595,0.00143595,0.00143595
16,85.9745,2.80808,2.73172,1.62815,0.13668,0.11839,0.05237,0.01581,2.84822,2.87856,1.70872,0.00141945,0.00141945,0.00141945
17,91.2213,2.84362,2.76882,1.54073,0.12988,0.10934,0.05998,0.01666,2.75497,2.72391,1.64872,0.00140295,0.00140295,0.00140295
18,96.4681,2.79966,2.67728,1.57259,0.14237,0.12848,0.05735,0.01568,2.79621,2.78895,1.68635,0.00138644,0.00138644,0.00138644
19,101.66,2.82128,2.65846,1.54724,0.13262,0.11027,0.04758,0.01309,2.81886,2.82655,1.65692,0.00136994,0.00136994,0.00136994
20,106.897,2.75808,2.6566,1.57832,0.12047,0.13927,0.06314,0.01707,2.73033,2.68786,1.62902,0.00135344,0.00135344,0.00135344
21,112.309,2.77605,2.60461,1.53123,0.13894,0.10577,0.05976,0.01718,2.73673,2.70581,1.6606,0.00133693,0.00133693,0.00133693
22,117.478,2.74507,2.59574,1.54959,0.11955,0.16899,0.06817,0.01836,2.72595,2.80295,1.63319,0.00132043,0.00132043,0.00132043
23,122.67,2.71378,2.52704,1.50989,0.12558,0.14522,0.06843,0.01956,2.69326,2.64537,1.67339,0.00130393,0.00130393,0.00130393
24,127.861,2.73655,2.59962,1.567,0.1104,0.13801,0.05,0.01422,2.72966,2.70111,1.61907,0.00128742,0.00128742,0.00128742
25,133.034,2.74399,2.54315,1.51868,0.12648,0.11451,0.06028,0.01763,2.71835,2.62091,1.67722,0.00127092,0.00127092,0.00127092
26,138.228,2.74063,2.51561,1.52962,0.10921,0.15582,0.06421,0.01724,2.7125,2.68101,1.65392,0.00125442,0.00125442,0.00125442
27,143.549,2.71896,2.47044,1.52943,0.11979,0.16642,0.06486,0.01637,2.78914,2.66675,1.62438,0.00123791,0.00123791,0.00123791
28,148.722,2.69187,2.49228,1.51083,0.12222,0.15327,0.06968,0.01991,2.6477,2.67187,1.5719,0.00122141,0.00122141,0.00122141
29,153.877,2.6873,2.47047,1.51298,0.16693,0.19954,0.07678,0.02206,2.71225,2.71332,1.63724,0.00120491,0.00120491,0.00120491
30,159.066,2.64492,2.41053,1.51277,0.12113,0.15801,0.06226,0.01638,2.71358,2.67248,1.65215,0.0011884,0.0011884,0.0011884
31,164.244,2.59529,2.40904,1.49036,0.10944,0.18579,0.06323,0.01975,2.65203,2.60948,1.67492,0.0011719,0.0011719,0.0011719
32,169.6,2.69217,2.38505,1.48114,0.14561,0.15137,0.07939,0.02388,2.72881,2.55725,1.61087,0.0011554,0.0011554,0.0011554
33,174.799,2.60823,2.38299,1.48172,0.14798,0.18537,0.08092,0.02035,2.69787,2.57875,1.59585,0.00113889,0.00113889,0.00113889
34,180.024,2.62167,2.41943,1.49799,0.14878,0.17534,0.07677,0.02282,2.68198,2.56408,1.65028,0.00112239,0.00112239,0.00112239
35,185.21,2.64864,2.37879,1.48527,0.13115,0.16857,0.0723,0.01963,2.70327,2.78989,1.65449,0.00110589,0.00110589,0.00110589
36,190.352,2.57575,2.38476,1.50874,0.13801,0.17912,0.0838,0.02315,2.69047,2.54628,1.66546,0.00108938,0.00108938,0.00108938
37,195.477,2.59429,2.34619,1.49187,0.14275,0.15434,0.07272,0.02166,2.68606,2.62653,1.68869,0.00107288,0.00107288,0.00107288
38,200.667,2.5914,2.35737,1.49682,0.13751,0.14149,0.08726,0.02588,2.68794,2.66981,1.62373,0.00105638,0.00105638,0.00105638
39,205.989,2.55828,2.37136,1.45984,0.13902,0.14736,0.08056,0.0237,2.70771,2.55123,1.65115,0.00103987,0.00103987,0.00103987
40,211.174,2.61633,2.3491,1.49825,0.14051,0.17222,0.08241,0.02544,2.68058,2.5092,1.65747,0.00102337,0.00102337,0.00102337
41,216.375,2.51785,2.32127,1.45928,0.15624,0.17547,0.07727,0.02162,2.72126,2.70638,1.66943,0.00100687,0.00100687,0.00100687
42,221.568,2.58274,2.3043,1.4555,0.15293,0.19557,0.08644,0.02713,2.6839,2.51224,1.65806,0.000990365,0.000990365,0.000990365
43,226.737,2.57612,2.31139,1.45402,0.13747,0.17074,0.08582,0.02593,2.66089,2.48717,1.59925,0.000973861,0.000973861,0.000973861
44,231.902,2.5738,2.2951,1.47611,0.12262,0.19172,0.07959,0.02356,2.67867,2.61294,1.59395,0.000957358,0.000957358,0.000957358
45,237.081,2.58516,2.2853,1.43682,0.14348,0.17391,0.08948,0.02701,2.66104,2.50131,1.6134,0.000940855,0.000940855,0.000940855
46,242.416,2.54792,2.29146,1.43998,0.14877,0.18111,0.07984,0.02502,2.61234,2.48583,1.62989,0.000924352,0.000924352,0.000924352
