best_epoch,best_precision,best_recall,best_val_map50,best_val_map50_95,completed_100ep,has_best_pt,has_last_pt,latest_epoch,latest_map50,latest_map50_95,latest_precision,latest_recall,latest_time_sec,latest_train_box_loss,latest_train_cls_loss,latest_train_dfl_loss,latest_val_box_loss,latest_val_cls_loss,latest_val_dfl_loss,model,progress_pct,results_csv,run
100,0.17657,0.24251,0.12293,0.03791,True,True,True,100,0.12293,0.03791,0.17657,0.24251,661.628,2.30638,1.97299,1.35812,2.60301,2.35401,1.54497,yolo12n,100.0,/home/drnguyenvinh/notebooks/shrimp_od_yolo_14models_100ep_canonical_split70_15_15_rtx4090_v2/runs_train_100ep/yolo12n_canonical2cls_split701515_img1024_ep100_b8_seed42/results.csv,yolo12n_canonical2cls_split701515_img1024_ep100_b8_seed42
94,0.22165,0.22337,0.1225,0.03769,True,True,True,100,0.12456,0.03669,0.20324,0.22525,500.096,1.91747,1.36498,1.19694,2.79968,2.45578,1.66607,yolov8s,100.0,/home/drnguyenvinh/notebooks/shrimp_od_yolo_14models_100ep_canonical_split70_15_15_rtx4090_v2/runs_train_100ep/yolov8s_canonical2cls_split701515_img1024_ep100_b8_seed42/results.csv,yolov8s_canonical2cls_split701515_img1024_ep100_b8_seed42
100,0.1837,0.21277,0.12172,0.03747,True,True,True,100,0.12172,0.03747,0.1837,0.21277,438.038,2.30324,2.25007,1.16897,2.55529,2.76309,1.33645,yolov10n,100.0,/home/drnguyenvinh/notebooks/shrimp_od_yolo_14models_100ep_canonical_split70_15_15_rtx4090_v2/runs_train_100ep/yolov10n_canonical2cls_split701515_img1024_ep100_b8_seed42/results.csv,yolov10n_canonical2cls_split701515_img1024_ep100_b8_seed42
66,0.19233,0.19192,0.12548,0.03723,True,True,True,100,0.1156,0.03313,0.18225,0.2232,359.703,2.20497,1.7742,1.30295,2.64832,2.36491,1.5545,yolo11n,100.0,/home/drnguyenvinh/notebooks/shrimp_od_yolo_14models_100ep_canonical_split70_15_15_rtx4090_v2/runs_train_100ep/yolo11n_canonical2cls_split701515_img1024_ep100_b8_seed42/results.csv,yolo11n_canonical2cls_split701515_img1024_ep100_b8_seed42
70,0.18672,0.2083,0.11582,0.0372,True,True,True,100,0.11054,0.03392,0.1777,0.20331,323.214,2.10736,1.61836,1.25527,2.79484,2.51242,1.60976,yolov8n,100.0,/home/drnguyenvinh/notebooks/shrimp_od_yolo_14models_100ep_canonical_split70_15_15_rtx4090_v2/runs_train_100ep/yolov8n_canonical2cls_split701515_img1024_ep100_b8_seed42/results.csv,yolov8n_canonical2cls_split701515_img1024_ep100_b8_seed42
91,0.17806,0.19419,0.11499,0.03682,True,True,True,100,0.11243,0.03552,0.18308,0.18936,707.532,2.00319,1.54414,1.288,2.69918,2.50785,1.69939,yolov9s,100.0,/home/drnguyenvinh/notebooks/shrimp_od_yolo_14models_100ep_canonical_split70_15_15_rtx4090_v2/runs_train_100ep/yolov9s_canonical2cls_split701515_img1024_ep100_b8_seed42/results.csv,yolov9s_canonical2cls_split701515_img1024_ep100_b8_seed42
74,0.19003,0.21203,0.12314,0.03675,True,True,True,100,0.12942,0.03667,0.20539,0.25313,486.254,2.04769,1.55323,1.24572,2.7163,2.373,1.6287,yolov5su,100.0,/home/drnguyenvinh/notebooks/shrimp_od_yolo_14models_100ep_canonical_split70_15_15_rtx4090_v2/runs_train_100ep/yolov5su_canonical2cls_split701515_img1024_ep100_b8_seed42/results.csv,yolov5su_canonical2cls_split701515_img1024_ep100_b8_seed42
95,0.19892,0.20082,0.11914,0.03669,True,True,True,100,0.12043,0.03555,0.22103,0.20454,521.526,2.17539,1.73079,1.31956,2.68377,2.35433,1.62836,yolov9t,100.0,/home/drnguyenvinh/notebooks/shrimp_od_yolo_14models_100ep_canonical_split70_15_15_rtx4090_v2/runs_train_100ep/yolov9t_canonical2cls_split701515_img1024_ep100_b8_seed42/results.csv,yolov9t_canonical2cls_split701515_img1024_ep100_b8_seed42
87,0.1887,0.25338,0.12422,0.03662,True,True,True,100,0.12187,0.03472,0.20275,0.24958,551.874,2.07196,1.61095,1.26409,2.66597,2.31674,1.60946,yolo11s,100.0,/home/drnguyenvinh/notebooks/shrimp_od_yolo_14models_100ep_canonical_split70_15_15_rtx4090_v2/runs_train_100ep/yolo11s_canonical2cls_split701515_img1024_ep100_b8_seed42/results.csv,yolo11s_canonical2cls_split701515_img1024_ep100_b8_seed42
98,0.1673,0.24291,0.12308,0.03661,True,True,True,100,0.11948,0.03514,0.1794,0.22503,1130.81,2.23375,1.86391,1.37336,2.63117,2.38232,1.6171,yolo12s,100.0,/home/drnguyenvinh/notebooks/shrimp_od_yolo_14models_100ep_canonical_split70_15_15_rtx4090_v2/runs_train_100ep/yolo12s_canonical2cls_split701515_img1024_ep100_b8_seed42/results.csv,yolo12s_canonical2cls_split701515_img1024_ep100_b8_seed42
