epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2892,3.25133,5.90169,1.93818,0.00105,0.04081,0.0002,5e-05,2.99104,6.21476,1.66529,0.000547373,0.000547373,0.000547373
2,17.3091,3.0138,4.60875,1.7548,0.07803,0.01984,0.01926,0.00428,3.00913,4.78402,1.7577,0.00110005,0.00110005,0.00110005
3,21.2411,2.99885,4.04493,1.70595,0.08913,0.1038,0.02763,0.00722,2.9467,4.02077,1.80053,0.00164076,0.00164076,0.00164076
4,25.1693,2.91781,3.6827,1.68727,0.06077,0.07943,0.02241,0.00588,2.92981,3.67715,1.68324,0.00162661,0.00162661,0.00162661
5,29.1146,2.91242,3.41035,1.63825,0.0774,0.08935,0.02801,0.00747,2.88982,3.40913,1.69767,0.00159566,0.00159566,0.00159566
6,33.0338,2.86127,3.20749,1.63658,0.10093,0.1139,0.04064,0.01186,2.85046,3.22835,1.7352,0.00155645,0.00155645,0.00155645
7,36.8971,2.75716,3.08587,1.65142,0.08058,0.0988,0.04055,0.01279,2.79754,3.02366,1.67539,0.00150941,0.00150941,0.00150941
8,40.8392,2.77227,3.02353,1.58836,0.08911,0.1126,0.04484,0.01173,2.81272,3.12382,1.63939,0.00145505,0.00145505,0.00145505
9,44.7173,2.7734,2.95794,1.62222,0.11987,0.10042,0.03494,0.01033,2.82673,2.90303,1.59641,0.00139398,0.00139398,0.00139398
10,48.5772,2.73059,2.8524,1.55891,0.10744,0.11221,0.04788,0.01502,2.77431,2.90985,1.60722,0.00132685,0.00132685,0.00132685
11,52.4333,2.71543,2.76879,1.55105,0.12042,0.15293,0.05532,0.01433,2.73549,2.99246,1.60431,0.00125442,0.00125442,0.00125442
12,56.2729,2.71624,2.77494,1.58747,0.11137,0.11221,0.05508,0.01574,2.78683,2.71262,1.61262,0.00117746,0.00117746,0.00117746
13,60.1113,2.6518,2.67442,1.56375,0.13277,0.14194,0.06617,0.01858,2.75814,2.67969,1.61441,0.00109683,0.00109683,0.00109683
14,63.994,2.66358,2.67388,1.51403,0.11016,0.14572,0.05654,0.01554,2.65971,2.72867,1.56003,0.0010134,0.0010134,0.0010134
15,67.8451,2.59224,2.63123,1.52858,0.11235,0.15613,0.06263,0.01731,2.67529,2.62838,1.53726,0.000928088,0.000928088,0.000928088
16,71.6697,2.63817,2.66403,1.52807,0.11828,0.15408,0.07568,0.02233,2.68746,2.71239,1.55158,0.000841835,0.000841835,0.000841835
17,75.5581,2.64861,2.59498,1.5248,0.14915,0.16301,0.07671,0.02396,2.68559,2.58803,1.5832,0.000755582,0.000755582,0.000755582
18,79.4192,2.55203,2.52626,1.51295,0.1462,0.19286,0.07881,0.02167,2.58162,2.55148,1.52358,0.000670274,0.000670274,0.000670274
19,83.3489,2.49659,2.58056,1.52212,0.18162,0.19532,0.0987,0.02843,2.62316,2.46815,1.54861,0.000586845,0.000586845,0.000586845
20,87.2362,2.5705,2.48489,1.47497,0.16078,0.16928,0.08994,0.02561,2.58946,2.50003,1.56644,0.00050621,0.00050621,0.00050621
21,92.4722,2.50027,2.44621,1.51012,0.13966,0.1859,0.08889,0.02967,2.57175,2.43967,1.54767,0.000429253,0.000429253,0.000429253
22,96.3526,2.47441,2.38956,1.49697,0.19424,0.1912,0.11333,0.03282,2.60616,2.42145,1.57849,0.000356815,0.000356815,0.000356815
23,100.17,2.48611,2.364,1.47553,0.19678,0.20017,0.10623,0.03284,2.57985,2.37803,1.52117,0.000289692,0.000289692,0.000289692
24,104.043,2.43954,2.31199,1.46302,0.18136,0.21839,0.12137,0.03785,2.57266,2.32739,1.5074,0.000228618,0.000228618,0.000228618
25,107.901,2.43552,2.27865,1.46412,0.20836,0.2433,0.12813,0.03792,2.57983,2.35575,1.53935,0.000174262,0.000174262,0.000174262
26,111.752,2.41405,2.28713,1.45731,0.18666,0.196,0.11433,0.0348,2.57685,2.37237,1.5194,0.000127221,0.000127221,0.000127221
27,115.597,2.41561,2.26506,1.44553,0.18314,0.24953,0.11363,0.03484,2.57892,2.32479,1.52609,8.80093e-05,8.80093e-05,8.80093e-05
28,119.463,2.38379,2.22565,1.44717,0.18726,0.24416,0.12265,0.03792,2.5807,2.30964,1.53942,5.70564e-05,5.70564e-05,5.70564e-05
29,123.349,2.38731,2.23033,1.44058,0.18517,0.2451,0.12871,0.04044,2.58176,2.30349,1.53584,3.47018e-05,3.47018e-05,3.47018e-05
30,127.202,2.41893,2.24332,1.45246,0.193,0.24567,0.12601,0.0394,2.5728,2.2959,1.53417,2.11903e-05,2.11903e-05,2.11903e-05
