epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7643,3.37405,4.90999,2.1091,0.0072,0.30059,0.00836,0.00172,3.22473,3.65657,2.02664,0.000553802,0.000553802,0.000553802
2,32.0318,3.26248,3.60933,2.00817,0.00679,0.26379,0.00324,0.00065,3.42965,304.601,2.21408,0.00110646,0.00110646,0.00110646
3,47.2431,3.29048,3.48869,2.00138,0.01017,0.32226,0.00729,0.00147,3.34085,3.62359,1.98822,0.00164712,0.00164712,0.00164712
4,62.335,3.27371,3.41903,2.01742,0.01547,0.14459,0.0048,0.00097,3.329,4.45522,1.96537,0.00162661,0.00162661,0.00162661
5,77.4287,3.1779,3.40816,1.94971,0.01395,0.32764,0.01212,0.00254,3.21919,3.58137,1.91524,0.00159566,0.00159566,0.00159566
6,92.5857,3.16827,3.42979,1.92063,0.01403,0.42446,0.01676,0.00523,3.13783,3.14041,1.91567,0.00155645,0.00155645,0.00155645
7,107.756,3.15596,3.27951,1.92561,0.00817,0.21153,0.00326,0.00077,3.43267,36.2126,2.39064,0.00150941,0.00150941,0.00150941
8,122.842,3.08812,3.20447,1.92682,0.0552,0.08396,0.01979,0.00509,3.06342,3.20608,1.91755,0.00145505,0.00145505,0.00145505
9,137.916,3.03292,3.15555,1.8286,0.06473,0.08257,0.02198,0.00589,3.06675,3.03394,1.84251,0.00139398,0.00139398,0.00139398
10,152.98,3.03262,3.17776,1.84581,0.02133,0.27126,0.01754,0.00431,3.0741,3.12009,1.88073,0.00132685,0.00132685,0.00132685
11,168.052,3.0232,3.1074,1.84766,0.0324,0.26775,0.02304,0.00684,2.96344,2.9082,1.78276,0.00125442,0.00125442,0.00125442
12,183.141,2.92526,2.99932,1.74104,0.016,0.49821,0.02486,0.00613,2.93878,2.94734,1.74952,0.00117746,0.00117746,0.00117746
13,198.238,2.8983,3.07284,1.77657,0.01403,0.51965,0.02346,0.00767,2.88678,2.90754,1.77219,0.00109683,0.00109683,0.00109683
14,213.377,2.88217,3.02144,1.75357,0.04725,0.23394,0.03682,0.01031,2.88918,2.85123,1.75846,0.0010134,0.0010134,0.0010134
15,228.53,2.84837,2.97659,1.68634,0.07654,0.1424,0.03299,0.00934,2.8629,3.01307,1.71194,0.000928088,0.000928088,0.000928088
16,243.596,2.86446,2.98691,1.75596,0.09345,0.15199,0.04571,0.01312,2.846,2.79063,1.75054,0.000841835,0.000841835,0.000841835
17,258.676,2.82572,2.97843,1.6758,0.05163,0.16846,0.03126,0.00799,2.8295,2.81037,1.76827,0.000755582,0.000755582,0.000755582
18,273.693,2.7936,2.86531,1.6955,0.10323,0.13233,0.04611,0.01316,2.87884,2.74054,1.77306,0.000670274,0.000670274,0.000670274
19,288.885,2.75768,2.90375,1.72401,0.13717,0.09246,0.0456,0.0127,2.82859,2.75845,1.73728,0.000586845,0.000586845,0.000586845
20,304.19,2.76477,2.84057,1.66595,0.1275,0.08835,0.0493,0.01514,2.778,2.7309,1.70875,0.00050621,0.00050621,0.00050621
21,320.405,2.7211,2.75715,1.69186,0.11881,0.13108,0.05611,0.01644,2.76561,2.68241,1.71348,0.000429253,0.000429253,0.000429253
22,335.494,2.70976,2.72229,1.65883,0.10839,0.12723,0.05348,0.01687,2.7554,2.64053,1.70103,0.000356815,0.000356815,0.000356815
23,350.507,2.66831,2.68538,1.64565,0.12824,0.1293,0.05251,0.01531,2.77259,2.65771,1.68934,0.000289692,0.000289692,0.000289692
24,365.575,2.65008,2.63986,1.6339,0.12941,0.14537,0.05818,0.01832,2.70992,2.60382,1.66697,0.000228618,0.000228618,0.000228618
25,380.656,2.6379,2.59565,1.62894,0.12724,0.12454,0.0585,0.01792,2.73697,2.67386,1.68588,0.000174262,0.000174262,0.000174262
26,395.648,2.61965,2.60192,1.63715,0.13278,0.13837,0.05809,0.01774,2.70148,2.59277,1.6616,0.000127221,0.000127221,0.000127221
27,410.607,2.5921,2.57625,1.60002,0.11795,0.15131,0.05737,0.01856,2.7029,2.57333,1.66557,8.80093e-05,8.80093e-05,8.80093e-05
28,425.628,2.59106,2.56742,1.60279,0.1274,0.14781,0.05948,0.01837,2.71565,2.58943,1.67113,5.70564e-05,5.70564e-05,5.70564e-05
29,440.676,2.57996,2.55794,1.60098,0.12494,0.15185,0.0598,0.01838,2.69844,2.59487,1.66366,3.47018e-05,3.47018e-05,3.47018e-05
30,455.823,2.58363,2.54634,1.6131,0.13171,0.14829,0.06437,0.02024,2.70247,2.5798,1.67244,2.11903e-05,2.11903e-05,2.11903e-05
