epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7014,2.97926,8.00396,1.54345,0.00023,0.01143,1e-05,0,2.85852,8.87515,1.43183,0.000549205,0.000549205,0.000549205
2,18.7775,2.81965,6.80967,1.45281,0.00859,0.33596,0.00992,0.00234,2.81447,6.61774,1.51404,0.00110188,0.00110188,0.00110188
3,23.8192,2.84273,5.6956,1.45192,0.01142,0.44637,0.01139,0.0029,2.82587,5.55714,1.49807,0.00164258,0.00164258,0.00164258
4,28.8112,2.8414,4.86717,1.43528,0.07389,0.05524,0.01763,0.00378,2.91941,6.40182,1.56595,0.00162661,0.00162661,0.00162661
5,33.7702,2.81949,4.3003,1.42323,0.01101,0.42047,0.01228,0.00277,2.86428,4.50091,1.47449,0.00159566,0.00159566,0.00159566
6,38.735,2.72118,4.01496,1.47903,0.01134,0.43145,0.01819,0.00533,2.75226,4.15516,1.50812,0.00155645,0.00155645,0.00155645
7,43.703,2.67823,3.77182,1.42231,0.01613,0.47873,0.02369,0.00648,2.67114,3.90277,1.4054,0.00150941,0.00150941,0.00150941
8,48.6944,2.73756,3.57011,1.40036,0.07639,0.09477,0.02833,0.00692,2.68557,3.57303,1.3482,0.00145505,0.00145505,0.00145505
9,53.6637,2.6749,3.41483,1.36166,0.07835,0.08743,0.03114,0.00741,2.59883,3.4366,1.39835,0.00139398,0.00139398,0.00139398
10,58.6492,2.60693,3.30358,1.36341,0.04264,0.38843,0.03555,0.00894,2.65253,3.53877,1.38314,0.00132685,0.00132685,0.00132685
11,63.568,2.61971,3.27691,1.38314,0.03685,0.4078,0.042,0.01027,2.62874,3.30142,1.38805,0.00125442,0.00125442,0.00125442
12,68.4785,2.63218,3.24537,1.37875,0.05536,0.18892,0.03237,0.0092,2.59781,3.2708,1.37083,0.00117746,0.00117746,0.00117746
13,73.4107,2.61584,3.17916,1.32304,0.12297,0.10038,0.04138,0.01042,2.58241,3.23241,1.33564,0.00109683,0.00109683,0.00109683
14,78.4001,2.58297,3.1407,1.34333,0.0299,0.49167,0.0467,0.01365,2.54285,3.11663,1.35144,0.0010134,0.0010134,0.0010134
15,83.386,2.61539,3.07183,1.34451,0.10494,0.15131,0.05273,0.01635,2.56033,3.09083,1.33277,0.000928088,0.000928088,0.000928088
16,88.3912,2.53595,3.00852,1.31136,0.09975,0.17843,0.05249,0.01547,2.52962,3.04778,1.32329,0.000841835,0.000841835,0.000841835
17,93.3163,2.59798,3.00965,1.31532,0.07467,0.22373,0.05288,0.01584,2.60772,3.12771,1.36231,0.000755582,0.000755582,0.000755582
18,98.2346,2.52133,2.95032,1.29767,0.13673,0.10712,0.05426,0.01471,2.56344,3.049,1.36021,0.000670274,0.000670274,0.000670274
19,103.225,2.55649,2.9585,1.2977,0.15463,0.12975,0.05983,0.0181,2.55417,3.01918,1.34707,0.000586845,0.000586845,0.000586845
20,108.244,2.52549,2.8847,1.30395,0.11813,0.1583,0.05914,0.01615,2.50912,2.99135,1.32898,0.00050621,0.00050621,0.00050621
21,114.413,2.47279,2.84736,1.28631,0.15769,0.10238,0.06466,0.02115,2.5407,2.9453,1.34301,0.000429253,0.000429253,0.000429253
22,119.434,2.43547,2.8114,1.272,0.1582,0.16917,0.08019,0.02387,2.51121,2.86752,1.33589,0.000356815,0.000356815,0.000356815
23,124.468,2.43156,2.78654,1.25651,0.14339,0.14112,0.07841,0.02445,2.49773,2.83309,1.31145,0.000289692,0.000289692,0.000289692
24,129.501,2.40586,2.70885,1.25774,0.15192,0.17077,0.0896,0.02805,2.51668,2.76808,1.32021,0.000228618,0.000228618,0.000228618
25,134.497,2.38555,2.71941,1.25296,0.1758,0.18626,0.09505,0.02713,2.50376,2.74886,1.32855,0.000174262,0.000174262,0.000174262
26,139.435,2.40509,2.70718,1.25233,0.17491,0.17861,0.09739,0.02944,2.47696,2.74387,1.32048,0.000127221,0.000127221,0.000127221
27,144.401,2.41025,2.68184,1.2456,0.16598,0.16357,0.09654,0.03079,2.47999,2.7611,1.31547,8.80093e-05,8.80093e-05,8.80093e-05
28,149.389,2.35897,2.65529,1.23593,0.15995,0.16312,0.10069,0.03106,2.48701,2.75387,1.30826,5.70564e-05,5.70564e-05,5.70564e-05
29,154.385,2.36935,2.65287,1.24019,0.17366,0.18457,0.10308,0.03146,2.4875,2.75027,1.30936,3.47018e-05,3.47018e-05,3.47018e-05
30,159.421,2.39357,2.65762,1.23421,0.17668,0.18957,0.10555,0.03175,2.47893,2.74326,1.30785,2.11903e-05,2.11903e-05,2.11903e-05
