epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5697,2.98661,7.85287,1.59725,0.07656,0.12631,0.01714,0.00419,2.81898,5.19048,1.5319,0.000551036,0.000551036,0.000551036
2,22.1854,2.86719,3.81996,1.50594,0.07054,0.04913,0.02188,0.00493,2.77227,3.64875,1.47893,0.0011037,0.0011037,0.0011037
3,29.8034,2.84154,3.59579,1.52515,0.02987,0.05242,0.00761,0.00174,2.88936,4.9387,1.57472,0.00164439,0.00164439,0.00164439
4,37.3182,2.83606,3.56502,1.53829,0.01206,0.37544,0.01487,0.00359,2.84133,3.88259,1.57265,0.00162661,0.00162661,0.00162661
5,44.8242,2.82547,3.39254,1.47522,0.5193,0.06949,0.02204,0.00516,2.82767,3.70268,1.51083,0.00159566,0.00159566,0.00159566
6,52.4303,2.75556,3.46554,1.4924,0.06504,0.06753,0.02706,0.00793,2.72964,3.3501,1.47465,0.00155645,0.00155645,0.00155645
7,59.9334,2.76633,3.34789,1.48892,0.01468,0.53345,0.02078,0.00612,2.77821,3.40961,1.53186,0.00150941,0.00150941,0.00150941
8,67.4959,2.7618,3.28536,1.48713,0.13081,0.07715,0.03796,0.00909,2.71377,3.29189,1.5006,0.00145505,0.00145505,0.00145505
9,75.0727,2.64842,3.17839,1.50898,0.10845,0.09388,0.04273,0.01081,2.72441,3.1855,1.48264,0.00139398,0.00139398,0.00139398
10,82.6421,2.64017,3.16929,1.44383,0.09478,0.05716,0.03839,0.01074,2.68001,3.28977,1.43215,0.00132685,0.00132685,0.00132685
11,90.1608,2.69725,3.12948,1.43608,0.13666,0.09068,0.04478,0.01245,2.61845,3.07705,1.43471,0.00125442,0.00125442,0.00125442
12,97.7245,2.61211,3.03649,1.39947,0.13006,0.09853,0.04741,0.01263,2.64875,3.04644,1.43137,0.00117746,0.00117746,0.00117746
13,105.279,2.59537,3.12096,1.39466,0.07291,0.1875,0.04026,0.0123,2.63719,3.04814,1.40917,0.00109683,0.00109683,0.00109683
14,112.759,2.58898,3.03326,1.38173,0.10426,0.18371,0.05319,0.01482,2.66563,3.0268,1.42508,0.0010134,0.0010134,0.0010134
15,120.325,2.54326,2.96501,1.37732,0.14008,0.10949,0.05365,0.01529,2.61639,2.97971,1.42516,0.000928088,0.000928088,0.000928088
16,127.863,2.59558,2.97677,1.37639,0.13513,0.12071,0.06394,0.0171,2.68623,2.95054,1.4164,0.000841835,0.000841835,0.000841835
17,135.473,2.55827,2.85664,1.33366,0.16472,0.14918,0.07747,0.02039,2.56761,2.90949,1.3769,0.000755582,0.000755582,0.000755582
18,143.09,2.5585,2.87833,1.3533,0.14469,0.15338,0.07423,0.01883,2.58795,3.06528,1.38195,0.000670274,0.000670274,0.000670274
19,150.603,2.48865,2.87278,1.34114,0.15502,0.1309,0.07294,0.02063,2.58503,2.8521,1.41246,0.000586845,0.000586845,0.000586845
20,158.219,2.50699,2.77034,1.31115,0.20005,0.15698,0.07593,0.02278,2.56053,2.80738,1.4014,0.00050621,0.00050621,0.00050621
21,167.102,2.43474,2.7686,1.31929,0.18429,0.1601,0.09367,0.02675,2.58318,2.75467,1.39968,0.000429253,0.000429253,0.000429253
22,174.744,2.41568,2.72237,1.31546,0.16012,0.17277,0.09386,0.03116,2.5411,2.78479,1.38316,0.000356815,0.000356815,0.000356815
23,182.314,2.40668,2.68008,1.31497,0.18782,0.19334,0.09983,0.02873,2.57415,2.65159,1.40483,0.000289692,0.000289692,0.000289692
24,189.803,2.37868,2.60433,1.30532,0.1588,0.19647,0.09863,0.03018,2.54985,2.68056,1.37779,0.000228618,0.000228618,0.000228618
25,197.332,2.36031,2.5766,1.29822,0.18519,0.21543,0.10415,0.03171,2.54222,2.67517,1.37564,0.000174262,0.000174262,0.000174262
26,204.896,2.33902,2.56241,1.28056,0.20192,0.20799,0.12406,0.03729,2.54133,2.6235,1.36913,0.000127221,0.000127221,0.000127221
27,212.451,2.35559,2.54418,1.29458,0.21321,0.21498,0.12522,0.03811,2.53625,2.6238,1.37198,8.80093e-05,8.80093e-05,8.80093e-05
28,220.036,2.33231,2.4984,1.29529,0.19802,0.20619,0.11741,0.03489,2.5368,2.62503,1.36395,5.70564e-05,5.70564e-05,5.70564e-05
29,227.567,2.34908,2.48818,1.28688,0.18626,0.21336,0.12007,0.03538,2.53936,2.61529,1.37196,3.47018e-05,3.47018e-05,3.47018e-05
30,235.116,2.33958,2.49743,1.28154,0.19057,0.2143,0.11861,0.03628,2.52579,2.61242,1.37161,2.11903e-05,2.11903e-05,2.11903e-05
