epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.01106,3.22977,4.83134,1.94172,0.03244,0.16806,0.00999,0.00248,3.04588,5.02639,1.83749,0.000548258,0.000548258,0.000548258
2,11.4018,2.93913,3.31735,1.78386,0.04738,0.09152,0.02235,0.00592,2.9772,4.366,1.87178,0.00110093,0.00110093,0.00110093
3,16.7184,2.91491,3.0637,1.76776,0.05197,0.0646,0.01366,0.0036,3.07313,4.58611,1.95678,0.00164164,0.00164164,0.00164164
4,22.0069,2.9636,3.07585,1.79168,0.07686,0.09352,0.03103,0.0086,2.91475,3.58488,1.74586,0.00162661,0.00162661,0.00162661
5,27.2952,2.90833,2.97525,1.69418,0.08336,0.13532,0.0318,0.00796,2.87221,3.0451,1.66038,0.00159566,0.00159566,0.00159566
6,32.5504,2.80981,2.89066,1.64144,0.12254,0.07765,0.03864,0.01142,2.89416,2.79961,1.70333,0.00155645,0.00155645,0.00155645
7,37.843,2.7992,2.83623,1.67082,0.10516,0.05657,0.03249,0.00916,2.88793,2.8801,1.73649,0.00150941,0.00150941,0.00150941
8,43.1227,2.78322,2.79864,1.65497,0.12107,0.12667,0.04636,0.01218,2.85645,2.85163,1.70645,0.00145505,0.00145505,0.00145505
9,48.3999,2.78093,2.74057,1.63516,0.13519,0.14459,0.05729,0.01364,2.80229,2.66346,1.64236,0.00139398,0.00139398,0.00139398
10,53.6931,2.7155,2.72699,1.63206,0.10743,0.12466,0.05292,0.0177,2.76531,2.85701,1.70706,0.00132685,0.00132685,0.00132685
11,58.9911,2.67268,2.65806,1.56858,0.10586,0.1495,0.05698,0.01802,2.70185,2.97056,1.62332,0.00125442,0.00125442,0.00125442
12,64.2787,2.65835,2.5999,1.60363,0.13111,0.11562,0.06524,0.01893,2.83374,2.63052,1.66182,0.00117746,0.00117746,0.00117746
13,69.5611,2.66507,2.57302,1.55757,0.09427,0.12279,0.0572,0.01784,2.71789,2.59863,1.62549,0.00109683,0.00109683,0.00109683
14,74.8324,2.64961,2.56537,1.55262,0.12846,0.16042,0.06017,0.0176,2.69174,2.5907,1.61261,0.0010134,0.0010134,0.0010134
15,80.1418,2.63126,2.54455,1.54758,0.14516,0.14858,0.07494,0.02267,2.70063,2.57124,1.59912,0.000928088,0.000928088,0.000928088
16,85.4556,2.57208,2.47019,1.51038,0.1335,0.15847,0.07372,0.02452,2.68011,2.51606,1.58587,0.000841835,0.000841835,0.000841835
17,90.7552,2.57265,2.43232,1.49572,0.15629,0.17539,0.09525,0.02909,2.72252,2.50466,1.61594,0.000755582,0.000755582,0.000755582
18,96.0684,2.53514,2.42791,1.50617,0.14215,0.19289,0.08899,0.02688,2.66069,2.43068,1.59733,0.000670274,0.000670274,0.000670274
19,101.293,2.50157,2.42143,1.49132,0.1453,0.1875,0.09395,0.03127,2.63259,2.41333,1.55552,0.000586845,0.000586845,0.000586845
20,106.561,2.49769,2.34595,1.46918,0.13497,0.18753,0.07987,0.02428,2.63026,2.4061,1.58585,0.00050621,0.00050621,0.00050621
21,112.773,2.45753,2.33633,1.48919,0.15167,0.20977,0.10796,0.03526,2.67034,2.35624,1.58762,0.000429253,0.000429253,0.000429253
22,118.163,2.43999,2.27929,1.47623,0.17191,0.17918,0.10151,0.03392,2.63015,2.3868,1.57891,0.000356815,0.000356815,0.000356815
23,123.479,2.41639,2.26652,1.46531,0.15175,0.1872,0.10175,0.03461,2.61451,2.40517,1.57119,0.000289692,0.000289692,0.000289692
24,128.779,2.38249,2.22413,1.44663,0.16917,0.18718,0.11131,0.03739,2.62091,2.37401,1.5836,0.000228618,0.000228618,0.000228618
25,134.115,2.38691,2.19487,1.45447,0.16136,0.20589,0.11569,0.03852,2.60379,2.35293,1.56048,0.000174262,0.000174262,0.000174262
26,139.454,2.37226,2.18113,1.44556,0.17244,0.16567,0.11449,0.03858,2.61318,2.38062,1.57751,0.000127221,0.000127221,0.000127221
27,144.81,2.36583,2.17166,1.44156,0.16114,0.19485,0.10571,0.03459,2.59685,2.34961,1.57163,8.80093e-05,8.80093e-05,8.80093e-05
28,150.093,2.33407,2.15452,1.44506,0.14917,0.19608,0.10551,0.03544,2.58632,2.34337,1.57624,5.70564e-05,5.70564e-05,5.70564e-05
29,155.421,2.33438,2.11991,1.42881,0.17149,0.20335,0.1108,0.03622,2.58701,2.31916,1.55872,3.47018e-05,3.47018e-05,3.47018e-05
30,160.706,2.3494,2.12694,1.42602,0.17865,0.20533,0.11767,0.03879,2.58818,2.31082,1.56191,2.11903e-05,2.11903e-05,2.11903e-05
