epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.90185,3.35122,5.57874,2.01748,0.00325,0.13309,0.01564,0.0036,3.11992,5.19793,1.68841,0.000548258,0.000548258,0.000548258
2,13.755,3.00975,4.31885,1.7649,0.02829,0.04176,0.01042,0.00233,3.21477,4.47355,1.92446,0.00110093,0.00110093,0.00110093
3,19.4721,2.95439,3.89776,1.71639,0.0454,0.08369,0.01404,0.00345,3.09558,4.3057,1.83081,0.00164164,0.00164164,0.00164164
4,25.2512,2.93821,3.55592,1.69724,0.0499,0.02381,0.01185,0.00425,2.9979,6.1108,1.83654,0.00162661,0.00162661,0.00162661
5,30.9161,2.86445,3.31864,1.66781,0.07199,0.06329,0.02654,0.00761,3.01019,3.37136,1.76294,0.00159566,0.00159566,0.00159566
6,36.5896,2.83641,3.15728,1.67201,0.08847,0.10919,0.04277,0.01191,2.87678,3.08743,1.76817,0.00155645,0.00155645,0.00155645
7,42.4209,2.79694,3.0032,1.6743,0.19878,0.09684,0.05155,0.0156,2.891,3.2942,1.77873,0.00150941,0.00150941,0.00150941
8,48.1178,2.76455,2.89721,1.63941,0.12328,0.09077,0.05371,0.0165,2.85693,2.91107,1.70284,0.00145505,0.00145505,0.00145505
9,53.764,2.73272,2.85586,1.62691,0.13225,0.09104,0.05476,0.01603,2.82321,2.83463,1.68612,0.00139398,0.00139398,0.00139398
10,59.4592,2.72813,2.81582,1.61542,0.08474,0.13334,0.03541,0.01029,2.82359,2.86713,1.70395,0.00132685,0.00132685,0.00132685
11,65.1052,2.6346,2.71933,1.59398,0.12381,0.14024,0.0505,0.01441,2.82544,2.85736,1.65876,0.00125442,0.00125442,0.00125442
12,70.9218,2.64827,2.67929,1.58531,0.12816,0.1006,0.0551,0.01697,2.75967,2.87178,1.68439,0.00117746,0.00117746,0.00117746
13,76.6148,2.6579,2.68164,1.57917,0.1083,0.0868,0.05444,0.01904,2.72151,2.71931,1.65046,0.00109683,0.00109683,0.00109683
14,82.2749,2.63292,2.67054,1.55734,0.10506,0.15661,0.05843,0.01855,2.70966,2.71508,1.64203,0.0010134,0.0010134,0.0010134
15,87.8995,2.59725,2.59873,1.55559,0.14026,0.12848,0.07131,0.02176,2.7017,2.57326,1.6006,0.000928088,0.000928088,0.000928088
16,93.5393,2.56378,2.51523,1.52368,0.14317,0.14035,0.06655,0.01881,2.69748,2.56943,1.59299,0.000841835,0.000841835,0.000841835
17,99.2081,2.57658,2.4706,1.49594,0.14043,0.15528,0.08038,0.02374,2.71959,2.54099,1.61765,0.000755582,0.000755582,0.000755582
18,105.097,2.54427,2.49355,1.51025,0.14246,0.14103,0.08524,0.02546,2.67435,2.54032,1.6167,0.000670274,0.000670274,0.000670274
19,110.765,2.49641,2.45022,1.52919,0.13728,0.13517,0.08185,0.02371,2.66183,2.51426,1.58087,0.000586845,0.000586845,0.000586845
20,116.418,2.50791,2.39492,1.48122,0.12748,0.18154,0.09599,0.0294,2.6306,2.42397,1.60996,0.00050621,0.00050621,0.00050621
21,123.31,2.45388,2.42488,1.48897,0.15985,0.18054,0.09833,0.0345,2.64342,2.44154,1.6173,0.000429253,0.000429253,0.000429253
22,128.953,2.44081,2.35687,1.47796,0.15051,0.1601,0.08941,0.0286,2.62591,2.45029,1.60056,0.000356815,0.000356815,0.000356815
23,134.568,2.41048,2.31844,1.46849,0.16702,0.17408,0.10208,0.03098,2.61688,2.433,1.5785,0.000289692,0.000289692,0.000289692
24,140.406,2.38901,2.25407,1.45452,0.17029,0.17938,0.10637,0.03292,2.60758,2.42802,1.58741,0.000228618,0.000228618,0.000228618
25,146.01,2.39515,2.25893,1.45873,0.16029,0.17192,0.09776,0.03128,2.58562,2.4359,1.5731,0.000174262,0.000174262,0.000174262
26,151.659,2.38964,2.26204,1.45617,0.16708,0.17097,0.10559,0.03756,2.58586,2.37924,1.57545,0.000127221,0.000127221,0.000127221
27,157.286,2.37388,2.22746,1.447,0.18126,0.16658,0.10516,0.03473,2.59613,2.39689,1.57113,8.80093e-05,8.80093e-05,8.80093e-05
28,162.925,2.35295,2.22728,1.44695,0.16871,0.1713,0.10524,0.03441,2.59022,2.40504,1.57512,5.70564e-05,5.70564e-05,5.70564e-05
29,168.591,2.35485,2.20816,1.44399,0.16784,0.17447,0.10718,0.0345,2.5853,2.40182,1.57171,3.47018e-05,3.47018e-05,3.47018e-05
30,174.218,2.3627,2.20704,1.44417,0.15881,0.17654,0.10082,0.03339,2.57718,2.40237,1.57415,2.11903e-05,2.11903e-05,2.11903e-05
