epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6207,3.28366,9.37499,0.00705,0.0006,0.02834,2e-05,0,3.04057,8.68163,0.00557,0.000541044,0.000541044,0.000541044
2,16.0019,2.83477,7.02391,0.0053,0.00096,0.03826,0.00048,9e-05,2.73098,7.78147,0.00486,0.00109374,0.00109374,0.00109374
3,20.3878,2.74102,5.97166,0.00503,0.00844,0.27011,0.0124,0.00273,2.78896,6.48029,0.00503,0.0016345,0.0016345,0.0016345
4,24.7245,2.74559,5.23855,0.00495,0.0786,0.05087,0.02185,0.00478,2.79767,5.06648,0.00493,0.00162661,0.00162661,0.00162661
5,29.1055,2.69023,4.54646,0.00468,0.03081,0.21886,0.01903,0.00449,2.76231,4.60245,0.00476,0.00159566,0.00159566,0.00159566
6,33.4658,2.62558,4.08402,0.00475,0.09176,0.05763,0.03454,0.00914,2.64278,4.14482,0.00463,0.00155645,0.00155645,0.00155645
7,37.8415,2.64086,3.81934,0.00473,0.07116,0.05952,0.04482,0.01212,2.64618,3.8554,0.00453,0.00150941,0.00150941,0.00150941
8,42.2346,2.64588,3.54948,0.00439,0.10732,0.09891,0.03607,0.00956,2.58142,3.65324,0.00447,0.00145505,0.00145505,0.00145505
9,46.6283,2.55637,3.43694,0.00447,0.15367,0.08952,0.05543,0.0162,2.62988,3.4965,0.00457,0.00139398,0.00139398,0.00139398
10,50.9628,2.57575,3.34463,0.00457,0.17565,0.05721,0.05512,0.01464,2.60244,3.40175,0.00455,0.00132685,0.00132685,0.00132685
11,55.3086,2.52604,3.22521,0.00449,0.11664,0.12498,0.04929,0.01312,2.60679,3.24866,0.00446,0.00125442,0.00125442,0.00125442
12,59.6514,2.53705,3.16122,0.0044,0.17178,0.08004,0.06171,0.01788,2.5519,3.40424,0.00436,0.00117746,0.00117746,0.00117746
13,64.0251,2.48976,3.06741,0.00418,0.12513,0.10937,0.05984,0.01776,2.51852,3.12959,0.00425,0.00109683,0.00109683,0.00109683
14,68.4383,2.50953,3.03012,0.00421,0.16004,0.12033,0.06639,0.01861,2.54887,3.08431,0.00432,0.0010134,0.0010134,0.0010134
15,72.7923,2.47288,2.95726,0.00428,0.16818,0.1394,0.06546,0.01702,2.56628,3.11697,0.00435,0.000928088,0.000928088,0.000928088
16,77.127,2.47313,2.9057,0.00423,0.22087,0.1123,0.07324,0.02263,2.63835,3.13944,0.00449,0.000841835,0.000841835,0.000841835
17,81.503,2.46937,2.90204,0.00416,0.14057,0.13877,0.06858,0.02062,2.50209,3.01511,0.00424,0.000755582,0.000755582,0.000755582
18,85.8642,2.49025,2.8681,0.00416,0.1491,0.14941,0.07916,0.02237,2.48862,2.9798,0.0042,0.000670274,0.000670274,0.000670274
19,90.2008,2.43531,2.85354,0.0042,0.26282,0.12951,0.10189,0.02686,2.50944,2.93491,0.00418,0.000586845,0.000586845,0.000586845
20,94.6435,2.45069,2.78006,0.00405,0.18659,0.16091,0.09427,0.02726,2.486,2.93146,0.0041,0.00050621,0.00050621,0.00050621
21,100.973,2.35296,2.73161,0.00418,0.20611,0.14139,0.09552,0.02917,2.48289,2.82741,0.00411,0.000429253,0.000429253,0.000429253
22,105.274,2.35435,2.73102,0.00427,0.18908,0.17174,0.10113,0.03165,2.45644,2.94831,0.00409,0.000356815,0.000356815,0.000356815
23,109.584,2.35103,2.67216,0.00413,0.2388,0.17983,0.11146,0.0335,2.46293,2.78099,0.00413,0.000289692,0.000289692,0.000289692
24,113.84,2.37095,2.66221,0.00414,0.2256,0.17408,0.1263,0.03917,2.47699,2.79032,0.00413,0.000228618,0.000228618,0.000228618
25,118.394,2.35271,2.62473,0.00407,0.23855,0.17805,0.12066,0.03787,2.50098,2.74576,0.00416,0.000174262,0.000174262,0.000174262
26,122.658,2.34583,2.6215,0.00406,0.22221,0.17701,0.12475,0.04056,2.49172,2.74059,0.00416,0.000127221,0.000127221,0.000127221
27,126.935,2.34242,2.60584,0.00411,0.22666,0.16321,0.12486,0.03895,2.48594,2.76265,0.00417,8.80093e-05,8.80093e-05,8.80093e-05
28,131.231,2.32188,2.5904,0.00408,0.23081,0.18824,0.12349,0.03871,2.48153,2.74357,0.00414,5.70564e-05,5.70564e-05,5.70564e-05
29,135.536,2.34316,2.55425,0.00409,0.23472,0.18021,0.12355,0.03936,2.47273,2.74015,0.00412,3.47018e-05,3.47018e-05,3.47018e-05
30,139.765,2.34338,2.56664,0.00405,0.23647,0.18513,0.1227,0.03939,2.4719,2.74473,0.00411,2.11903e-05,2.11903e-05,2.11903e-05
