epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.89901,3.01956,11.5177,0.00606,0.00923,0.21457,0.00402,0.00077,2.81945,5.47274,0.00529,0.000551036,0.000551036,0.000551036
2,18.0253,2.76111,4.26093,0.00543,0.06555,0.03589,0.01893,0.00433,2.80812,3.79944,0.00519,0.0011037,0.0011037,0.0011037
3,26.1196,2.768,3.59591,0.0052,0.07872,0.05488,0.02949,0.0081,2.7647,3.46934,0.00502,0.00164439,0.00164439,0.00164439
4,34.1837,2.76613,3.45846,0.00516,0.06214,0.09418,0.02344,0.00623,2.69931,4.04839,0.00484,0.00162661,0.00162661,0.00162661
5,42.224,2.77075,3.37612,0.00502,0.0511,0.28347,0.03244,0.00785,2.67137,3.39157,0.00481,0.00159566,0.00159566,0.00159566
6,50.2583,2.71097,3.44084,0.00519,0.10772,0.12998,0.03745,0.00955,2.75954,3.5021,0.00519,0.00155645,0.00155645,0.00155645
7,58.3708,2.73779,3.375,0.00516,0.03547,0.32737,0.03735,0.00932,2.69547,3.2059,0.00499,0.00150941,0.00150941,0.00150941
8,66.384,2.66617,3.21722,0.00473,0.14222,0.13749,0.04679,0.01275,2.66154,3.11983,0.00477,0.00145505,0.00145505,0.00145505
9,74.4402,2.56353,3.20158,0.00484,0.17266,0.05835,0.05468,0.01443,2.62772,3.07864,0.00467,0.00139398,0.00139398,0.00139398
10,82.5023,2.54085,3.12193,0.00463,0.2025,0.12049,0.06302,0.01916,2.55525,3.12042,0.00453,0.00132685,0.00132685,0.00132685
11,90.6243,2.60667,3.06596,0.00479,0.11832,0.14261,0.05514,0.01561,2.55318,3.22212,0.00443,0.00125442,0.00125442,0.00125442
12,98.6609,2.54291,2.98377,0.00461,0.15771,0.13235,0.07188,0.02331,2.56484,2.92629,0.00447,0.00117746,0.00117746,0.00117746
13,106.749,2.49865,3.03269,0.00456,0.15631,0.09589,0.06468,0.02114,2.51445,2.99107,0.00443,0.00109683,0.00109683,0.00109683
14,114.814,2.49833,2.94854,0.00448,0.22774,0.12023,0.08593,0.02333,2.59314,2.96959,0.0046,0.0010134,0.0010134,0.0010134
15,122.87,2.46833,2.87705,0.00449,0.1865,0.16197,0.08134,0.02535,2.52623,2.85068,0.00439,0.000928088,0.000928088,0.000928088
16,130.996,2.5358,2.90019,0.00444,0.15283,0.13713,0.06457,0.01865,2.5167,2.89348,0.00434,0.000841835,0.000841835,0.000841835
17,138.983,2.49785,2.79168,0.0043,0.17592,0.18371,0.09574,0.03137,2.55624,2.86095,0.00451,0.000755582,0.000755582,0.000755582
18,147.139,2.49155,2.8123,0.00446,0.17217,0.20596,0.09083,0.02572,2.54679,2.87779,0.0044,0.000670274,0.000670274,0.000670274
19,155.094,2.43405,2.87667,0.00458,0.1875,0.1248,0.08403,0.02734,2.54737,2.81128,0.00452,0.000586845,0.000586845,0.000586845
20,163.196,2.46945,2.77276,0.00425,0.1791,0.15498,0.07411,0.0221,2.50495,2.84088,0.00431,0.00050621,0.00050621,0.00050621
21,172.693,2.39385,2.70542,0.00441,0.23688,0.18531,0.11223,0.03476,2.4935,2.72343,0.0043,0.000429253,0.000429253,0.000429253
22,180.858,2.39387,2.70243,0.00445,0.24922,0.19049,0.10851,0.03356,2.51932,2.73036,0.00436,0.000356815,0.000356815,0.000356815
23,188.932,2.37217,2.66613,0.00439,0.24077,0.1907,0.11693,0.03769,2.51462,2.66064,0.00437,0.000289692,0.000289692,0.000289692
24,197.045,2.35979,2.58958,0.0043,0.22327,0.20184,0.12452,0.03934,2.50186,2.66233,0.00431,0.000228618,0.000228618,0.000228618
25,205.155,2.34115,2.55097,0.00426,0.25319,0.201,0.13074,0.04332,2.52309,2.65648,0.00438,0.000174262,0.000174262,0.000174262
26,213.44,2.33541,2.55283,0.00425,0.23836,0.21252,0.14129,0.0485,2.4929,2.6275,0.00431,0.000127221,0.000127221,0.000127221
27,221.558,2.33254,2.55916,0.00429,0.26833,0.2058,0.13958,0.04824,2.4892,2.61449,0.00431,8.80093e-05,8.80093e-05,8.80093e-05
28,229.638,2.30389,2.5131,0.00433,0.23497,0.21611,0.13656,0.04891,2.49451,2.62863,0.00431,5.70564e-05,5.70564e-05,5.70564e-05
29,237.766,2.35047,2.49709,0.0043,0.24148,0.22501,0.13874,0.04919,2.50579,2.60708,0.00432,3.47018e-05,3.47018e-05,3.47018e-05
30,245.836,2.32039,2.49166,0.00423,0.25188,0.22404,0.14211,0.04845,2.49437,2.59666,0.00431,2.11903e-05,2.11903e-05,2.11903e-05
