epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.06235,3.35499,6.43138,2.0443,4e-05,0.00198,0,0,3.03846,6.17753,1.68578,0.000542744,0.000542744,0.000542744
2,9.80983,2.96354,4.76242,1.75224,0.00161,0.0682,0.00018,3e-05,3.09864,5.50872,1.81321,0.00109543,0.00109543,0.00109543
3,13.4202,2.93128,4.31713,1.68704,0.00518,0.20127,0.00206,0.00049,3.01328,6.56812,1.65078,0.00163619,0.00163619,0.00163619
4,17.0245,2.91625,3.997,1.67174,0.02673,0.09749,0.01097,0.00344,3.02574,6.16055,1.72042,0.00162661,0.00162661,0.00162661
5,20.6257,2.86666,3.72265,1.64542,0.0725,0.11559,0.02789,0.00728,2.86071,3.91259,1.64714,0.00159566,0.00159566,0.00159566
6,24.1907,2.78556,3.36521,1.62669,0.08888,0.08417,0.0349,0.00971,2.84352,3.35617,1.58501,0.00155645,0.00155645,0.00155645
7,27.7301,2.73552,3.15799,1.61301,0.07669,0.14423,0.0452,0.01164,2.81514,3.50074,1.67259,0.00150941,0.00150941,0.00150941
8,31.2507,2.71729,3.03522,1.59153,0.09873,0.14538,0.05157,0.01402,2.76371,3.24037,1.65182,0.00145505,0.00145505,0.00145505
9,34.7667,2.72228,2.92426,1.5624,0.1095,0.1649,0.04594,0.01234,2.80753,3.03549,1.61095,0.00139398,0.00139398,0.00139398
10,38.253,2.66415,2.87456,1.53528,0.14716,0.15702,0.05884,0.01593,2.79848,3.02108,1.62616,0.00132685,0.00132685,0.00132685
11,41.7752,2.69337,2.79399,1.57062,0.11112,0.13499,0.05025,0.01567,2.78853,2.8709,1.58222,0.00125442,0.00125442,0.00125442
12,45.2611,2.64172,2.72605,1.57459,0.12645,0.1195,0.05972,0.01979,2.80775,2.81935,1.5914,0.00117746,0.00117746,0.00117746
13,48.769,2.60322,2.70348,1.55609,0.11796,0.1466,0.05914,0.01776,2.7793,2.81225,1.61981,0.00109683,0.00109683,0.00109683
14,52.2686,2.63167,2.6663,1.51413,0.13297,0.13478,0.06253,0.01606,2.76119,2.73499,1.57184,0.0010134,0.0010134,0.0010134
15,55.7471,2.5418,2.59323,1.51592,0.14104,0.14243,0.06984,0.02163,2.71518,2.66398,1.56825,0.000928088,0.000928088,0.000928088
16,59.2723,2.5861,2.59955,1.51592,0.14921,0.13695,0.07657,0.02261,2.71013,2.68695,1.5487,0.000841835,0.000841835,0.000841835
17,62.7615,2.56721,2.53538,1.50257,0.15063,0.15539,0.07776,0.02242,2.73077,2.60507,1.59096,0.000755582,0.000755582,0.000755582
18,66.2983,2.5634,2.50877,1.5009,0.12328,0.17343,0.07833,0.0238,2.67752,2.62939,1.5535,0.000670274,0.000670274,0.000670274
19,69.7926,2.52497,2.47074,1.48309,0.14959,0.19568,0.07758,0.02376,2.6821,2.57786,1.52164,0.000586845,0.000586845,0.000586845
20,73.3029,2.48126,2.39747,1.46456,0.16168,0.16748,0.09014,0.02781,2.70707,2.54514,1.58468,0.00050621,0.00050621,0.00050621
21,78.1117,2.45075,2.36998,1.46027,0.16135,0.18362,0.09241,0.02809,2.66183,2.53333,1.57855,0.000429253,0.000429253,0.000429253
22,81.5983,2.42994,2.36219,1.4687,0.17124,0.1891,0.10163,0.03226,2.65869,2.48291,1.53978,0.000356815,0.000356815,0.000356815
23,85.0776,2.42349,2.29349,1.43806,0.18617,0.20693,0.10275,0.02994,2.67542,2.46594,1.54397,0.000289692,0.000289692,0.000289692
24,88.5316,2.4085,2.28774,1.44069,0.19177,0.21149,0.11828,0.03778,2.67047,2.40581,1.54826,0.000228618,0.000228618,0.000228618
25,92.0017,2.39047,2.26713,1.4436,0.16994,0.18457,0.11358,0.03349,2.65013,2.39609,1.54692,0.000174262,0.000174262,0.000174262
26,95.4684,2.36425,2.20546,1.42895,0.18781,0.20229,0.11508,0.03503,2.623,2.39954,1.53364,0.000127221,0.000127221,0.000127221
27,98.9476,2.35581,2.21508,1.42671,0.19456,0.19738,0.11826,0.0372,2.63866,2.3832,1.54154,8.80093e-05,8.80093e-05,8.80093e-05
28,102.591,2.33746,2.18942,1.43345,0.19072,0.19911,0.12047,0.0372,2.65351,2.38159,1.54807,5.70564e-05,5.70564e-05,5.70564e-05
29,106.064,2.35109,2.17812,1.41647,0.18204,0.19156,0.11986,0.03569,2.66339,2.38947,1.54565,3.47018e-05,3.47018e-05,3.47018e-05
30,109.534,2.34563,2.16555,1.42076,0.19053,0.20666,0.12123,0.03694,2.65283,2.38929,1.53983,2.11903e-05,2.11903e-05,2.11903e-05
