epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.58791,3.4097,6.18379,2.21143,4e-05,0.00198,0,0,3.19652,5.93533,1.82024,0.00048343,0.00048343,0.00048343
2,10.0576,2.98836,4.45674,1.67905,0.00081,0.0358,0.0001,2e-05,3.03567,7.55063,1.78068,0.000980863,0.000980863,0.000980863
3,13.4208,2.9335,3.98602,1.69182,0.52924,0.03175,0.0154,0.00587,3.02288,4.33351,1.74712,0.00146758,0.00146758,0.00146758
4,16.8305,2.86627,3.70065,1.6796,0.04112,0.09925,0.01829,0.00575,2.91223,3.94695,1.67447,0.00162661,0.00162661,0.00162661
5,20.1762,2.85878,3.41535,1.66994,0.06126,0.07339,0.0151,0.00454,2.97091,3.81809,1.76485,0.00159566,0.00159566,0.00159566
6,23.5357,2.81027,3.23186,1.62202,0.05157,0.06121,0.02039,0.00641,2.98027,3.58782,1.68432,0.00155645,0.00155645,0.00155645
7,26.8672,2.77757,3.06666,1.59249,0.07968,0.11073,0.02715,0.00711,2.92065,3.45531,1.70041,0.00150941,0.00150941,0.00150941
8,30.2038,2.76485,2.92388,1.63054,0.14655,0.06453,0.02939,0.00844,2.91643,3.35231,1.642,0.00145505,0.00145505,0.00145505
9,33.5221,2.72103,2.85587,1.57581,0.13246,0.13864,0.05108,0.01419,2.84172,2.96334,1.57587,0.00139398,0.00139398,0.00139398
10,36.8315,2.72493,2.8501,1.61735,0.10248,0.1139,0.03128,0.00826,2.88683,3.06226,1.64626,0.00132685,0.00132685,0.00132685
11,40.1778,2.6502,2.72393,1.56585,0.09692,0.18792,0.05779,0.01727,2.80294,3.04762,1.56659,0.00125442,0.00125442,0.00125442
12,43.5039,2.60565,2.6324,1.55217,0.15497,0.14903,0.06931,0.01915,2.83064,2.78705,1.57622,0.00117746,0.00117746,0.00117746
13,46.8624,2.58316,2.57467,1.53018,0.11287,0.14696,0.04854,0.01273,2.76507,3.27683,1.56973,0.00109683,0.00109683,0.00109683
14,50.1785,2.61286,2.57089,1.52156,0.1689,0.1657,0.07435,0.02099,2.77462,2.68665,1.60192,0.0010134,0.0010134,0.0010134
15,53.5015,2.60674,2.52684,1.54558,0.14109,0.1622,0.07305,0.02256,2.76397,2.68928,1.60293,0.000928088,0.000928088,0.000928088
16,56.8119,2.56761,2.5261,1.51989,0.13065,0.1346,0.05224,0.01396,2.76031,2.81706,1.56168,0.000841835,0.000841835,0.000841835
17,60.1214,2.5466,2.44251,1.48204,0.14137,0.18229,0.07787,0.02568,2.68949,2.64917,1.55392,0.000755582,0.000755582,0.000755582
18,63.4987,2.52695,2.40793,1.49059,0.17203,0.19259,0.10176,0.03335,2.72819,2.53416,1.60966,0.000670274,0.000670274,0.000670274
19,66.8129,2.45371,2.34587,1.47644,0.16125,0.14725,0.09769,0.03208,2.68914,2.53061,1.57716,0.000586845,0.000586845,0.000586845
20,70.1253,2.48746,2.37551,1.45804,0.18321,0.16191,0.09208,0.03021,2.72173,2.60925,1.57327,0.00050621,0.00050621,0.00050621
21,74.7697,2.45959,2.35954,1.47349,0.18444,0.21841,0.10303,0.03451,2.70349,2.6806,1.57166,0.000429253,0.000429253,0.000429253
22,78.0057,2.44849,2.27745,1.46044,0.17779,0.18655,0.09719,0.03245,2.65338,2.5875,1.53081,0.000356815,0.000356815,0.000356815
23,81.2353,2.42989,2.26482,1.46248,0.20356,0.17985,0.10712,0.0367,2.64842,2.62803,1.5469,0.000289692,0.000289692,0.000289692
24,84.4534,2.38169,2.22473,1.45354,0.20361,0.2045,0.11256,0.03507,2.67577,2.46413,1.53154,0.000228618,0.000228618,0.000228618
25,87.6748,2.36932,2.19564,1.44869,0.20234,0.19854,0.1303,0.04364,2.643,2.43931,1.54362,0.000174262,0.000174262,0.000174262
26,90.9113,2.34764,2.14788,1.42813,0.2017,0.1923,0.13081,0.04481,2.64186,2.42926,1.53915,0.000127221,0.000127221,0.000127221
27,94.1507,2.34193,2.12421,1.43234,0.20143,0.19962,0.1308,0.04633,2.65224,2.42614,1.54863,8.80093e-05,8.80093e-05,8.80093e-05
28,97.3857,2.35337,2.11918,1.42974,0.22224,0.18341,0.12739,0.04663,2.64384,2.42448,1.53479,5.70564e-05,5.70564e-05,5.70564e-05
29,100.621,2.33143,2.12366,1.41733,0.20227,0.21374,0.12913,0.0473,2.64464,2.42532,1.53286,3.47018e-05,3.47018e-05,3.47018e-05
30,103.83,2.3361,2.11124,1.41746,0.19263,0.20109,0.132,0.04672,2.64923,2.43022,1.53172,2.11903e-05,2.11903e-05,2.11903e-05
