epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.695,3.30229,5.43039,1.92536,0.00124,0.0443,0.00017,4e-05,3.09638,5.90396,1.66422,0.000541775,0.000541775,0.000541775
2,9.07029,2.96634,4.31447,1.66675,0.00535,0.19117,0.00963,0.00272,2.9503,4.46499,1.73348,0.00109447,0.00109447,0.00109447
3,12.4661,2.94022,3.84363,1.72941,0.00836,0.32566,0.00893,0.00213,3.10005,4.30658,1.72139,0.00163523,0.00163523,0.00163523
4,15.7758,2.85444,3.5365,1.66581,0.03914,0.02985,0.00552,0.00127,3.0737,4.184,1.75071,0.00162661,0.00162661,0.00162661
5,19.1451,2.8482,3.34024,1.61181,0.08059,0.08671,0.02972,0.0072,2.91073,4.18188,1.69686,0.00159566,0.00159566,0.00159566
6,22.4517,2.79221,3.19819,1.64195,0.15119,0.06157,0.03802,0.00971,2.79952,3.27731,1.56979,0.00155645,0.00155645,0.00155645
7,25.7624,2.72001,2.92565,1.57778,0.08946,0.13508,0.03425,0.009,2.86088,3.18344,1.57742,0.00150941,0.00150941,0.00150941
8,29.0513,2.76421,2.89461,1.57858,0.13656,0.1071,0.04405,0.01149,2.78246,3.03469,1.58727,0.00145505,0.00145505,0.00145505
9,32.3688,2.72298,2.84901,1.622,0.14131,0.13363,0.05728,0.01492,2.79092,2.84138,1.64181,0.00139398,0.00139398,0.00139398
10,35.6821,2.65169,2.7258,1.58277,0.12009,0.145,0.05762,0.01726,2.7037,2.84558,1.58736,0.00132685,0.00132685,0.00132685
11,38.9487,2.6338,2.69031,1.5623,0.11513,0.13431,0.05247,0.01338,2.73489,2.76294,1.56283,0.00125442,0.00125442,0.00125442
12,42.2459,2.56008,2.61823,1.52167,0.1313,0.15931,0.05783,0.01666,2.70076,2.95297,1.55958,0.00117746,0.00117746,0.00117746
13,45.5334,2.62992,2.60883,1.53477,0.1432,0.12581,0.07135,0.01934,2.76266,2.64151,1.5655,0.00109683,0.00109683,0.00109683
14,48.8442,2.59622,2.51623,1.49868,0.15888,0.12836,0.08033,0.02398,2.73319,2.6498,1.57554,0.0010134,0.0010134,0.0010134
15,52.1416,2.54627,2.48116,1.49995,0.10065,0.20215,0.05711,0.01653,2.68972,2.62624,1.55825,0.000928088,0.000928088,0.000928088
16,55.4383,2.54679,2.45273,1.47725,0.13819,0.1604,0.08533,0.02625,2.66037,2.60617,1.54573,0.000841835,0.000841835,0.000841835
17,58.7285,2.50483,2.42782,1.48761,0.17041,0.17843,0.0964,0.02889,2.66398,2.60605,1.56478,0.000755582,0.000755582,0.000755582
18,62.0336,2.52256,2.40309,1.48849,0.17717,0.1705,0.10017,0.03215,2.66354,2.5531,1.55207,0.000670274,0.000670274,0.000670274
19,65.3334,2.50939,2.40007,1.49556,0.13472,0.2022,0.07336,0.02276,2.66013,2.59253,1.52088,0.000586845,0.000586845,0.000586845
20,68.6028,2.47158,2.32032,1.44204,0.17521,0.15907,0.0869,0.02566,2.67578,2.46858,1.55131,0.00050621,0.00050621,0.00050621
21,73.2977,2.43249,2.2873,1.47047,0.15959,0.19043,0.08568,0.02592,2.63971,2.48658,1.55037,0.000429253,0.000429253,0.000429253
22,76.5148,2.4101,2.29359,1.45369,0.17874,0.18466,0.09522,0.02837,2.64811,2.43581,1.55722,0.000356815,0.000356815,0.000356815
23,79.7107,2.39882,2.21427,1.43431,0.16811,0.19458,0.10024,0.03091,2.65576,2.43147,1.53509,0.000289692,0.000289692,0.000289692
24,82.8717,2.35318,2.17348,1.42698,0.19046,0.19543,0.10516,0.03093,2.67254,2.42373,1.5509,0.000228618,0.000228618,0.000228618
25,86.0856,2.35841,2.15633,1.42462,0.15543,0.19902,0.10155,0.03013,2.66006,2.44261,1.54659,0.000174262,0.000174262,0.000174262
26,89.2839,2.35566,2.13556,1.41984,0.16654,0.19609,0.10487,0.0316,2.65011,2.42772,1.54204,0.000127221,0.000127221,0.000127221
27,92.4527,2.3322,2.10602,1.41078,0.16242,0.19711,0.09749,0.03089,2.63784,2.45453,1.53291,8.80093e-05,8.80093e-05,8.80093e-05
28,95.6678,2.30144,2.08563,1.41459,0.17075,0.20052,0.0998,0.03079,2.63747,2.44553,1.5381,5.70564e-05,5.70564e-05,5.70564e-05
29,98.8945,2.31667,2.05688,1.38928,0.17755,0.20006,0.1049,0.03229,2.65482,2.44331,1.54078,3.47018e-05,3.47018e-05,3.47018e-05
30,102.103,2.30321,2.05233,1.39569,0.17281,0.21446,0.10249,0.03224,2.65064,2.45137,1.53824,2.11903e-05,2.11903e-05,2.11903e-05
