epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.78682,3.34483,8.26964,2.09141,0.01147,0.33462,0.00536,0.00118,3.14802,5.09865,1.97177,0.000551036,0.000551036,0.000551036
2,18.6184,3.12226,3.56997,1.96954,0.03111,0.05461,0.01008,0.00228,3.2489,3.79463,1.96856,0.0011037,0.0011037,0.0011037
3,27.3884,3.12391,3.28026,1.97238,0.01719,0.32802,0.0088,0.00214,3.10833,4.00767,2.016,0.00164439,0.00164439,0.00164439
4,35.9874,3.01691,3.07222,1.89203,0.07251,0.04128,0.01997,0.00517,3.09771,3.02369,1.93627,0.00162661,0.00162661,0.00162661
5,44.63,3.02753,3.0391,1.83601,0.0605,0.05912,0.02318,0.00759,2.96371,2.9713,1.8624,0.00159566,0.00159566,0.00159566
6,53.5014,2.92085,2.96532,1.85881,0.07791,0.08926,0.03002,0.00972,2.93714,3.04807,1.90784,0.00155645,0.00155645,0.00155645
7,62.1404,2.85755,2.94287,1.81961,0.08669,0.13562,0.03645,0.00889,2.88357,2.90703,1.7749,0.00150941,0.00150941,0.00150941
8,70.7702,2.85085,2.87219,1.73974,0.09386,0.16713,0.0375,0.00986,2.82709,2.94525,1.75871,0.00145505,0.00145505,0.00145505
9,79.367,2.72403,2.7924,1.73942,0.10217,0.12863,0.04069,0.01145,2.78618,2.88453,1.78679,0.00139398,0.00139398,0.00139398
10,88.0333,2.70584,2.71368,1.72431,0.11558,0.10606,0.05309,0.01733,2.75928,2.66778,1.73148,0.00132685,0.00132685,0.00132685
11,96.6772,2.71919,2.77598,1.74745,0.1152,0.12531,0.04799,0.01384,2.79731,2.69424,1.7462,0.00125442,0.00125442,0.00125442
12,105.286,2.67772,2.62144,1.72177,0.14813,0.12173,0.06421,0.01911,2.69741,2.68256,1.7099,0.00117746,0.00117746,0.00117746
13,114.108,2.68145,2.66575,1.7071,0.11863,0.09598,0.05593,0.01861,2.73591,2.59644,1.7503,0.00109683,0.00109683,0.00109683
14,122.731,2.61486,2.60139,1.67864,0.12623,0.15226,0.06936,0.02146,2.77388,2.50171,1.76475,0.0010134,0.0010134,0.0010134
15,131.325,2.60164,2.54345,1.69565,0.1251,0.15557,0.06799,0.0236,2.68214,2.55863,1.71685,0.000928088,0.000928088,0.000928088
16,139.963,2.6298,2.53633,1.65386,0.1444,0.17803,0.08244,0.02413,2.71631,2.50701,1.70844,0.000841835,0.000841835,0.000841835
17,148.57,2.60264,2.48937,1.62165,0.14819,0.15947,0.08079,0.02393,2.70278,2.54715,1.68559,0.000755582,0.000755582,0.000755582
18,157.193,2.57194,2.49306,1.63026,0.15106,0.18937,0.08351,0.02545,2.6657,2.48562,1.64635,0.000670274,0.000670274,0.000670274
19,165.764,2.53637,2.44647,1.62868,0.15452,0.1431,0.08595,0.02626,2.66335,2.4938,1.64815,0.000586845,0.000586845,0.000586845
20,174.558,2.5301,2.42357,1.59456,0.17687,0.16707,0.08974,0.02951,2.62737,2.44996,1.66329,0.00050621,0.00050621,0.00050621
21,184.322,2.48439,2.37571,1.62417,0.13394,0.16908,0.0896,0.03016,2.65309,2.4551,1.68831,0.000429253,0.000429253,0.000429253
22,193.025,2.47175,2.39108,1.62988,0.15126,0.17634,0.09164,0.03249,2.64762,2.42729,1.66629,0.000356815,0.000356815,0.000356815
23,201.704,2.44245,2.34243,1.60109,0.1509,0.17465,0.10238,0.03475,2.6217,2.39365,1.64773,0.000289692,0.000289692,0.000289692
24,210.296,2.41462,2.30141,1.58708,0.15357,0.17927,0.10332,0.03751,2.63545,2.40785,1.67434,0.000228618,0.000228618,0.000228618
25,219.013,2.39861,2.24844,1.56845,0.18271,0.18021,0.10789,0.03855,2.58417,2.38461,1.62628,0.000174262,0.000174262,0.000174262
26,227.721,2.3875,2.26411,1.55111,0.17063,0.16502,0.10996,0.03957,2.59437,2.40507,1.61897,0.000127221,0.000127221,0.000127221
27,236.603,2.38402,2.25847,1.57724,0.17157,0.18098,0.11481,0.04244,2.59498,2.35384,1.64015,8.80093e-05,8.80093e-05,8.80093e-05
28,245.275,2.34503,2.22975,1.57059,0.17937,0.18115,0.11528,0.04159,2.58167,2.3764,1.63305,5.70564e-05,5.70564e-05,5.70564e-05
29,253.984,2.35738,2.19249,1.54704,0.17161,0.18702,0.12021,0.0439,2.57624,2.38279,1.61972,3.47018e-05,3.47018e-05,3.47018e-05
30,262.651,2.34964,2.19698,1.54499,0.17561,0.17758,0.11798,0.04474,2.56982,2.36945,1.63083,2.11903e-05,2.11903e-05,2.11903e-05
