epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,62.4064,1.28736,0.5814,1,0.9891,0.0003125,0.0003125,0.0003125
2,99.9525,0.99064,0.63372,1,0.92074,0.000623475,0.000623475,0.000623475
3,140.32,0.92258,0.40116,1,1.37598,0.00092015,0.00092015,0.00092015
4,181.736,0.8548,0.43023,1,1.19857,0.0011675,0.0011675,0.0011675
5,222.844,0.89501,0.65116,1,0.83577,0.00114,0.00114,0.00114
6,262.631,0.83336,0.59884,1,1.03174,0.0011125,0.0011125,0.0011125
7,308.485,0.84695,0.61628,1,0.94857,0.001085,0.001085,0.001085
8,348.47,0.78727,0.62791,1,1.14941,0.0010575,0.0010575,0.0010575
9,389.633,0.72182,0.60465,1,1.21647,0.00103,0.00103,0.00103
10,430.048,0.67527,0.68605,1,0.67904,0.0010025,0.0010025,0.0010025
11,470.576,0.69148,0.73256,1,0.73633,0.000975,0.000975,0.000975
12,511.802,0.60979,0.68023,1,0.82861,0.0009475,0.0009475,0.0009475
13,553.042,0.60318,0.76163,1,0.59749,0.00092,0.00092,0.00092
14,593.48,0.55059,0.75,1,0.63298,0.0008925,0.0008925,0.0008925
15,634.361,0.5352,0.75,1,0.69824,0.000865,0.000865,0.000865
16,675.188,0.54081,0.77907,1,0.54256,0.0008375,0.0008375,0.0008375
17,714.914,0.46828,0.69767,1,0.83415,0.00081,0.00081,0.00081
18,755.706,0.46665,0.81977,1,0.50456,0.0007825,0.0007825,0.0007825
19,797.235,0.50199,0.74419,1,0.60726,0.000755,0.000755,0.000755
20,838.627,0.4268,0.76163,1,0.58968,0.0007275,0.0007275,0.0007275
21,877.982,0.40443,0.82558,1,0.49674,0.0007,0.0007,0.0007
22,919.673,0.4384,0.7907,1,0.58561,0.0006725,0.0006725,0.0006725
23,960.451,0.38836,0.75581,1,0.65942,0.000645,0.000645,0.000645
24,1001.51,0.45867,0.81977,1,0.47835,0.0006175,0.0006175,0.0006175
25,1041.95,0.38334,0.77326,1,0.5498,0.00059,0.00059,0.00059
26,1083.2,0.35526,0.75581,1,0.62972,0.0005625,0.0005625,0.0005625
27,1124.44,0.33828,0.82558,1,0.49609,0.000535,0.000535,0.000535
28,1164.12,0.33627,0.81395,1,0.48283,0.0005075,0.0005075,0.0005075
29,1204.72,0.30309,0.77326,1,0.54395,0.00048,0.00048,0.00048
30,1246.38,0.25726,0.78488,1,0.70475,0.0004525,0.0004525,0.0004525
31,1286.47,0.27365,0.79651,1,0.52417,0.000425,0.000425,0.000425
