family,rank,seed,model,params_m,training_time_s,val_f1_score,test_accuracy,test_macro_f1,inference_time_s,fps,latency_ms,variant_key,source
timm,0,42,convnext_tiny_in22k,27.82,152.0,0.853,0.8522,0.8416,2.34,49.2,20.34,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,1,42,mobilenet_v3_large,4.21,234.1,0.7927,0.8261,0.801,2.52,45.6,21.93,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,2,42,efficientnet_b0,4.01,235.3,0.832,0.7913,0.7701,2.47,46.5,21.52,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,3,42,repvgg_a0,7.83,129.3,0.7849,0.7739,0.7688,2.39,48.1,20.81,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,4,42,efficientnet_v2_s,20.18,195.4,0.7827,0.7739,0.7678,3.57,32.2,31.06,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,5,42,shufflenet_v2_x1_0,1.26,226.0,0.7617,0.7478,0.7185,2.51,45.7,21.86,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,6,42,fastvit_t8,3.26,110.1,0.7829,0.7391,0.7103,2.56,44.8,22.3,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,7,42,edgenext_xx_small,1.16,181.3,0.7146,0.7217,0.7063,2.39,48.2,20.75,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,8,42,mobileone_s0,4.27,136.6,0.7334,0.713,0.6969,4.11,28.0,35.76,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,9,42,mobilevit_s,4.94,150.7,0.8078,0.7391,0.6918,2.47,46.5,21.51,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,10,42,mobilenetv4_conv_small,2.5,178.1,0.7565,0.6783,0.6626,2.38,48.2,20.74,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,11,42,mnasnet_100,3.11,180.4,0.7079,0.6696,0.6248,2.39,48.2,20.76,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,12,42,ghostnetv2_100,4.88,92.3,0.724,0.6174,0.6101,3.3,34.8,28.71,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,13,42,rexnet_100,3.52,129.2,0.6399,0.6174,0.5855,2.54,45.3,22.06,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,14,42,squeezenet1_1,0.72,135.5,0.6886,0.5913,0.5504,2.26,50.8,19.67,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,15,42,mobilenetv4_hybrid_medium,9.8,147.8,0.5943,0.6087,0.5383,3.38,34.0,29.43,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
timm,16,42,efficientvit_m1,2.79,148.9,0.681,0.5739,0.5283,3.17,36.3,27.55,baseline_ce_previous_seed42_run,user_provided_previous_seed42_timm_baseline_table_screenshot
