path,source_path,rel_path,filename,class_dir,class_folder,display_class_name,class_name,project_label,label,shrimp_group_stem,shrimp_group_id,group_parse_status,normalized_stem,readable,read_error,file_size,md5,split
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-10-img-1_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-10-img-1_nobg.png,1. Healthy/Healthy-10-img-1_nobg.png,Healthy-10-img-1_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-10,1. Healthy::Healthy-10,parsed,Healthy-10-img-1,True,,619357,5cdf326fea331dcf910db9ce07efa942,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-10-img-2_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-10-img-2_nobg.png,1. Healthy/Healthy-10-img-2_nobg.png,Healthy-10-img-2_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-10,1. Healthy::Healthy-10,parsed,Healthy-10-img-2,True,,609954,0ac2e41cb84b4f1cc1ad4202ab38a09a,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-10-img-3_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-10-img-3_nobg.png,1. Healthy/Healthy-10-img-3_nobg.png,Healthy-10-img-3_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-10,1. Healthy::Healthy-10,parsed,Healthy-10-img-3,True,,775850,d3982fd938fa79c3bff31d4e2177e3b5,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-111-img-1_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-111-img-1_nobg.png,1. Healthy/Healthy-111-img-1_nobg.png,Healthy-111-img-1_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-111,1. Healthy::Healthy-111,parsed,Healthy-111-img-1,True,,1137661,1b89191ac9b49ae39884cdd209a66547,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-111-img-2_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-111-img-2_nobg.png,1. Healthy/Healthy-111-img-2_nobg.png,Healthy-111-img-2_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-111,1. Healthy::Healthy-111,parsed,Healthy-111-img-2,True,,1201824,fbc21cef4f53ee8595541a442ceff0e3,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-111-img-3_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-111-img-3_nobg.png,1. Healthy/Healthy-111-img-3_nobg.png,Healthy-111-img-3_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-111,1. Healthy::Healthy-111,parsed,Healthy-111-img-3,True,,1210408,df55b47b2d55c104a5450080c0378e0f,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-128-img-1_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-128-img-1_nobg.png,1. Healthy/Healthy-128-img-1_nobg.png,Healthy-128-img-1_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-128,1. Healthy::Healthy-128,parsed,Healthy-128-img-1,True,,1477778,a11d8b3b265f8b4406517185f97d7877,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-128-img-2_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-128-img-2_nobg.png,1. Healthy/Healthy-128-img-2_nobg.png,Healthy-128-img-2_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-128,1. Healthy::Healthy-128,parsed,Healthy-128-img-2,True,,1405960,b589ca4cff009fda353147ea0648749f,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-128-img-3_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-128-img-3_nobg.png,1. Healthy/Healthy-128-img-3_nobg.png,Healthy-128-img-3_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-128,1. Healthy::Healthy-128,parsed,Healthy-128-img-3,True,,1248936,dee0b157dc137e0e901c13db766a7e72,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-132-img-1_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-132-img-1_nobg.png,1. Healthy/Healthy-132-img-1_nobg.png,Healthy-132-img-1_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-132,1. Healthy::Healthy-132,parsed,Healthy-132-img-1,True,,1312550,6557440a3a952cfc90bcc8cb670f43f7,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-132-img-2_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-132-img-2_nobg.png,1. Healthy/Healthy-132-img-2_nobg.png,Healthy-132-img-2_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-132,1. Healthy::Healthy-132,parsed,Healthy-132-img-2,True,,1415527,736bf4cea48b0f205869869394f8ccae,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-132-img-3_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-132-img-3_nobg.png,1. Healthy/Healthy-132-img-3_nobg.png,Healthy-132-img-3_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-132,1. Healthy::Healthy-132,parsed,Healthy-132-img-3,True,,1514108,5821a572ba784b5b95fc3d65e75ebb1c,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-136-img-1_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-136-img-1_nobg.png,1. Healthy/Healthy-136-img-1_nobg.png,Healthy-136-img-1_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-136,1. Healthy::Healthy-136,parsed,Healthy-136-img-1,True,,1291306,21c6919df8171c28e9e92e7e3c0550d0,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-136-img-2_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-136-img-2_nobg.png,1. Healthy/Healthy-136-img-2_nobg.png,Healthy-136-img-2_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-136,1. Healthy::Healthy-136,parsed,Healthy-136-img-2,True,,1210596,786dfc72a4354730a1323cf7f40c0861,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-136-img-3_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-136-img-3_nobg.png,1. Healthy/Healthy-136-img-3_nobg.png,Healthy-136-img-3_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-136,1. Healthy::Healthy-136,parsed,Healthy-136-img-3,True,,1396762,03baa250665ead4e3500997b4b4a52e8,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-140-img-1_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-140-img-1_nobg.png,1. Healthy/Healthy-140-img-1_nobg.png,Healthy-140-img-1_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-140,1. Healthy::Healthy-140,parsed,Healthy-140-img-1,True,,1366954,7f4457236da4448b586484f736f7773a,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-140-img-2_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-140-img-2_nobg.png,1. Healthy/Healthy-140-img-2_nobg.png,Healthy-140-img-2_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-140,1. Healthy::Healthy-140,parsed,Healthy-140-img-2,True,,1233870,049b0b74bfa454230ba16df4b540934f,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-140-img-3_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-140-img-3_nobg.png,1. Healthy/Healthy-140-img-3_nobg.png,Healthy-140-img-3_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-140,1. Healthy::Healthy-140,parsed,Healthy-140-img-3,True,,1465175,eae2228de588cc846315006549d98d1b,test
/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-2-img-1_nobg.png,/home/drnguyenvinh/notebooks/processed-images/processed_images/1. Healthy/Healthy-2-img-1_nobg.png,1. Healthy/Healthy-2-img-1_nobg.png,Healthy-2-img-1_nobg.png,1. Healthy,1. Healthy,Healthy,Healthy,0,0,Healthy-2,1. Healthy::Healthy-2,parsed,Healthy-2-img-1,True,,979259,3deb7a38024d93f04bf998492ce86826,test
