family,model,seed,params_m,model_size_mb,training_time_s,val_f1_score,test_accuracy,test_macro_f1,inference_time_s,fps,latency_ms,source,note
yolo,yolo26m-cls,42,10.35,19.92,,,0.8902,0.8902,,,,shrimp_results_summary_final_v3.zip::csv/Stage1_YOLO.csv,YOLO params/size and performance from Stage1_YOLO; latency/FPS not included in source table.
yolo,yolo26x-cls,42,28.34,54.37,,,0.8902,0.8813,,,,shrimp_results_summary_final_v3.zip::csv/Stage1_YOLO.csv,YOLO params/size and performance from Stage1_YOLO; latency/FPS not included in source table.
yolo,yolov8m-cls,42,15.77,30.22,,,0.8786,0.8718,,,,shrimp_results_summary_final_v3.zip::csv/Stage1_YOLO.csv,YOLO params/size and performance from Stage1_YOLO; latency/FPS not included in source table.
yolo,yolov8s-cls,42,5.08,9.79,,,0.8786,0.871,,,,shrimp_results_summary_final_v3.zip::csv/Stage1_YOLO.csv,YOLO params/size and performance from Stage1_YOLO; latency/FPS not included in source table.
yolo,yolo11m-cls,42,10.35,19.92,,,0.8728,0.8675,,,,shrimp_results_summary_final_v3.zip::csv/Stage1_YOLO.csv,YOLO params/size and performance from Stage1_YOLO; latency/FPS not included in source table.
yolo,yolov8x-cls,42,56.13,107.28,,,0.8671,0.8622,,,,shrimp_results_summary_final_v3.zip::csv/Stage1_YOLO.csv,YOLO params/size and performance from Stage1_YOLO; latency/FPS not included in source table.
yolo,yolov8l-cls,42,36.19,69.23,,,0.8671,0.8586,,,,shrimp_results_summary_final_v3.zip::csv/Stage1_YOLO.csv,YOLO params/size and performance from Stage1_YOLO; latency/FPS not included in source table.
yolo,yolo26l-cls,42,12.82,24.74,,,0.8613,0.8576,,,,shrimp_results_summary_final_v3.zip::csv/Stage1_YOLO.csv,YOLO params/size and performance from Stage1_YOLO; latency/FPS not included in source table.
yolo,yolo26n-cls,42,1.53,3.05,,,0.8555,0.842,,,,shrimp_results_summary_final_v3.zip::csv/Stage1_YOLO.csv,YOLO params/size and performance from Stage1_YOLO; latency/FPS not included in source table.
yolo,yolo11x-cls,42,28.34,54.37,,,0.8497,0.8374,,,,shrimp_results_summary_final_v3.zip::csv/Stage1_YOLO.csv,YOLO params/size and performance from Stage1_YOLO; latency/FPS not included in source table.
yolo,yolo11s-cls,42,5.44,10.52,,,0.8382,0.8317,,,,shrimp_results_summary_final_v3.zip::csv/Stage1_YOLO.csv,YOLO params/size and performance from Stage1_YOLO; latency/FPS not included in source table.
yolo,yolo11n-cls,42,1.53,3.05,,,0.8382,0.8283,,,,shrimp_results_summary_final_v3.zip::csv/Stage1_YOLO.csv,YOLO params/size and performance from Stage1_YOLO; latency/FPS not included in source table.
yolo,yolov8n-cls,42,1.44,2.83,,,0.8439,0.8271,,,,shrimp_results_summary_final_v3.zip::csv/Stage1_YOLO.csv,YOLO params/size and performance from Stage1_YOLO; latency/FPS not included in source table.
yolo,yolo26s-cls,42,5.44,10.52,,,0.8324,0.8215,,,,shrimp_results_summary_final_v3.zip::csv/Stage1_YOLO.csv,YOLO params/size and performance from Stage1_YOLO; latency/FPS not included in source table.
yolo,yolo11l-cls,42,12.82,24.74,,,0.8208,0.8123,,,,shrimp_results_summary_final_v3.zip::csv/Stage1_YOLO.csv,YOLO params/size and performance from Stage1_YOLO; latency/FPS not included in source table.
timm,convnext_tiny_in22k,42,27.82,,152.0,0.853,0.8522,0.8416,2.34,49.2,20.34,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,mobilenet_v3_large,42,4.21,,234.1,0.7927,0.8261,0.801,2.52,45.6,21.93,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,efficientnet_b0,42,4.01,,235.3,0.832,0.7913,0.7701,2.47,46.5,21.52,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,repvgg_a0,42,7.83,,129.3,0.7849,0.7739,0.7688,2.39,48.1,20.81,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,efficientnet_v2_s,42,20.18,,195.4,0.7827,0.7739,0.7678,3.57,32.2,31.06,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,shufflenet_v2_x1_0,42,1.26,,226.0,0.7617,0.7478,0.7185,2.51,45.7,21.86,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,fastvit_t8,42,3.26,,110.1,0.7829,0.7391,0.7103,2.56,44.8,22.3,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,edgenext_xx_small,42,1.16,,181.3,0.7146,0.7217,0.7063,2.39,48.2,20.75,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,mobileone_s0,42,4.27,,136.6,0.7334,0.713,0.6969,4.11,28.0,35.76,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,mobilevit_s,42,4.94,,150.7,0.8078,0.7391,0.6918,2.47,46.5,21.51,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,mobilenetv4_conv_small,42,2.5,,178.1,0.7565,0.6783,0.6626,2.38,48.2,20.74,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,mnasnet_100,42,3.11,,180.4,0.7079,0.6696,0.6248,2.39,48.2,20.76,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,ghostnetv2_100,42,4.88,,92.3,0.724,0.6174,0.6101,3.3,34.8,28.71,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,rexnet_100,42,3.52,,129.2,0.6399,0.6174,0.5855,2.54,45.3,22.06,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,squeezenet1_1,42,0.72,,135.5,0.6886,0.5913,0.5504,2.26,50.8,19.67,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,mobilenetv4_hybrid_medium,42,9.8,,147.8,0.5943,0.6087,0.5383,3.38,34.0,29.43,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
timm,efficientvit_m1,42,2.79,,148.9,0.681,0.5739,0.5283,3.17,36.3,27.55,user_provided_previous_seed42_timm_baseline_table_screenshot,TIMM baseline efficiency/performance transcribed from previous seed42 table supplied by user.
