split,kind,path,size_bytes,sha256
train,image,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-1-img-1.jpg,884749,2aa1952b5e417b0f84aeac664f6a3a5d82290b61b7d53e40db007bb1ee58de91
train,label,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-1-img-1.txt,38,a1e6bd3e916f6e127c9a80dc5a22d69e8bc37a9ad13a21661fa6057d519d3a31
train,image,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-1-img-3.jpg,923335,b0cafc9871fc4a4b49e12c9884389566139f0aea4ea000a8e4a9b328f030e01d
train,label,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-1-img-3.txt,38,632f4b7b3a4f61a71e6f5975b4912d1d08c75aa954f4e2c44002d177d30ec17f
train,image,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-10-img-1.jpg,878090,0c7555357451adcc4caa368fbb5f7f2c4369dd24d1ba0c4b93020984c3bd9ac2
train,label,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-10-img-1.txt,38,fd68f6758dcc74b89829d844bae0fd004417146ac20d1a845a78bfa6edd1f231
train,image,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-10-img-2.jpg,957966,7b89b030302d3a2b5a4492b1904d70c2007cc112e49d89700374b85e82b2c6e8
train,label,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-10-img-2.txt,38,35ebd1d78e412727df85dbcc07abf3e2613e10f7ad8882711bc8673a02b37868
train,image,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-10-img-3.jpg,930020,5c9771a7ac34c17337b39ce77da72016c5fd49976fb6bdc711a844b305a49925
train,label,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-10-img-3.txt,38,6177be826a4d686bfdeb07e2a6500b3fe03f72cf8cdb74a0a53386e545400b43
train,image,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-12-img-1.jpg,713749,34f489624b140588c554615fb345a351d35a867dfbf3854dd952ecfb08ffff22
train,label,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-12-img-1.txt,76,f23efe549bfed7e6bb2ebf2d54cd4a67f79a2851cb5c118e214f2e91e2b8eb9c
train,image,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-12-img-2.jpg,674482,17c910b765bba579a5fac92a3980d6d79e4d9ba2ae3c89430ad758371e0b2df7
train,label,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-12-img-2.txt,38,b06406a45d289ac261b41370c1d0ab46a76691fada28f9416205bb555a9921de
train,image,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-13-img-1.jpg,860838,4acde02f985196cbcbf2f5cfb7061dce68eedac15ad3f5eda235bc9b38a2f5eb
train,label,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-13-img-1.txt,38,e7b4369fc28b4ff3e9cffe11e3318a716b0172d4f72fd48ecc8667754e93c2e5
train,image,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-13-img-2.jpg,629259,5aff4c572d78de74a468ae0cdc3c9e4da1e87a0815527b843b565762f125c25b
train,label,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-13-img-2.txt,76,76721d819db8bd51c9e584c5a6a89712f5241b61c9a403f6ab0cbf9cc786c130
train,image,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-13-img-3.jpg,594988,6dd6aca9d1ed2b80f8e651b03bb255172139654953c4126e40fbec27006b01cf
train,label,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-13-img-3.txt,38,e290cf714c97bc8074b8e49983d4aea525eb15400af1598465af7dcb2bd6518a
train,image,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-14-img-1.jpg,301926,82c835217d9d8bbba1bfd2a42085b41004ade1394f9294e57875e73bec2e4e0c
