epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,51.568,3.65259,7.55157,6.45944,4.06075,0,6e-05,0.01524,0,0,0,0,0,0,4.08691,5.11095,5.04073,4.27231,0,0.000547949,0.000547949,0.000547949
2,72.9248,3.39049,4.81591,4.94653,3.3868,0,0.00156,0.45717,0.0089,0.00193,0.00135,0.3647,0.00463,0.00107,3.17655,4.67317,4.08887,3.14936,0,0.00109269,0.00109269,0.00109269
3,93.8875,3.22294,4.66077,4.22869,3.08525,0,0.59088,0.02113,0.01679,0.00534,0.56059,0.01408,0.01694,0.00275,3.07644,4.94673,3.85982,3.05941,0,0.00162643,0.00162643,0.00162643
4,115.076,2.95357,4.61262,3.72178,2.86485,0,0.12163,0.05634,0.03136,0.00805,0.1157,0.0493,0.0296,0.00677,3.23953,4.83677,3.80401,3.19891,0,0.00161749,0.00161749,0.00161749
5,136.24,2.86824,4.55747,3.40168,2.75448,0,0.07802,0.1009,0.04852,0.01167,0.08571,0.06266,0.02868,0.00758,2.79494,4.44291,2.93298,2.72113,0,0.00160099,0.00160099,0.00160099
6,157.327,2.78795,4.48314,3.16238,2.68599,0,0.18649,0.08566,0.04057,0.01116,0.18649,0.08566,0.03721,0.00852,2.88987,4.50234,3.16963,2.79996,0,0.00158448,0.00158448,0.00158448
7,178.333,2.68242,4.42897,3.04085,2.6345,0,0.24333,0.12907,0.07089,0.0222,0.42787,0.10794,0.05738,0.01961,2.73841,4.30703,2.88594,2.66598,0,0.00156798,0.00156798,0.00156798
8,199.555,2.65234,4.32742,2.90462,2.60189,0,0.17845,0.12087,0.06544,0.01753,0.22166,0.08566,0.05587,0.01519,2.83799,4.18654,3.40694,2.76553,0,0.00155148,0.00155148,0.00155148
9,220.643,2.62996,4.28724,2.86128,2.60716,0,0.08829,0.06338,0.07968,0.02293,0.07848,0.05634,0.05235,0.01302,2.70249,4.18652,3.00899,2.62241,0,0.00153497,0.00153497,0.00153497
10,241.9,2.60011,4.20466,2.74598,2.58906,0,0.28786,0.21704,0.13687,0.04664,0.28126,0.19591,0.11087,0.03741,2.67652,4.12233,2.77124,2.59793,0,0.00151847,0.00151847,0.00151847
11,263.063,2.56317,4.19346,2.70938,2.5606,0,0.29516,0.2698,0.15526,0.05076,0.24155,0.19851,0.10865,0.03125,2.63332,4.14129,2.74833,2.62038,0,0.00150197,0.00150197,0.00150197
12,284.108,2.55601,4.1641,2.63468,2.5319,0,0.25662,0.31309,0.1623,0.06055,0.21516,0.21065,0.12647,0.04471,2.61595,4.03276,2.71028,2.54631,0,0.00148546,0.00148546,0.00148546
13,305.561,2.49276,4.10037,2.5409,2.47911,0,0.23211,0.22743,0.15842,0.05667,0.19361,0.16417,0.11633,0.04394,2.57493,4.07325,2.50329,2.5595,0,0.00146896,0.00146896,0.00146896
