epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.281,3.67406,8.60031,6.67973,4.15108,0,6e-05,0.01524,0,0,2e-05,0.0082,0,0,4.06881,5.0526,5.04004,4.25032,0,0.000547949,0.000547949,0.000547949
2,47.5852,3.46265,4.86285,5.25514,3.37129,0,0.00155,0.49827,0.0052,0.00106,0.00127,0.3894,0.00829,0.00181,3.15228,4.69658,4.19559,3.04872,0,0.00109269,0.00109269,0.00109269
3,69.2192,3.27192,4.81429,4.4724,3.07911,0,0.00073,0.14546,0.00081,0.00014,0.00041,0.07977,0.00031,6e-05,3.39289,5.05957,4.13405,3.61705,0,0.00162643,0.00162643,0.00162643
4,90.4124,3.10493,4.72369,3.93883,2.9889,0,0.0522,0.03521,0.01707,0.00397,0.05712,0.04225,0.01325,0.00363,3.1424,4.69285,3.9546,3.20905,0,0.00161749,0.00161749,0.00161749
5,112.16,2.95513,4.65904,3.70201,2.89832,0,0.11558,0.03315,0.02737,0.00612,0.20389,0.03637,0.03295,0.00958,2.86741,4.54029,3.30591,2.85652,0,0.00160099,0.00160099,0.00160099
6,133.954,2.88663,4.57863,3.53892,2.8333,0,0.57967,0.03521,0.02833,0.00537,0.59793,0.04225,0.02314,0.00465,2.95231,4.62084,3.22768,2.84873,0,0.00158448,0.00158448,0.00158448
7,155.409,2.84708,4.58541,3.39047,2.75167,0,0.56231,0.09155,0.0461,0.01237,0.57618,0.06338,0.04198,0.01001,2.83637,4.33283,3.35351,2.69964,0,0.00156798,0.00156798,0.00156798
8,176.991,2.81538,4.48924,3.30568,2.73045,0,0.57948,0.10563,0.06453,0.01666,0.56718,0.07746,0.0515,0.01229,2.81036,4.38173,2.96019,2.69923,0,0.00155148,0.00155148,0.00155148
9,198.695,2.78208,4.46379,3.21043,2.67408,0,0.32737,0.0564,0.08194,0.02121,0.56773,0.0493,0.06082,0.01123,2.7344,4.34679,2.99309,2.73453,0,0.00153497,0.00153497,0.00153497
10,220.561,2.71177,4.47041,3.14018,2.6943,0,0.15515,0.14893,0.07971,0.02309,0.05947,0.19822,0.04655,0.01147,2.76795,4.43017,3.21393,2.7749,0,0.00151847,0.00151847,0.00151847
11,242.154,2.68604,4.44129,3.10313,2.67931,0,0.57594,0.09155,0.07902,0.02637,0.58344,0.07042,0.07127,0.01819,2.63865,4.30372,2.96872,2.64927,0,0.00150197,0.00150197,0.00150197
12,263.681,2.6514,4.41329,3.03017,2.62381,0,0.14545,0.10794,0.06801,0.01772,0.17255,0.09911,0.05333,0.0161,2.66639,4.38032,2.95265,2.67398,0,0.00148546,0.00148546,0.00148546
13,285.313,2.646,4.41175,2.97439,2.61665,0,0.06997,0.10563,0.08062,0.02354,0.06166,0.09155,0.06578,0.01466,2.69787,4.26122,2.84623,2.66836,0,0.00146896,0.00146896,0.00146896
14,307.412,2.60809,4.4393,2.88788,2.57151,0,0.16558,0.22293,0.10221,0.03596,0.14541,0.1636,0.07552,0.02327,2.54774,4.26944,2.69661,2.57279,0,0.00145246,0.00145246,0.00145246
15,329.034,2.582,4.36582,2.88213,2.56915,0,0.19807,0.15955,0.09239,0.0317,0.11878,0.13611,0.07493,0.02191,2.59066,4.1836,2.74021,2.59186,0,0.00143595,0.00143595,0.00143595
16,350.749,2.58414,4.3383,2.85049,2.59149,0,0.16026,0.25756,0.10381,0.02973,0.13044,0.17248,0.07887,0.01938,2.62622,4.30021,2.73363,2.61608,0,0.00141945,0.00141945,0.00141945
17,372.119,2.54561,4.3722,2.79263,2.50973,0,0.11188,0.0598,0.06747,0.02677,0.10944,0.0598,0.05587,0.01836,2.54715,4.35592,2.79836,2.58306,0,0.00140295,0.00140295,0.00140295
18,393.492,2.56177,4.33809,2.79095,2.53197,0,0.17526,0.31745,0.1331,0.04965,0.15123,0.278,0.11158,0.0365,2.54144,4.1169,2.70728,2.51649,0,0.00138644,0.00138644,0.00138644
19,414.975,2.5322,4.27352,2.74206,2.50818,0,0.14004,0.16301,0.11404,0.03841,0.13701,0.17005,0.09223,0.02973,2.47276,4.12404,2.65649,2.47589,0,0.00136994,0.00136994,0.00136994
20,436.417,2.55432,4.26845,2.70608,2.50885,0,0.20288,0.27684,0.17055,0.05679,0.19164,0.26864,0.15839,0.04368,2.43356,4.21108,2.47871,2.50022,0,0.00135344,0.00135344,0.00135344
21,457.839,2.52625,4.21496,2.65881,2.48794,0,0.30654,0.21808,0.16326,0.0539,0.24977,0.18529,0.12618,0.03676,2.49683,4.07633,2.51586,2.46446,0,0.00133693,0.00133693,0.00133693
22,479.289,2.47723,4.1925,2.66102,2.48341,0,0.21519,0.30847,0.15476,0.04935,0.18857,0.28388,0.13164,0.03802,2.50825,3.98284,2.53379,2.5304,0,0.00132043,0.00132043,0.00132043
23,501.105,2.50152,4.20549,2.6274,2.47969,0,0.19456,0.24405,0.14663,0.04497,0.20156,0.23701,0.11075,0.03126,2.47749,4.04029,3.66965,2.4899,0,0.00130393,0.00130393,0.00130393
24,523.066,2.46494,4.15214,2.64037,2.44183,0,0.29407,0.19438,0.18606,0.07172,0.26564,0.13727,0.13084,0.04334,2.48286,4.11246,2.49786,2.46372,0,0.00128742,0.00128742,0.00128742
25,544.852,2.4871,4.12563,2.61461,2.46094,0,0.22229,0.31535,0.18013,0.06502,0.26032,0.29208,0.14994,0.04576,2.39187,4.0258,2.47015,2.43183,0,0.00127092,0.00127092,0.00127092
26,566.642,2.4765,4.1229,2.57093,2.4488,0,0.28288,0.278,0.22433,0.07265,0.25363,0.21606,0.15425,0.04551,2.43979,4.05078,2.32536,2.43398,0,0.00125442,0.00125442,0.00125442
27,588.33,2.44248,4.12582,2.5354,2.4509,0,0.37449,0.27211,0.25032,0.0911,0.3525,0.24867,0.21773,0.05836,2.3647,4.00005,2.40254,2.41429,0,0.00123791,0.00123791,0.00123791
28,609.96,2.4092,4.08182,2.52227,2.41368,0,0.25182,0.26692,0.1877,0.06185,0.19315,0.23614,0.13383,0.0405,2.40405,3.96059,2.28244,2.40618,0,0.00122141,0.00122141,0.00122141
29,631.464,2.40821,4.03705,2.47575,2.39424,0,0.25248,0.25098,0.18348,0.0663,0.2008,0.20866,0.1402,0.04444,2.32384,3.96414,2.38551,2.34636,0,0.00120491,0.00120491,0.00120491
30,653.22,2.39968,4.02921,2.47147,2.38663,0,0.19997,0.37312,0.23424,0.08224,0.22841,0.1936,0.1783,0.05571,2.38698,4.00917,2.56238,2.43443,0,0.0011884,0.0011884,0.0011884
31,674.565,2.3932,4.04656,2.45394,2.4059,0,0.14248,0.3438,0.14476,0.05034,0.1436,0.32152,0.10226,0.02973,2.40216,3.9468,2.43195,2.39536,0,0.0011719,0.0011719,0.0011719
32,696.271,2.35165,3.97222,2.40941,2.36702,0,0.31798,0.37053,0.24555,0.09386,0.29709,0.35218,0.21122,0.06209,2.29881,3.84282,2.35004,2.36435,0,0.0011554,0.0011554,0.0011554
33,717.642,2.33802,3.95958,2.3647,2.34857,0,0.39867,0.30743,0.23536,0.08314,0.41318,0.27927,0.19205,0.05678,2.33472,3.85008,2.28374,2.36565,0,0.00113889,0.00113889,0.00113889
34,739.166,2.36593,3.95165,2.37457,2.37602,0,0.40876,0.23586,0.23055,0.08291,0.39014,0.21473,0.17953,0.06266,2.38967,3.87855,2.38526,2.36844,0,0.00112239,0.00112239,0.00112239
35,760.54,2.34171,3.97935,2.3869,2.36735,0,0.34062,0.40109,0.27723,0.10098,0.27996,0.28261,0.19688,0.06422,2.31384,3.89343,2.22697,2.39191,0,0.00110589,0.00110589,0.00110589
