epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5481,3.68296,7.03622,6.53699,4.09333,0,5e-05,0.01524,0,0,0,0,0,0,4.04152,5.1585,4.64933,4.23015,0,0.000547949,0.000547949,0.000547949
2,73.5982,3.22756,4.80463,5.0037,3.45236,0,0.00123,0.28839,0.01644,0.0042,0.001,0.23574,0.0123,0.00178,3.25724,10.5307,4.00611,3.77235,0,0.00109815,0.00109815,0.00109815
3,95.1957,3.04536,4.65382,4.21459,3.18819,0,0.61821,0.0493,0.0257,0.00677,0.61821,0.0493,0.04289,0.01058,2.96259,4.71779,3.63884,3.16439,0,0.00164286,0.00164286,0.00164286
4,116.782,2.92543,4.5851,3.73828,2.96089,0,0.09289,0.07746,0.0508,0.01193,0.11086,0.05634,0.03405,0.0103,2.87939,4.53802,3.13469,2.89911,0,0.00164225,0.00164225,0.00164225
5,139.111,2.82326,4.54832,3.40654,2.86645,0,0.07121,0.09699,0.03253,0.00792,0.03888,0.0493,0.0188,0.00438,2.89375,4.54095,3.17102,3.03348,0,0.00163399,0.00163399,0.00163399
6,160.918,2.80184,4.46922,3.15941,2.83194,0,0.31558,0.03048,0.07935,0.02024,0.1519,0.01408,0.03849,0.01141,2.97748,4.4364,3.07676,3.03096,0,0.00162574,0.00162574,0.00162574
7,182.708,2.73671,4.46209,3.01978,2.79721,0,0.14836,0.23112,0.0571,0.01418,0.11445,0.18656,0.03945,0.00998,2.82232,4.42393,3.31811,2.82148,0,0.00161749,0.00161749,0.00161749
8,203.805,2.69172,4.36352,2.87334,2.76381,0,0.14516,0.20344,0.07887,0.02275,0.12781,0.17017,0.05993,0.01797,2.71412,4.27498,2.74205,2.76866,0,0.00160924,0.00160924,0.00160924
9,224.754,2.64009,4.30646,2.74026,2.74446,0,0.23228,0.07158,0.09762,0.02903,0.25925,0.07862,0.07805,0.02343,2.69686,4.2674,2.88434,2.73551,0,0.00160099,0.00160099,0.00160099
10,245.421,2.59984,4.2091,2.72609,2.72238,0,0.20854,0.09501,0.09215,0.0356,0.26057,0.09501,0.06274,0.02483,2.68812,4.4175,2.65636,2.7533,0,0.00159274,0.00159274,0.00159274
11,267.313,2.57746,4.21469,2.63587,2.68426,0,0.2337,0.23574,0.17232,0.05288,0.30766,0.18183,0.13207,0.03329,2.59677,4.12261,2.48158,2.72681,0,0.00158448,0.00158448,0.00158448
12,288.854,2.55027,4.13719,2.5771,2.6631,0,0.33526,0.20065,0.1845,0.06037,0.3302,0.1936,0.15112,0.05694,2.66493,4.03612,2.73854,2.72758,0,0.00157623,0.00157623,0.00157623
13,310.428,2.52221,4.04883,2.49741,2.63249,0,0.28493,0.27788,0.18809,0.05583,0.25207,0.20169,0.15391,0.05073,2.69029,4.00516,2.79481,2.69657,0,0.00156798,0.00156798,0.00156798
14,332.167,2.48704,4.02542,2.45012,2.60126,0,0.18182,0.31194,0.15383,0.04558,0.16751,0.23574,0.1065,0.03171,2.56198,4.04146,2.5647,2.72869,0,0.00155973,0.00155973,0.00155973
15,354.275,2.42409,4.01126,2.38047,2.58807,0,0.25179,0.25811,0.18672,0.06252,0.22481,0.23921,0.15916,0.05744,2.54144,3.91545,2.3519,2.63179,0,0.00155148,0.00155148,0.00155148
16,376.799,2.44074,3.92077,2.3813,2.5819,0,0.16606,0.32267,0.17636,0.05635,0.33119,0.15724,0.13184,0.03873,2.68047,4.03607,2.68786,2.74718,0,0.00154323,0.00154323,0.00154323
17,398.818,2.42588,3.89818,2.3384,2.54594,0,0.2708,0.30606,0.19201,0.06311,0.29917,0.24394,0.16646,0.05947,2.49211,3.919,2.55243,2.61177,0,0.00153497,0.00153497,0.00153497
18,420.707,2.40071,3.907,2.3536,2.53473,0,0.42324,0.2386,0.22083,0.07469,0.45608,0.22832,0.18106,0.05538,2.57624,3.93961,2.40259,2.66252,0,0.00152672,0.00152672,0.00152672
19,442.352,2.37597,3.90031,2.32284,2.52538,0,0.2536,0.26371,0.17352,0.05444,0.23991,0.26495,0.14299,0.04725,2.50589,4.15219,2.5557,2.61606,0,0.00151847,0.00151847,0.00151847
20,463.998,2.36,3.85674,2.26823,2.50605,0,0.34087,0.25214,0.22433,0.07704,0.33844,0.24983,0.21182,0.05698,2.51931,4.02081,2.29791,2.59972,0,0.00151022,0.00151022,0.00151022
21,485.673,2.33272,3.80729,2.20027,2.47139,0,0.26181,0.30836,0.19716,0.07071,0.2588,0.27673,0.17262,0.05782,2.44862,3.90509,2.27505,2.51831,0,0.00150197,0.00150197,0.00150197
22,507.768,2.33168,3.75225,2.18424,2.48042,0,0.37633,0.32089,0.29903,0.10102,0.42393,0.27673,0.26848,0.08127,2.53244,3.96529,2.19886,2.61348,0,0.00149372,0.00149372,0.00149372
23,529.094,2.28414,3.72709,2.12508,2.43896,0,0.32444,0.30247,0.26117,0.08479,0.27506,0.28608,0.20917,0.06489,2.56131,3.77278,2.35374,2.63969,0,0.00148546,0.00148546,0.00148546
24,549.853,2.27045,3.73516,2.1026,2.4243,0,0.36785,0.34946,0.28733,0.09296,0.33127,0.27689,0.22802,0.06653,2.46263,3.8046,2.17731,2.54341,0,0.00147721,0.00147721,0.00147721
25,571.675,2.28234,3.68401,2.10191,2.42645,0,0.31881,0.28783,0.25725,0.09133,0.33817,0.22755,0.20539,0.06431,2.56025,3.92603,2.30756,2.63276,0,0.00146896,0.00146896,0.00146896
26,594.169,2.22029,3.64444,2.03178,2.39018,0,0.39962,0.41157,0.34098,0.1302,0.4243,0.36585,0.30141,0.09449,2.45339,3.73926,2.0895,2.62646,0,0.00146071,0.00146071,0.00146071
27,616.197,2.20469,3.59533,1.98226,2.37812,0,0.4605,0.29461,0.35199,0.12706,0.50002,0.28377,0.31436,0.1052,2.47509,3.70635,2.14185,2.56581,0,0.00145246,0.00145246,0.00145246
28,638.485,2.18375,3.59555,1.98479,2.348,0,0.45457,0.4,0.36468,0.13147,0.459,0.34819,0.35354,0.10436,2.40214,3.63678,2.14477,2.5329,0,0.00144421,0.00144421,0.00144421
29,660.397,2.20568,3.52809,1.96604,2.3646,0,0.34183,0.41619,0.33782,0.11721,0.30375,0.36931,0.27239,0.08848,2.44948,3.77718,2.06552,2.56175,0,0.00143595,0.00143595,0.00143595
30,682.516,2.20694,3.52487,1.99545,2.36884,0,0.48441,0.33064,0.37272,0.13355,0.54169,0.28184,0.34611,0.10876,2.46871,3.59451,2.04514,2.54618,0,0.0014277,0.0014277,0.0014277
31,704.646,2.16205,3.49848,1.94058,2.3385,0,0.5182,0.37289,0.37452,0.13062,0.43732,0.34126,0.29211,0.08718,2.443,3.78198,2.06993,2.5231,0,0.00141945,0.00141945,0.00141945
32,727.564,2.1352,3.47485,1.89879,2.31977,0,0.35961,0.38097,0.34317,0.14335,0.35598,0.34115,0.32163,0.11531,2.33364,3.57091,2.02336,2.45752,0,0.0014112,0.0014112,0.0014112
33,750.438,2.10067,3.41625,1.85237,2.2812,0,0.39877,0.39875,0.32893,0.12265,0.46864,0.36943,0.30013,0.10364,2.37431,3.60566,2.07438,2.46641,0,0.00140295,0.00140295,0.00140295
34,772.582,2.10181,3.41357,1.84632,2.30226,0,0.47692,0.35292,0.38756,0.14491,0.47968,0.35177,0.35308,0.12642,2.37337,3.47344,2.02859,2.498,0,0.0013947,0.0013947,0.0013947
35,794.66,2.08949,3.39018,1.83625,2.29004,0,0.44624,0.39027,0.3587,0.11721,0.43837,0.3565,0.32545,0.1007,2.38012,3.62476,2.22552,2.48798,0,0.00138644,0.00138644,0.00138644
36,816.407,2.09802,3.4184,1.83911,2.28294,0,0.40514,0.45036,0.39744,0.13792,0.43633,0.3565,0.34655,0.11144,2.43417,3.589,1.99685,2.54352,0,0.00137819,0.00137819,0.00137819
37,838.465,2.08294,3.37486,1.85699,2.27175,0,0.37646,0.42027,0.33727,0.12674,0.35482,0.41808,0.30718,0.09912,2.36367,3.53354,1.96615,2.46075,0,0.00136994,0.00136994,0.00136994
38,860.502,2.04864,3.32172,1.78527,2.23829,0,0.45986,0.35209,0.35884,0.1359,0.45011,0.34159,0.33777,0.11978,2.34118,3.53438,1.9436,2.48953,0,0.00136169,0.00136169,0.00136169
39,882.496,2.01902,3.28305,1.74147,2.21618,0,0.41675,0.43951,0.34204,0.12869,0.38417,0.38635,0.29972,0.10081,2.35528,3.51003,1.90779,2.41951,0,0.00135344,0.00135344,0.00135344
40,905.459,2.02155,3.26602,1.74695,2.22531,0,0.37828,0.46664,0.3459,0.12793,0.37975,0.40453,0.30823,0.09157,2.38827,3.57298,1.97957,2.48691,0,0.00134519,0.00134519,0.00134519
41,928.135,2.02263,3.23858,1.7288,2.22249,0,0.55365,0.40695,0.38441,0.14721,0.54629,0.40387,0.34804,0.11191,2.35338,3.60152,1.99542,2.45144,0,0.00133693,0.00133693,0.00133693
42,950.083,1.98675,3.28103,1.74125,2.21124,0,0.3874,0.39287,0.35995,0.12603,0.33298,0.36943,0.30782,0.09872,2.36365,3.54787,2.0078,2.45626,0,0.00132868,0.00132868,0.00132868
43,972.639,1.98344,3.23103,1.73196,2.19681,0,0.44472,0.38576,0.33967,0.12816,0.39488,0.42015,0.32554,0.10708,2.4038,3.59438,2.07593,2.4598,0,0.00132043,0.00132043,0.00132043
44,995.279,1.98272,3.1913,1.67036,2.18467,0,0.49118,0.34011,0.37653,0.15696,0.46501,0.33619,0.32355,0.12691,2.28818,3.53214,1.9981,2.41508,0,0.00131218,0.00131218,0.00131218
45,1018.03,1.97603,3.2084,1.69115,2.18981,0,0.39021,0.46645,0.38517,0.14421,0.37274,0.43574,0.35338,0.126,2.27983,3.48116,1.97732,2.36808,0,0.00130393,0.00130393,0.00130393
46,1040.11,1.95631,3.18086,1.63659,2.15905,0,0.43468,0.46416,0.39385,0.15156,0.4217,0.40437,0.35964,0.12567,2.31092,3.53937,2.06503,2.42384,0,0.00129568,0.00129568,0.00129568
47,1061.17,1.94406,3.12918,1.63219,2.14869,0,0.42857,0.48503,0.38469,0.14014,0.39619,0.44404,0.34932,0.12335,2.43387,3.51783,1.93608,2.50585,0,0.00128742,0.00128742,0.00128742
48,1082.11,1.9444,3.14312,1.60781,2.15393,0,0.4456,0.49827,0.40268,0.14796,0.39912,0.44089,0.3521,0.12529,2.39021,3.57891,1.98412,2.47499,0,0.00127917,0.00127917,0.00127917
49,1103.31,1.9369,3.11722,1.59725,2.1414,0,0.48661,0.37775,0.42495,0.16442,0.50914,0.35458,0.39013,0.13951,2.32465,3.47661,1.88898,2.43878,0,0.00127092,0.00127092,0.00127092
50,1124.81,1.88007,3.10991,1.63143,2.11497,0,0.49411,0.41746,0.42387,0.16666,0.4612,0.42923,0.38073,0.13364,2.30595,3.48366,1.81336,2.41852,0,0.00126267,0.00126267,0.00126267
51,1145.98,1.90398,3.10312,1.60439,2.1252,0,0.43232,0.43479,0.42684,0.16452,0.47048,0.42923,0.42146,0.13686,2.28815,3.53711,1.90395,2.43998,0,0.00125442,0.00125442,0.00125442
52,1167.2,1.88126,3.04844,1.56278,2.09624,0,0.53843,0.41157,0.42648,0.15512,0.53951,0.40106,0.4034,0.13889,2.36768,3.44021,1.97685,2.46907,0,0.00124617,0.00124617,0.00124617
53,1189.09,1.87842,3.03536,1.56661,2.09376,0,0.50778,0.47137,0.45212,0.16611,0.53291,0.41041,0.41261,0.14246,2.33726,3.4995,1.85632,2.41307,0,0.00123791,0.00123791,0.00123791
54,1210.58,1.87564,3.0417,1.52483,2.08579,0,0.49409,0.4529,0.39352,0.14773,0.45982,0.44793,0.36611,0.12914,2.36832,3.51748,1.93225,2.42878,0,0.00122966,0.00122966,0.00122966
55,1232.23,1.84203,2.98925,1.51886,2.06764,0,0.40338,0.46253,0.37354,0.15184,0.45722,0.36712,0.34678,0.12092,2.37964,3.55308,2.05616,2.48353,0,0.00122141,0.00122141,0.00122141
56,1253.68,1.862,2.95267,1.51632,2.08734,0,0.51071,0.41976,0.40127,0.14766,0.48371,0.43881,0.36452,0.12195,2.38205,3.45145,1.96754,2.51579,0,0.00121316,0.00121316,0.00121316
57,1274.9,1.82832,2.9727,1.52519,2.05429,0,0.5418,0.41094,0.43909,0.1612,0.47606,0.43669,0.39385,0.13708,2.36546,3.53994,1.85591,2.44471,0,0.00120491,0.00120491,0.00120491
58,1295.89,1.82554,2.95654,1.48793,2.02663,0,0.47714,0.40695,0.41939,0.16701,0.44202,0.3894,0.36092,0.14021,2.21305,3.44541,2.0123,2.36703,0,0.00119666,0.00119666,0.00119666
59,1317.76,1.80245,2.93634,1.47726,2.04147,0,0.46059,0.47726,0.39893,0.15758,0.52751,0.42334,0.37088,0.13054,2.30535,3.42923,1.94204,2.45482,0,0.0011884,0.0011884,0.0011884
60,1339.81,1.80225,2.90503,1.45549,2.02905,0,0.50443,0.45959,0.3989,0.15288,0.49463,0.44378,0.3616,0.1368,2.2888,3.51989,1.88938,2.4034,0,0.00118015,0.00118015,0.00118015
61,1362.03,1.78837,2.88555,1.45539,2.01733,0,0.52626,0.42869,0.40714,0.1529,0.50971,0.41884,0.37614,0.13525,2.35056,3.5575,1.93616,2.39761,0,0.0011719,0.0011719,0.0011719
62,1384.91,1.77519,2.91699,1.41449,2.00926,0,0.52877,0.4888,0.43366,0.15462,0.46593,0.44782,0.40096,0.13262,2.34529,3.60845,2.00274,2.43411,0,0.00116365,0.00116365,0.00116365
63,1407.14,1.76062,2.86595,1.45227,1.98607,0,0.41933,0.45959,0.40349,0.17296,0.40756,0.44069,0.37488,0.13582,2.2752,3.52117,1.86546,2.36671,0,0.0011554,0.0011554,0.0011554
64,1429.15,1.76504,2.84033,1.42636,1.99946,0,0.55723,0.47737,0.45356,0.17366,0.48715,0.43166,0.40221,0.14432,2.32042,3.55241,2.02496,2.43963,0,0.00114715,0.00114715,0.00114715
65,1450.46,1.76872,2.86766,1.42754,2.0021,0,0.48234,0.4701,0.40918,0.16676,0.44877,0.41976,0.34901,0.1293,2.27095,3.6982,1.80273,2.38592,0,0.00113889,0.00113889,0.00113889
66,1471.51,1.75312,2.84236,1.3739,1.98075,0,0.50084,0.43731,0.43382,0.1712,0.42264,0.43616,0.3677,0.13273,2.28508,3.61381,1.86582,2.40343,0,0.00113064,0.00113064,0.00113064
67,1492.66,1.73312,2.82825,1.37526,1.96323,0,0.55268,0.51824,0.46972,0.17827,0.46266,0.43858,0.38428,0.1316,2.30991,3.65942,1.86707,2.38947,0,0.00112239,0.00112239,0.00112239
68,1513.7,1.7291,2.81647,1.38001,1.96474,0,0.47718,0.47841,0.43129,0.1777,0.44067,0.43269,0.36798,0.13504,2.33085,3.67845,1.80348,2.42455,0,0.00111414,0.00111414,0.00111414
69,1535.01,1.72437,2.80735,1.38025,1.94473,0,0.57286,0.49954,0.4605,0.18637,0.52967,0.43154,0.40528,0.15727,2.29153,3.4407,1.77729,2.36538,0,0.00110589,0.00110589,0.00110589
70,1556.25,1.71238,2.75782,1.35827,1.93369,0,0.4922,0.45728,0.41473,0.15532,0.49806,0.43974,0.39065,0.13608,2.40789,3.57545,1.90001,2.47907,0,0.00109764,0.00109764,0.00109764
71,1577.06,1.73324,2.76866,1.36854,1.96223,0,0.48717,0.46711,0.43295,0.16733,0.44568,0.48903,0.41979,0.14671,2.3683,3.55667,1.92067,2.49383,0,0.00108938,0.00108938,0.00108938
72,1597.73,1.69062,2.75613,1.31963,1.92455,0,0.56398,0.43269,0.44364,0.16991,0.57138,0.42565,0.41894,0.14238,2.34563,3.59915,1.93987,2.46513,0,0.00108113,0.00108113,0.00108113
73,1618.46,1.67759,2.71815,1.31109,1.91359,0,0.53869,0.4948,0.44378,0.17523,0.50921,0.46317,0.38857,0.13844,2.31301,3.63992,1.83626,2.44082,0,0.00107288,0.00107288,0.00107288
74,1639.08,1.66656,2.70656,1.29897,1.91977,0,0.51037,0.45498,0.43713,0.17677,0.53931,0.43897,0.41431,0.15106,2.31241,3.53985,1.87793,2.44836,0,0.00106463,0.00106463,0.00106463
75,1660.02,1.64751,2.69388,1.27445,1.89711,0,0.49964,0.38929,0.39569,0.15918,0.45748,0.35881,0.34318,0.13899,2.37259,3.53999,1.84107,2.56999,0,0.00105638,0.00105638,0.00105638
76,1680.98,1.62909,2.65133,1.27044,1.8784,0,0.53809,0.47137,0.44769,0.1802,0.54964,0.37994,0.37107,0.13794,2.28832,3.5995,1.82257,2.43713,0,0.00104813,0.00104813,0.00104813
77,1702.43,1.63405,2.66467,1.27361,1.87666,0,0.54712,0.4432,0.42233,0.15042,0.48177,0.42659,0.35459,0.12511,2.34678,3.5154,1.8615,2.46763,0,0.00103987,0.00103987,0.00103987
78,1724.11,1.63721,2.65771,1.25907,1.89079,0,0.58681,0.47195,0.44519,0.17211,0.51312,0.46385,0.36322,0.12959,2.19601,3.60815,1.77009,2.33067,0,0.00103162,0.00103162,0.00103162
79,1745.59,1.6113,2.63534,1.24593,1.86636,0,0.53285,0.5044,0.44762,0.16582,0.45796,0.47184,0.36427,0.13655,2.33078,3.49831,1.82214,2.50109,0,0.00102337,0.00102337,0.00102337
80,1766.56,1.61846,2.64484,1.24103,1.86834,0,0.69656,0.45008,0.45159,0.17573,0.66375,0.42201,0.40573,0.1361,2.37266,3.67318,1.92692,2.50722,0,0.00101512,0.00101512,0.00101512
