epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2482,3.69443,7.83117,6.78286,4.14301,0,3e-05,0.00704,0,0,0,0,0,0,4.05198,5.14245,4.65577,4.21778,0,0.000547949,0.000547949,0.000547949
2,47.6841,3.35135,4.84818,5.37466,3.38839,0,0.00172,0.51709,0.01276,0.00357,0.00122,0.36008,0.0134,0.00343,3.07703,4.82459,4.02272,3.10712,0,0.00109815,0.00109815,0.00109815
3,69.3843,3.155,4.79465,4.45298,3.0622,0,0.16067,0.03637,0.01591,0.00287,0.04211,0.02817,0.00536,0.00136,3.4266,4.98809,6.58935,6.02817,0,0.00164286,0.00164286,0.00164286
4,91.3649,3.01201,4.69192,3.92513,3.03102,0,0.02467,0.16647,0.03087,0.00706,0.02365,0.11498,0.0296,0.00799,2.992,4.80989,3.408,2.98918,0,0.00164225,0.00164225,0.00164225
5,113.098,2.95922,4.64638,3.68032,2.98447,0,0.03816,0.0516,0.0124,0.00276,0.00281,0.00704,0.00077,0.00012,3.0394,5.05263,7.83298,2.99444,0,0.00163399,0.00163399,0.00163399
6,134.777,2.90412,4.58598,3.50753,2.88418,0,0.52876,0.08451,0.04129,0.01057,0.52456,0.04225,0.02145,0.00459,2.82486,4.45265,3.12546,2.77646,0,0.00162574,0.00162574,0.00162574
7,156.812,2.79532,4.5524,3.30808,2.7985,0,0.06813,0.09617,0.04564,0.01312,0.04126,0.07977,0.03045,0.00945,2.91173,4.36447,3.27165,2.71621,0,0.00161749,0.00161749,0.00161749
8,178.492,2.82148,4.49956,3.22314,2.79078,0,0.10638,0.14871,0.06398,0.01874,0.03245,0.08451,0.04376,0.00991,2.77558,4.39885,3.11373,2.77044,0,0.00160924,0.00160924,0.00160924
9,200.679,2.75733,4.50329,3.17629,2.76206,0,0.10896,0.10794,0.04805,0.01457,0.12685,0.09386,0.03253,0.00934,2.79816,4.33537,3.00068,2.66078,0,0.00160099,0.00160099,0.00160099
10,222.415,2.73905,4.48331,3.10518,2.74136,0,0.5801,0.08451,0.06405,0.01686,0.55166,0.0493,0.03921,0.01006,2.70426,4.3426,2.86624,2.70034,0,0.00159274,0.00159274,0.00159274
11,244.19,2.71915,4.44012,3.03751,2.74156,0,0.03626,0.14085,0.04886,0.0142,0.55245,0.08451,0.03399,0.00862,2.67637,4.34886,3.59408,2.64469,0,0.00158448,0.00158448,0.00158448
12,266.335,2.68816,4.41154,2.99502,2.67101,0,0.11165,0.15048,0.07073,0.01744,0.11198,0.17005,0.04951,0.01207,2.76814,4.29201,2.86143,2.70372,0,0.00157623,0.00157623,0.00157623
13,288.058,2.64656,4.41626,2.97958,2.68809,0,0.17866,0.20538,0.09315,0.02836,0.08428,0.12676,0.0598,0.01709,2.6319,4.24256,2.85282,2.65627,0,0.00156798,0.00156798,0.00156798
14,310.201,2.64586,4.40771,2.90224,2.64404,0,0.11922,0.15539,0.08334,0.02497,0.2064,0.09957,0.0571,0.01859,2.55569,4.25919,2.68321,2.56224,0,0.00155973,0.00155973,0.00155973
15,331.72,2.57523,4.34486,2.81355,2.62833,0,0.09259,0.21935,0.06944,0.02478,0.07581,0.12943,0.05298,0.01581,2.58502,4.19059,2.6939,2.61741,0,0.00155148,0.00155148,0.00155148
16,353.507,2.5801,4.31258,2.79279,2.61824,0,0.24553,0.14588,0.09821,0.03257,0.24869,0.15955,0.0853,0.0294,2.6502,4.14792,2.79379,2.6175,0,0.00154323,0.00154323,0.00154323
17,375.144,2.5853,4.31029,2.76153,2.58629,0,0.15206,0.22755,0.11432,0.03681,0.1498,0.14546,0.10737,0.03204,2.54654,4.18805,2.73681,2.57867,0,0.00153497,0.00153497,0.00153497
18,397.044,2.59517,4.2819,2.75504,2.61407,0,0.18907,0.30016,0.13558,0.04082,0.13555,0.25802,0.09857,0.0289,2.50861,4.1147,2.50884,2.60429,0,0.00152672,0.00152672,0.00152672
19,418.746,2.5038,4.27149,2.74741,2.58399,0,0.23538,0.19206,0.13091,0.047,0.17659,0.15008,0.08591,0.03076,2.5113,4.1242,2.63803,2.58867,0,0.00151847,0.00151847,0.00151847
20,440.263,2.54502,4.26565,2.70496,2.52577,0,0.19586,0.23936,0.11893,0.03829,0.15666,0.19113,0.08353,0.02322,2.487,4.19007,2.4706,2.51588,0,0.00151022,0.00151022,0.00151022
21,462.068,2.50402,4.19401,2.67501,2.51509,0,0.2925,0.2499,0.15825,0.04873,0.17104,0.16659,0.10922,0.03158,2.47135,4.20687,2.58253,2.52927,0,0.00150197,0.00150197,0.00150197
22,483.255,2.48089,4.20021,2.60737,2.52737,0,0.20908,0.33466,0.17376,0.06844,0.21127,0.27857,0.15428,0.05099,2.44468,3.96354,2.4356,2.51972,0,0.00149372,0.00149372,0.00149372
23,505.255,2.51932,4.19236,2.6251,2.54676,0,0.15848,0.1465,0.1039,0.03648,0.11125,0.13715,0.07501,0.02394,2.51549,4.06693,2.46492,2.49146,0,0.00148546,0.00148546,0.00148546
24,527.444,2.42719,4.14562,2.56685,2.47508,0,0.3304,0.28273,0.208,0.07479,0.22091,0.19834,0.13893,0.0396,2.42662,4.09042,2.48516,2.50181,0,0.00147721,0.00147721,0.00147721
25,549.046,2.45698,4.10637,2.57319,2.50923,0,0.18707,0.26045,0.15834,0.05853,0.142,0.1936,0.12527,0.03746,2.40729,4.03538,2.36695,2.51712,0,0.00146896,0.00146896,0.00146896
26,570.433,2.43701,4.11011,2.54414,2.48279,0,0.24947,0.27903,0.22463,0.08355,0.24598,0.22589,0.18956,0.06025,2.39807,3.92179,2.45824,2.50022,0,0.00146071,0.00146071,0.00146071
27,591.883,2.45419,4.09113,2.51309,2.4905,0,0.36676,0.26403,0.16793,0.05829,0.23881,0.28042,0.14926,0.04588,2.48624,4.02954,2.60291,2.56153,0,0.00145246,0.00145246,0.00145246
28,613.355,2.44386,4.06436,2.49822,2.47596,0,0.19729,0.29312,0.14476,0.05438,0.14203,0.20411,0.10589,0.03825,2.46486,3.96932,2.36201,2.45373,0,0.00144421,0.00144421,0.00144421
29,635.11,2.39974,4.0383,2.45723,2.44037,0,0.27774,0.29098,0.188,0.06125,0.24983,0.2616,0.1286,0.04045,2.41314,4.03758,2.3648,2.45345,0,0.00143595,0.00143595,0.00143595
30,656.829,2.3712,4.01761,2.43946,2.41767,0,0.2584,0.32614,0.23078,0.07508,0.30405,0.26634,0.19141,0.06039,2.33583,3.96314,2.57688,2.41953,0,0.0014277,0.0014277,0.0014277
31,677.986,2.4053,4.03356,2.46818,2.4442,0,0.18248,0.43792,0.1628,0.0502,0.1578,0.24175,0.09431,0.03016,2.45755,4.0582,2.49337,2.49975,0,0.00141945,0.00141945,0.00141945
32,699.882,2.36059,3.9862,2.39036,2.37893,0,0.32352,0.34753,0.2683,0.09427,0.29544,0.28723,0.23688,0.07148,2.37196,3.8624,2.13715,2.40735,0,0.0014112,0.0014112,0.0014112
