epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1535,3.65767,7.41935,6.43776,4.11735,0,5e-05,0.02113,0,0,0,0,0,0,4.10166,5.14561,4.71037,4.26738,0,0.000547949,0.000547949,0.000547949
2,50.5838,3.19557,4.77322,5.02801,3.41258,0,0.00179,0.56396,0.01059,0.00248,0.00119,0.36943,0.00417,0.00081,3.06495,6.06892,4.14647,3.2657,0,0.00109815,0.00109815,0.00109815
3,74.0938,2.94647,4.6584,4.27441,3.03303,0,0.06886,0.02113,0.0233,0.00447,0.02551,0.14304,0.01209,0.0023,2.92658,4.76725,3.47962,3.02226,0,0.00164286,0.00164286,0.00164286
4,97.068,2.90409,4.58659,3.72588,2.89824,0,0.07084,0.04225,0.03237,0.00816,0.13084,0.02113,0.01833,0.00617,3.00761,5.11711,3.82555,3.01663,0,0.00164225,0.00164225,0.00164225
5,120.253,2.77578,4.56209,3.43445,2.78706,0,0.065,0.15955,0.038,0.01007,0.02481,0.09859,0.02415,0.00713,2.83815,4.58479,3.51668,2.81692,0,0.00163399,0.00163399,0.00163399
6,143.049,2.73933,4.47681,3.1766,2.71101,0,0.56949,0.07042,0.04846,0.01196,0.56254,0.06338,0.0336,0.00877,2.85594,4.91101,3.1091,2.75812,0,0.00162574,0.00162574,0.00162574
7,166.678,2.65597,4.45165,3.05206,2.64288,0,0.17438,0.16974,0.05051,0.01442,0.18747,0.1502,0.04517,0.01032,2.78785,4.32845,3.03871,2.66097,0,0.00161749,0.00161749,0.00161749
8,189.132,2.63683,4.3186,2.8762,2.6226,0,0.12032,0.20063,0.06985,0.02149,0.09989,0.18541,0.05991,0.01815,2.67479,4.15635,3.14948,2.63838,0,0.00160924,0.00160924,0.00160924
9,212.382,2.55222,4.27789,2.77313,2.55218,0,0.12604,0.17121,0.06726,0.0197,0.07367,0.12318,0.04082,0.01203,2.74926,4.30122,2.80377,2.61064,0,0.00160099,0.00160099,0.00160099
10,235.57,2.54811,4.23491,2.7105,2.54888,0,0.21808,0.16757,0.14008,0.04896,0.27763,0.15955,0.10879,0.03602,2.73744,4.29547,2.62491,2.63203,0,0.00159274,0.00159274,0.00159274
11,258.446,2.52759,4.20753,2.62943,2.53796,0,0.25831,0.1607,0.11603,0.04275,0.23437,0.13958,0.10838,0.03226,2.64988,4.05861,3.66031,2.59599,0,0.00158448,0.00158448,0.00158448
12,281.575,2.52205,4.18654,2.61109,2.51026,0,0.17238,0.18171,0.10758,0.0364,0.15676,0.16532,0.09097,0.0326,2.56906,4.0854,2.60703,2.51597,0,0.00157623,0.00157623,0.00157623
13,304.32,2.48369,4.11286,2.56135,2.48774,0,0.19655,0.17252,0.14582,0.046,0.20833,0.1909,0.11218,0.0381,2.66413,4.25828,2.60135,2.60724,0,0.00156798,0.00156798,0.00156798
14,327.894,2.46376,4.06762,2.47143,2.47983,0,0.2232,0.24048,0.16918,0.05498,0.2284,0.19591,0.15401,0.04815,2.51417,4.11936,2.75625,2.5764,0,0.00155973,0.00155973,0.00155973
15,349.804,2.38888,4.05189,2.41552,2.44402,0,0.19268,0.23744,0.13767,0.04503,0.21138,0.20526,0.12756,0.04059,2.53349,3.95267,2.44741,2.55926,0,0.00155148,0.00155148,0.00155148
16,372.588,2.407,3.99973,2.38877,2.42224,0,0.27279,0.24705,0.16917,0.0582,0.27311,0.24457,0.1582,0.05157,2.61348,3.917,2.45635,2.58937,0,0.00154323,0.00154323,0.00154323
17,394.756,2.35866,3.94064,2.31511,2.38211,0,0.27711,0.29439,0.18705,0.06623,0.29492,0.29323,0.17186,0.05308,2.50543,3.97501,2.40467,2.50116,0,0.00153497,0.00153497,0.00153497
18,417.036,2.34286,3.9222,2.33882,2.37314,0,0.2468,0.24225,0.13784,0.05064,0.29185,0.21486,0.1296,0.03976,2.61828,4.09607,2.5011,2.53208,0,0.00152672,0.00152672,0.00152672
19,439.266,2.32055,3.87517,2.24032,2.3548,0,0.35157,0.29342,0.28649,0.09879,0.41718,0.2767,0.26176,0.07627,2.48086,3.99157,2.25203,2.50103,0,0.00151847,0.00151847,0.00151847
20,461.335,2.33715,3.85646,2.20361,2.34625,0,0.21355,0.29797,0.14296,0.0535,0.17949,0.26045,0.12003,0.04211,2.44449,3.90247,2.39285,2.41237,0,0.00151022,0.00151022,0.00151022
21,482.74,2.30386,3.83998,2.17254,2.33059,0,0.37493,0.26495,0.2369,0.08385,0.34782,0.22591,0.2145,0.07611,2.45488,3.84264,2.3185,2.42141,0,0.00150197,0.00150197,0.00150197
22,504.804,2.29641,3.79481,2.14282,2.32162,0,0.31664,0.29069,0.27275,0.08654,0.25061,0.27571,0.21382,0.06768,2.49544,3.89509,2.26188,2.39301,0,0.00149372,0.00149372,0.00149372
23,526.264,2.25019,3.75208,2.14102,2.2849,0,0.31743,0.30374,0.239,0.07918,0.39851,0.28966,0.23577,0.0673,2.54748,3.80274,2.75514,2.48344,0,0.00148546,0.00148546,0.00148546
24,549.249,2.26394,3.74533,2.13397,2.27403,0,0.29926,0.27338,0.23849,0.083,0.39017,0.25341,0.1958,0.05823,2.49187,3.98722,2.37828,2.4392,0,0.00147721,0.00147721,0.00147721
25,571.9,2.2417,3.69553,2.11269,2.2607,0,0.28091,0.30836,0.20722,0.06696,0.25079,0.25329,0.16148,0.05499,2.54383,3.80405,2.24937,2.50026,0,0.00146896,0.00146896,0.00146896
26,594.8,2.17449,3.62595,2.05699,2.23353,0,0.32381,0.43614,0.2404,0.08595,0.25233,0.31934,0.18312,0.06099,2.40424,3.69603,2.36323,2.36929,0,0.00146071,0.00146071,0.00146071
27,617.928,2.19023,3.59551,1.98656,2.24041,0,0.46374,0.41988,0.36816,0.13799,0.33134,0.3512,0.27033,0.09537,2.3744,3.67968,2.23607,2.37505,0,0.00145246,0.00145246,0.00145246
28,640.206,2.14538,3.62205,1.98217,2.19572,0,0.38933,0.32129,0.30784,0.11825,0.24947,0.3296,0.24048,0.08798,2.35197,3.74862,2.19598,2.36322,0,0.00144421,0.00144421,0.00144421
