epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5066,3.70427,8.42067,6.60245,4.17419,0,2e-05,0.00704,0,0,0,0,0,0,4.07618,5.13085,4.75273,4.23079,0,0.000547949,0.000547949,0.000547949
2,48.0718,3.39858,4.84667,5.26621,3.46892,0,0.00152,0.45959,0.00764,0.00128,0.00069,0.21231,0.00483,0.00093,3.1906,5.29022,4.21894,3.38587,0,0.00109269,0.00109269,0.00109269
3,70.4381,3.25672,4.73992,4.45251,3.10614,0,0.63016,0.02113,0.02615,0.01001,0.67355,0.02817,0.03272,0.0099,3.05854,4.71727,3.65756,3.21995,0,0.00162643,0.00162643,0.00162643
4,92.8814,3.082,4.6862,3.87283,3.01199,0,0.00267,0.43962,0.01301,0.00239,0.00138,0.25571,0.00558,0.00118,3.12599,4.70081,3.55617,3.11151,0,0.00161749,0.00161749,0.00161749
5,114.877,2.92565,4.64365,3.63989,2.93374,0,0.05368,0.05865,0.01972,0.00495,0.05181,0.0513,0.01686,0.00307,2.96892,4.9378,3.74831,3.02894,0,0.00160099,0.00160099,0.00160099
6,137.161,2.89017,4.58398,3.53018,2.90384,0,0.01357,0.33664,0.01158,0.00253,0.0018,0.5172,0.00828,0.00183,3.03176,4.50319,3.59671,2.90794,0,0.00158448,0.00158448,0.00158448
7,159.638,2.83762,4.5795,3.37343,2.81125,0,0.00458,0.68471,0.03363,0.00721,0.00392,0.57342,0.01858,0.0037,2.93718,4.49776,3.25203,2.82607,0,0.00156798,0.00156798,0.00156798
8,181.6,2.76914,4.5007,3.29436,2.76971,0,0.11831,0.09848,0.05335,0.01277,0.10605,0.07389,0.03551,0.01323,2.8171,4.35612,2.93337,2.85576,0,0.00155148,0.00155148,0.00155148
9,203.796,2.74532,4.50089,3.12899,2.70686,0,0.07579,0.23805,0.05681,0.0132,0.0617,0.19349,0.03782,0.0078,2.70853,4.31916,2.93097,2.69422,0,0.00153497,0.00153497,0.00153497
10,225.928,2.69219,4.5056,3.16235,2.7224,0,0.23465,0.14628,0.08622,0.02497,0.23549,0.09386,0.05259,0.0132,2.72981,4.37128,3.37551,2.70608,0,0.00151847,0.00151847,0.00151847
