epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,72.1804,3.36356,5.00961,5.74365,3.85357,0,0.00017,0.03752,1e-05,0,0.00012,0.03048,0,0,3.78467,5.10252,5.15683,3.97975,0,0.000547949,0.000547949,0.000547949
2,119.383,2.74805,4.34272,4.43175,3.17434,0,0.0013,0.41861,0.00111,0.0003,0.00116,0.37174,0.00076,0.00016,2.90435,4.59349,4.13326,3.26268,0,0.00109269,0.00109269,0.00109269
3,166.234,2.6139,4.15952,3.81364,2.87391,0,0.24281,0.22755,0.14403,0.04678,0.23293,0.21346,0.10768,0.0344,2.63337,4.38752,3.02398,2.90769,0,0.00162643,0.00162643,0.00162643
4,213.48,2.50295,4.09652,3.17093,2.77603,0,0.14146,0.25317,0.08782,0.02511,0.11301,0.18876,0.05539,0.02024,2.59833,4.74663,2.97963,2.86372,0,0.00161749,0.00161749,0.00161749
5,260.889,2.44625,4.00272,2.79607,2.73481,0,0.2745,0.2961,0.18522,0.05649,0.23643,0.24583,0.15308,0.03891,2.51731,4.48875,2.5991,2.78795,0,0.00160099,0.00160099,0.00160099
6,307.995,2.3755,3.90158,2.47493,2.63166,0,0.29191,0.22143,0.17021,0.06422,0.23653,0.18044,0.13134,0.04275,2.49341,4.17112,2.68366,2.80253,0,0.00158448,0.00158448,0.00158448
7,355.266,2.30207,3.7799,2.29189,2.57998,0,0.35246,0.29323,0.22689,0.07332,0.3237,0.30028,0.22072,0.0666,2.61834,3.82774,2.12799,2.74552,0,0.00156798,0.00156798,0.00156798
8,402.589,2.29454,3.69819,2.21282,2.55717,0,0.19784,0.27788,0.14262,0.03765,0.17727,0.17352,0.1122,0.03057,2.58184,4.16145,2.9845,2.78975,0,0.00155148,0.00155148,0.00155148
9,449.964,2.23494,3.59459,2.11964,2.55443,0,0.48963,0.31823,0.37424,0.13149,0.42449,0.31647,0.32124,0.11282,2.53929,3.63659,2.00998,2.76066,0,0.00153497,0.00153497,0.00153497
10,497.204,2.20181,3.54994,2.01281,2.49958,0,0.37577,0.30028,0.30647,0.08517,0.42394,0.29208,0.27362,0.07865,2.5006,3.76484,2.04994,2.76192,0,0.00151847,0.00151847,0.00151847
11,544.468,2.12778,3.42204,1.90688,2.41596,0,0.42639,0.38467,0.33657,0.12262,0.41546,0.37058,0.31659,0.11355,2.41897,3.5398,1.94434,2.64702,0,0.00150197,0.00150197,0.00150197
12,594.88,2.13561,3.45804,1.85977,2.42376,0,0.3876,0.44089,0.37014,0.12309,0.36033,0.41746,0.33714,0.10775,2.3403,3.47026,1.96367,2.55905,0,0.00148546,0.00148546,0.00148546
13,641.895,2.04538,3.36929,1.78408,2.34607,0,0.41791,0.48479,0.39873,0.132,0.38733,0.44205,0.3443,0.1192,2.32514,3.50054,2.16034,2.61109,0,0.00146896,0.00146896,0.00146896
14,689.103,2.01849,3.30833,1.7614,2.33769,0,0.6077,0.37031,0.36679,0.13827,0.60648,0.33433,0.33365,0.10896,2.32106,3.52975,2.01675,2.57675,0,0.00145246,0.00145246,0.00145246
15,736.177,2.02764,3.25717,1.72517,2.32325,0,0.48538,0.39737,0.402,0.14567,0.44762,0.35754,0.33342,0.11511,2.25521,3.69602,2.03487,2.53865,0,0.00143595,0.00143595,0.00143595
16,783.232,1.98418,3.16719,1.67805,2.32382,0,0.50397,0.41861,0.42355,0.14023,0.50314,0.40972,0.40818,0.11713,2.41029,3.56488,2.00609,2.66983,0,0.00141945,0.00141945,0.00141945
17,830.618,1.97598,3.1556,1.65926,2.30705,0,0.42691,0.41381,0.43642,0.1695,0.43896,0.4279,0.41807,0.14673,2.31279,3.45593,1.8432,2.58406,0,0.00140295,0.00140295,0.00140295
18,877.901,1.95632,3.15028,1.60581,2.28618,0,0.55591,0.44461,0.46149,0.16014,0.50993,0.41297,0.39442,0.13117,2.34155,3.51201,1.71256,2.60771,0,0.00138644,0.00138644,0.00138644
19,925.084,1.90735,3.04277,1.57729,2.22792,0,0.47325,0.42574,0.40211,0.1449,0.45038,0.39506,0.31914,0.09705,2.25035,3.85506,1.93763,2.55196,0,0.00136994,0.00136994,0.00136994
