epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1207,3.42479,5.17115,6.02266,3.90931,0,0.00018,0.03752,1e-05,0,3e-05,0.01639,0,0,3.7749,5.08796,4.94685,3.97502,0,0.000547949,0.000547949,0.000547949
2,103.218,2.84457,4.41708,4.71973,3.21776,0,0.00196,0.63669,0.04662,0.01129,0.08504,0.10425,0.05034,0.00972,2.91626,4.58072,3.74416,3.10961,0,0.00109269,0.00109269,0.00109269
3,153.76,2.67186,4.367,4.20072,2.86337,0,0.00278,0.5381,0.0395,0.01071,0.00261,0.49954,0.04419,0.011,2.72504,4.53066,4.10784,2.94881,0,0.00162643,0.00162643,0.00162643
4,203.964,2.60845,4.36178,3.567,2.79315,0,0.59236,0.13115,0.0884,0.02141,0.10238,0.18749,0.06032,0.01612,2.92219,4.46005,3.0694,2.95228,0,0.00161749,0.00161749,0.00161749
5,254.028,2.61091,4.29088,3.22813,2.73345,0,0.25728,0.21808,0.14648,0.04888,0.25115,0.18414,0.11222,0.02616,2.57625,4.27862,3.83551,2.71355,0,0.00160099,0.00160099,0.00160099
6,304.04,2.54855,4.1915,2.91056,2.72298,0,0.17009,0.13357,0.09916,0.03982,0.1721,0.11079,0.09358,0.02482,2.53193,4.1472,2.86953,2.65946,0,0.00158448,0.00158448,0.00158448
7,353.902,2.47217,4.1339,2.74125,2.65783,0,0.268,0.12958,0.16056,0.04855,0.2836,0.12842,0.14488,0.03693,2.70441,4.15193,2.78075,2.76236,0,0.00156798,0.00156798,0.00156798
8,403.126,2.41486,4.06299,2.59221,2.57689,0,0.15391,0.17467,0.10549,0.03268,0.13309,0.17352,0.07416,0.02441,2.59188,4.17455,2.556,2.71933,0,0.00155148,0.00155148,0.00155148
9,452.349,2.39514,4.01585,2.48225,2.56878,0,0.26802,0.31321,0.20193,0.06383,0.21575,0.27569,0.17626,0.06043,2.57147,3.86197,2.20854,2.64486,0,0.00153497,0.00153497,0.00153497
10,501.589,2.38192,3.95876,2.39103,2.57033,0,0.25354,0.30963,0.22595,0.08569,0.25301,0.20642,0.21927,0.06521,2.55846,4.05169,2.26714,2.71629,0,0.00151847,0.00151847,0.00151847
11,550.676,2.35413,3.89341,2.35527,2.51746,0,0.41775,0.28723,0.28136,0.09017,0.38738,0.25113,0.24859,0.06683,2.48791,3.9623,2.30617,2.59777,0,0.00150197,0.00150197,0.00150197
12,599.587,2.35461,3.83471,2.27864,2.46154,0,0.36579,0.32475,0.30212,0.09864,0.33925,0.29901,0.26676,0.08429,2.42016,3.80414,2.20326,2.51825,0,0.00148546,0.00148546,0.00148546
13,648.218,2.32832,3.85459,2.26202,2.46451,0,0.38,0.43456,0.3184,0.11636,0.34346,0.40902,0.29169,0.0998,2.30215,3.6114,2.12604,2.47611,0,0.00146896,0.00146896,0.00146896
14,696.524,2.31578,3.83579,2.18764,2.419,0,0.38106,0.35996,0.2968,0.10353,0.41899,0.29785,0.27898,0.0769,2.45985,3.87015,2.06307,2.54497,0,0.00145246,0.00145246,0.00145246
15,744.618,2.26741,3.67798,2.12942,2.41663,0,0.33564,0.3916,0.31351,0.12192,0.36447,0.30836,0.25827,0.09254,2.40042,3.87547,1.96522,2.50788,0,0.00143595,0.00143595,0.00143595
16,793.004,2.2338,3.68831,2.10972,2.41148,0,0.3889,0.40383,0.34875,0.12704,0.32114,0.35432,0.30395,0.09636,2.36246,3.69827,1.93099,2.44044,0,0.00141945,0.00141945,0.00141945
17,841.429,2.24091,3.6542,2.07633,2.38996,0,0.2878,0.43743,0.30237,0.1097,0.26273,0.405,0.2793,0.09593,2.3428,3.64981,2.13909,2.48761,0,0.00140295,0.00140295,0.00140295
18,889.455,2.22185,3.59874,2.0467,2.34115,0,0.40431,0.47957,0.34488,0.12211,0.38129,0.45613,0.31348,0.10647,2.27202,3.4734,1.96064,2.40927,0,0.00138644,0.00138644,0.00138644
19,937.587,2.12987,3.51114,2.01327,2.29939,0,0.39353,0.46291,0.36562,0.12819,0.36825,0.40926,0.33437,0.11031,2.33905,3.53842,1.94682,2.45373,0,0.00136994,0.00136994,0.00136994
20,985.656,2.24794,3.53967,1.97036,2.38852,0,0.53884,0.40453,0.40973,0.15453,0.47623,0.38109,0.37992,0.13381,2.39509,3.4436,1.87093,2.49516,0,0.00135344,0.00135344,0.00135344
21,1033.69,2.17581,3.47359,1.93597,2.31942,0,0.38328,0.4245,0.35082,0.12931,0.41025,0.41746,0.35727,0.122,2.20437,3.3869,1.89628,2.36105,0,0.00133693,0.00133693,0.00133693
22,1081.48,2.1661,3.4593,1.9351,2.30208,0,0.48902,0.38618,0.38759,0.13159,0.47252,0.36828,0.35385,0.10618,2.31137,3.51847,1.90623,2.40961,0,0.00132043,0.00132043,0.00132043
23,1129.53,2.15877,3.49953,1.93979,2.2895,0,0.56982,0.4245,0.44221,0.16379,0.63842,0.42525,0.41619,0.14753,2.22874,3.4653,2.0499,2.37892,0,0.00130393,0.00130393,0.00130393
24,1177.34,2.12387,3.44981,1.8999,2.28795,0,0.67311,0.2945,0.38395,0.14466,0.58489,0.31274,0.35758,0.12894,2.20782,3.39532,1.9358,2.38311,0,0.00128742,0.00128742,0.00128742
25,1225,2.12087,3.43846,1.89085,2.27582,0,0.39503,0.43985,0.39296,0.14404,0.41218,0.43281,0.38621,0.12611,2.32214,3.53482,1.90632,2.41221,0,0.00127092,0.00127092,0.00127092
26,1272.76,2.10533,3.40445,1.87253,2.2495,0,0.45506,0.34357,0.39324,0.14277,0.47101,0.35177,0.38922,0.14011,2.22184,3.34422,1.93297,2.38122,0,0.00125442,0.00125442,0.00125442
27,1320.49,2.08345,3.33962,1.87305,2.25415,0,0.54467,0.46317,0.46824,0.18233,0.58714,0.41746,0.43411,0.15141,2.20052,3.40621,1.81714,2.33005,0,0.00123791,0.00123791,0.00123791
28,1367.94,2.08899,3.34124,1.78895,2.2423,0,0.37705,0.47599,0.34982,0.13795,0.37023,0.36481,0.31565,0.12184,2.20887,3.47791,1.93083,2.35171,0,0.00122141,0.00122141,0.00122141
29,1415.64,2.04774,3.31673,1.79001,2.19037,0,0.50795,0.50185,0.48062,0.1911,0.4882,0.50635,0.45674,0.14665,2.19276,3.37783,1.77519,2.31541,0,0.00120491,0.00120491,0.00120491
30,1463,2.04564,3.25792,1.77336,2.19264,0,0.53884,0.49019,0.46942,0.18762,0.42752,0.43512,0.40691,0.15424,2.14489,3.50716,1.80457,2.26952,0,0.0011884,0.0011884,0.0011884
31,1510.57,2.04143,3.21732,1.7657,2.19789,0,0.54094,0.43858,0.44313,0.18762,0.4729,0.47041,0.42395,0.15318,2.23981,3.4941,1.8012,2.35702,0,0.0011719,0.0011719,0.0011719
32,1558.43,2.02175,3.25266,1.76048,2.15891,0,0.51245,0.42796,0.41282,0.17758,0.47218,0.41215,0.38062,0.13638,2.18161,3.46085,1.85543,2.32892,0,0.0011554,0.0011554,0.0011554
33,1605.92,2.02752,3.226,1.69153,2.14914,0,0.49099,0.43099,0.4422,0.1788,0.45696,0.48072,0.44771,0.16048,2.19142,3.35777,1.77465,2.30169,0,0.00113889,0.00113889,0.00113889
34,1653.32,2.00488,3.15456,1.70302,2.1482,0,0.54839,0.43184,0.49961,0.2121,0.54211,0.42092,0.46816,0.1824,2.1446,3.32707,1.68305,2.22874,0,0.00112239,0.00112239,0.00112239
35,1700.7,2.00681,3.19476,1.68693,2.14891,0,0.58381,0.53875,0.49938,0.19835,0.55059,0.44066,0.45409,0.16695,2.13574,3.26998,1.74953,2.23848,0,0.00110589,0.00110589,0.00110589
36,1748.42,2.00247,3.16356,1.65804,2.14998,0,0.55126,0.55569,0.51443,0.19331,0.53832,0.5336,0.49489,0.15834,2.14855,3.31585,1.72037,2.27132,0,0.00108938,0.00108938,0.00108938
37,1796.02,2.00045,3.15931,1.65887,2.13976,0,0.49943,0.58907,0.54321,0.2059,0.46886,0.54675,0.48169,0.18015,2.15902,3.15796,1.74715,2.30318,0,0.00107288,0.00107288,0.00107288
38,1843.79,2.00821,3.09088,1.61752,2.14306,0,0.59841,0.46709,0.4983,0.19915,0.5877,0.46879,0.46863,0.17155,2.20171,3.37477,1.74821,2.31841,0,0.00105638,0.00105638,0.00105638
39,1891.04,1.96925,3.08791,1.61766,2.09004,0,0.56238,0.46906,0.47068,0.18645,0.53065,0.49838,0.46328,0.16404,2.11976,3.17993,1.70482,2.22632,0,0.00103987,0.00103987,0.00103987
40,1938.31,1.96471,3.0862,1.61461,2.1154,0,0.63107,0.41406,0.50237,0.20747,0.55335,0.46317,0.4731,0.17112,2.13472,3.27933,1.70728,2.27224,0,0.00102337,0.00102337,0.00102337
41,1985.61,1.94626,3.08985,1.62745,2.09238,0,0.43701,0.45625,0.41293,0.15621,0.47983,0.45855,0.39056,0.14165,2.15339,3.32948,1.84419,2.25672,0,0.00100687,0.00100687,0.00100687
42,2032.78,1.97045,3.05528,1.59963,2.11606,0,0.63919,0.43027,0.50901,0.22179,0.60502,0.42723,0.50432,0.19082,2.10815,3.27076,1.71623,2.18385,0,0.000990365,0.000990365,0.000990365
43,2079.59,1.92551,3.01359,1.58294,2.07219,0,0.54514,0.54514,0.54109,0.22372,0.5754,0.49123,0.50918,0.1832,2.08443,3.25245,1.63047,2.18925,0,0.000973861,0.000973861,0.000973861
