dataset_id,dataset_label,candidate_id,run_name,augmentation,selected_for_review,completed_epoch,elapsed_seconds,box_map50,box_map50_95,mask_precision,mask_recall,mask_map50,mask_map50_95,source_zip,source_run,raw_results_csv
expanded_dataset_mrtu_v1,Expanded dataset (ShrimpDisBD-TigerShrimp_MrTuDat v1),cote_boundarylite_p4_strong,yolo11n_seg_cote_boundary_p4_light_100e,light,false,100,2156.03,0.52792,0.22723,0.64412,0.5359,0.49601,0.19913,yolo11n_seg_cote_boundarylite_p4_strong_new_data_leakage.zip,yolo11n_seg_cote_boundarylite_p4_strong_new_data_leakage/yolo11n_seg_cote_boundary_p4_light_100e,artifacts/raw_runs/yolo11n_seg_cote_boundarylite_p4_strong_new_data_leakage/yolo11n_seg_cote_boundary_p4_light_100e/results.csv
expanded_dataset_mrtu_v1,Expanded dataset (ShrimpDisBD-TigerShrimp_MrTuDat v1),cote_boundarylite_p4_strong,yolo11n_seg_cote_boundary_p4_light_200e,light,false,200,4295.69,0.48082,0.19316,0.57563,0.51099,0.42816,0.17485,yolo11n_seg_cote_boundarylite_p4_strong_new_data_leakage.zip,yolo11n_seg_cote_boundarylite_p4_strong_new_data_leakage/yolo11n_seg_cote_boundary_p4_light_200e,artifacts/raw_runs/yolo11n_seg_cote_boundarylite_p4_strong_new_data_leakage/yolo11n_seg_cote_boundary_p4_light_200e/results.csv
expanded_dataset_mrtu_v1,Expanded dataset (ShrimpDisBD-TigerShrimp_MrTuDat v1),cote_boundarylite_p4_strong,yolo11n_seg_cote_boundary_p4_strong_100e,strong,false,100,2159.13,0.52304,0.22157,0.59693,0.46973,0.48181,0.16633,yolo11n_seg_cote_boundarylite_p4_strong_new_data_leakage.zip,yolo11n_seg_cote_boundarylite_p4_strong_new_data_leakage/yolo11n_seg_cote_boundary_p4_strong_100e,artifacts/raw_runs/yolo11n_seg_cote_boundarylite_p4_strong_new_data_leakage/yolo11n_seg_cote_boundary_p4_strong_100e/results.csv
expanded_dataset_mrtu_v1,Expanded dataset (ShrimpDisBD-TigerShrimp_MrTuDat v1),cote_boundarylite_p4_strong,yolo11n_seg_cote_boundary_p4_strong_200e,strong,true,200,4398.73,0.5946,0.25819,0.61007,0.56754,0.54322,0.20909,yolo11n_seg_cote_boundarylite_p4_strong_new_data_leakage.zip,yolo11n_seg_cote_boundarylite_p4_strong_new_data_leakage/yolo11n_seg_cote_boundary_p4_strong_200e,artifacts/raw_runs/yolo11n_seg_cote_boundarylite_p4_strong_new_data_leakage/yolo11n_seg_cote_boundary_p4_strong_200e/results.csv
expanded_dataset_mrtu_v1,Expanded dataset (ShrimpDisBD-TigerShrimp_MrTuDat v1),dpca_p3p4p5_strong,yolo11n_seg_dpca_p3p4p5_light_200e,light,false,119,2592.44,0.43523,0.16447,0.53949,0.36701,0.38037,0.14708,yolo11n_seg_dpca_p3p4p5_new_data_leakage.zip,yolo11n_seg_dpca_p3p4p5_new_data_leakage/yolo11n_seg_dpca_p3p4p5_light_200e,artifacts/raw_runs/yolo11n_seg_dpca_p3p4p5_new_data_leakage/yolo11n_seg_dpca_p3p4p5_light_200e/results.csv
expanded_dataset_mrtu_v1,Expanded dataset (ShrimpDisBD-TigerShrimp_MrTuDat v1),dpca_p3p4p5_strong,yolo11n_seg_dpca_p3p4p5_strong_200e,strong,true,200,4290.89,0.60152,0.25857,0.70808,0.50113,0.54966,0.20841,yolo11n_seg_dpca_p3p4p5_new_data_leakage.zip,yolo11n_seg_dpca_p3p4p5_new_data_leakage/yolo11n_seg_dpca_p3p4p5_strong_200e,artifacts/raw_runs/yolo11n_seg_dpca_p3p4p5_new_data_leakage/yolo11n_seg_dpca_p3p4p5_strong_200e/results.csv
expanded_dataset_mrtu_v1,Expanded dataset (ShrimpDisBD-TigerShrimp_MrTuDat v1),dpca_p4_strong,yolo11n_seg_dpca_p4_light_200e,light,false,200,4535.59,0.46556,0.18258,0.53488,0.43039,0.40132,0.16178,yolo11n_seg_dpca_p4_new_data_leakage.zip,yolo11n_seg_dpca_p4_new_data_leakage/yolo11n_seg_dpca_p4_light_200e,artifacts/raw_runs/yolo11n_seg_dpca_p4_new_data_leakage/yolo11n_seg_dpca_p4_light_200e/results.csv
expanded_dataset_mrtu_v1,Expanded dataset (ShrimpDisBD-TigerShrimp_MrTuDat v1),dpca_p4_strong,yolo11n_seg_dpca_p4_strong_100e,strong,false,100,2213.71,0.50687,0.22274,0.60471,0.43974,0.4627,0.17162,yolo11n_seg_dpca_p4_new_data_leakage.zip,yolo11n_seg_dpca_p4_new_data_leakage/yolo11n_seg_dpca_p4_strong_100e,artifacts/raw_runs/yolo11n_seg_dpca_p4_new_data_leakage/yolo11n_seg_dpca_p4_strong_100e/results.csv
expanded_dataset_mrtu_v1,Expanded dataset (ShrimpDisBD-TigerShrimp_MrTuDat v1),dpca_p4_strong,yolo11n_seg_dpca_p4_strong_200e,strong,true,200,4288.87,0.57465,0.24654,0.60385,0.51947,0.52198,0.21097,yolo11n_seg_dpca_p4_new_data_leakage.zip,yolo11n_seg_dpca_p4_new_data_leakage/yolo11n_seg_dpca_p4_strong_200e,artifacts/raw_runs/yolo11n_seg_dpca_p4_new_data_leakage/yolo11n_seg_dpca_p4_strong_200e/results.csv
expanded_dataset_mrtu_v1,Expanded dataset (ShrimpDisBD-TigerShrimp_MrTuDat v1),simam_ca_strong,simam_ca_mixed_split_run_simam_ca_light,light,false,77,3684.87,0.53119,0.22152,0.71276,0.45498,0.48179,0.19528,yolo11n_simam_ca_new_data_leakage.zip,simam_ca_mixed_split_run_simam_ca_light,artifacts/raw_runs/yolo11n_simam_ca_new_data_leakage/simam_ca_mixed_split_run_simam_ca_light/results.csv
