condition,noise_id,noise_name,severity,model,mAP50,mAP50_95,mAP75,precision,recall,AP_BG_mAP50_95,AP_WSSV_mAP50_95,speed,model_path,data_yaml,cuda_visible_devices
clean,CLEAN,clean,0,baseline,0.14418131018074604,0.0414657850886188,0.010973000005464048,0.204284828227624,0.24979807226320608,0.044768038291569244,0.03816353188566835,"{'preprocess': 0.9646395226006569, 'inference': 6.922681864871101, 'loss': 0.002687909907943502, 'postprocess': 0.5996131711989628}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/resolved_clean_data.yaml,0
clean,CLEAN,clean,0,recsra,0.16036460211295228,0.04656557248773138,0.011175987245767124,0.24342293531508974,0.24695395068557527,0.05373382316831867,0.03939732180714409,"{'preprocess': 0.9472805134849681, 'inference': 8.46400239637873, 'loss': 0.0026754864479330166, 'postprocess': 0.5524132973175608}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/resolved_clean_data.yaml,0
corruption,N01,low_light_sensor_noise,1,baseline,0.09421520501137653,0.027475345394789318,0.007478366777162697,0.16950804320110263,0.20955938144027098,0.030508203500993508,0.02444248728858511,"{'preprocess': 0.9812146486633988, 'inference': 7.036127144118353, 'loss': 0.0024943423881809024, 'postprocess': 0.5084014053306771}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N01_S1/data.yaml,0
corruption,N01,low_light_sensor_noise,1,recsra,0.11324985697947049,0.03403440670414045,0.006335384496991092,0.19884004761946572,0.2128357516491337,0.042016033511583825,0.026052779896697097,"{'preprocess': 0.9766944504499898, 'inference': 8.536579837857209, 'loss': 0.00251499099872203, 'postprocess': 0.4957435045431699}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N01_S1/data.yaml,0
corruption,N01,low_light_sensor_noise,2,baseline,0.051014144118476476,0.01461179892329833,0.003021342845054359,0.1328580399609684,0.122177295000514,0.01596805320326187,0.013255544643334791,"{'preprocess': 1.0297619009105727, 'inference': 7.037433882860487, 'loss': 0.002510297235858161, 'postprocess': 0.5175141621637865}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N01_S2/data.yaml,0
corruption,N01,low_light_sensor_noise,2,recsra,0.08898928560199426,0.0256817018474741,0.006740549486912349,0.17764263694342994,0.15025381704612764,0.032412326938804636,0.018951076756143548,"{'preprocess': 1.024565261227631, 'inference': 8.588155171064255, 'loss': 0.002494225251818231, 'postprocess': 0.4955550089967752}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N01_S2/data.yaml,0
corruption,N01,low_light_sensor_noise,3,baseline,0.009972819552762888,0.0031197634480243162,0.0015663275679624435,0.08495198760212645,0.030487416842486573,0.0036627886661272494,0.0025767382299213834,"{'preprocess': 1.0059543333923797, 'inference': 7.029842999989276, 'loss': 0.0025511441669329323, 'postprocess': 0.5178849999923317}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N01_S3/data.yaml,0
corruption,N01,low_light_sensor_noise,3,recsra,0.02841626478624607,0.009203981004444679,0.0040686632453548754,0.10353543727976315,0.05163720561383585,0.013461492339960936,0.004946469668928423,"{'preprocess': 0.9774198738956035, 'inference': 8.588732189194957, 'loss': 0.002567873895902455, 'postprocess': 0.5071374954970271}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N01_S3/data.yaml,0
corruption,N01,low_light_sensor_noise,4,baseline,0.0003301132746668663,9.114657593937034e-05,1.732409088408428e-05,0.0037076869148907777,0.084124318952815,2.3556021085776564e-05,0.00015873713079296413,"{'preprocess': 0.9627808828988671, 'inference': 7.0353848108474315, 'loss': 0.002563891865901422, 'postprocess': 0.5686447477667054}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N01_S4/data.yaml,0
corruption,N01,low_light_sensor_noise,4,recsra,0.0014896340348861795,0.0003032729571199145,4.8376293931365344e-05,0.003291972682182303,0.1949030991624282,0.00037751338182430416,0.00022903253241552491,"{'preprocess': 0.9752151891908388, 'inference': 8.665729387364598, 'loss': 0.00256190084270726, 'postprocess': 0.640633954980011}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N01_S4/data.yaml,0
