noise_id,noise_name,baseline_mean_mAP50,recsra_mean_mAP50,delta_mean_mAP50,baseline_mean_mAP50_95,recsra_mean_mAP50_95,delta_mean_mAP50_95,baseline_mean_mAP75,recsra_mean_mAP75,delta_mean_mAP75,baseline_mean_precision,recsra_mean_precision,delta_mean_precision,baseline_mean_recall,recsra_mean_recall,delta_mean_recall,baseline_retention_mAP50_95,recsra_retention_mAP50_95,delta_retention_mAP50_95,qualifies_recsra_better
N07,jpeg_recompression,0.12699147251746415,0.13871916246155394,0.011727689944089792,0.0359983179332521,0.041318459490499795,0.005320141557247693,0.007706334443241297,0.010307714427255142,0.0026013799840138444,0.20497726539087893,0.21355373927631974,0.008576473885440805,0.22545709096783356,0.2364654568951591,0.011008365927325542,0.868145094957641,0.8873177603772822,0.019172665419641133,True
N06,auto_white_balance_color_cast,0.1270850384261332,0.14556699434599674,0.01848195591986354,0.03725428067591882,0.04210741750389334,0.004853136827974516,0.010671642678785592,0.010296376816611299,-0.0003752658621742934,0.1956375378512932,0.23436977443075174,0.03873223657945854,0.2508245994487985,0.24046484988814426,-0.010359749560654219,0.8984342294810206,0.904260707091862,0.00582647761084143,True
N01,low_light_sensor_noise,0.031108559204930775,0.046451747886929434,0.01534318868199866,0.00906009015023314,0.013849176256354012,0.004789086106120872,0.0024166722562127168,0.0034386799658213617,0.001022007709608645,0.0782713521409813,0.0968530997514074,0.018581747610426108,0.09359852360229291,0.13566293505772606,0.042064411455433146,0.21849556522010438,0.2974123481463231,0.07891678292621873,True
N03,localized_specular_flash_glare,0.13943532126247746,0.15237952191675036,0.012944200654272903,0.03975358354661501,0.044397524118001776,0.0046439405713867635,0.012055779215843181,0.010764614060252161,-0.0012911651555910196,0.21728671422993381,0.23679542706428225,0.019508712834348435,0.24045182994322561,0.24515703784063017,0.004705207897404556,0.9587080881660737,0.9534409596209555,-0.005267128545118127,True
N10,lens_smudge_fingerprint,0.11823465252253418,0.13041907194831706,0.012184419425782883,0.033845807770943905,0.03786047411514957,0.004014666344205664,0.0103980542264061,0.009501682704309868,-0.0008963715220962325,0.2001352862798516,0.2265918126686048,0.026456526388753177,0.2173299342768253,0.22324836866864758,0.005918434391822297,0.8162345822853752,0.8130572028320849,-0.003177379453290219,True
N02,global_overexposure_clipping,0.13576835175330457,0.14239153941426405,0.006623187660959484,0.03878920546703664,0.042164291696917613,0.0033750862298809747,0.01087699536577516,0.010468570852937746,-0.00040842451283741414,0.21187613540354344,0.2155395689438233,0.00366343354027987,0.24765837253586973,0.24431542825813463,-0.0033429442777350993,0.9354508876206759,0.9054820856766365,-0.02996880194403939,True
N04,handheld_motion_blur,0.09355731585540808,0.10643774695895206,0.012880431103543977,0.02704261340013147,0.03038155383864454,0.0033389404385130717,0.009024051950580944,0.008297898875289552,-0.0007261530752913914,0.1841907855430999,0.19792549292160766,0.013734707378507766,0.17540426073787777,0.18709180002055992,0.011687539282682152,0.6521669212903415,0.6524466943179784,0.00027977302763693146,True
N09,uneven_cast_shadow,0.1352090829373962,0.13927908792382798,0.0040700049864317855,0.03857083759144707,0.04084523086754643,0.002274393276099358,0.011415000901854834,0.011784453788075425,0.000369452886220591,0.21556697280176182,0.22170993405169398,0.006142961249932161,0.23971019542308247,0.23958273162947114,-0.00012746379361133764,0.930184669336785,0.8771551316867823,-0.053029537650002734,True
N08,low_resolution_resampling,0.138165998638399,0.1442468914390851,0.006080892800686077,0.040571731643669375,0.0413739841484118,0.0008022525047424248,0.012017869866416103,0.010179716375626808,-0.001838153490789295,0.2302662536711392,0.23774298677245626,0.007476733101317051,0.23270324632679246,0.2499023404036597,0.017199094076867233,0.9784387672140129,0.8885101575700072,-0.08992860964400573,True
N05,autofocus_defocus_blur,0.11873172714492745,0.1237776150434142,0.005045887898486742,0.03427315839374205,0.03482946506424562,0.0005563066705035688,0.009100909058176818,0.007793322170701077,-0.0013075868874757417,0.20465963502660162,0.2216128612287227,0.016953226202121086,0.22494522813211565,0.23609295300254232,0.011147724870426673,0.8265406845787439,0.7479660015652578,-0.07857468301348602,True
