epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.715,3.45278,2.02938,2.31651,0.11512,0.12998,0.0587,0.01695,3.64242,2.01567,2.49032,0.000166031,0.000166031,0.0669599
2,30.9949,3.1617,1.77473,2.13029,0.12366,0.19031,0.06869,0.01988,3.47113,1.85585,2.34423,0.000332677,0.000332677,0.0337932
3,42.1903,3.04652,1.6642,2.07489,0.14116,0.1756,0.09003,0.02686,3.48054,1.82677,2.30948,0.000499242,0.000499242,0.000626468
4,53.347,2.9546,1.62109,1.99881,0.13302,0.18562,0.09276,0.03055,3.48805,1.81584,2.3165,0.000499725,0.000499725,0.000499725
5,64.5051,2.93037,1.56726,2.01584,0.13394,0.19061,0.09072,0.0292,3.48692,1.79067,2.31851,0.000499512,0.000499512,0.000499512
6,75.654,2.91854,1.53777,1.99397,0.1527,0.21851,0.10279,0.03006,3.46886,1.7914,2.30012,0.000499237,0.000499237,0.000499237
7,86.8435,2.85465,1.47818,1.94831,0.14981,0.22115,0.09233,0.02822,3.48541,1.76277,2.31633,0.000498902,0.000498902,0.000498902
8,98.0673,2.84801,1.48283,1.93349,0.15394,0.20003,0.10167,0.03021,3.47416,1.77278,2.28162,0.000498505,0.000498505,0.000498505
9,109.245,2.80713,1.4556,1.92433,0.15031,0.21982,0.10327,0.03225,3.52395,1.76193,2.34214,0.000498048,0.000498048,0.000498048
10,120.462,2.76974,1.40835,1.90046,0.15664,0.2096,0.10823,0.03149,3.5116,1.77175,2.33537,0.000497531,0.000497531,0.000497531
11,131.657,2.74152,1.3932,1.8972,0.17758,0.22146,0.10635,0.03117,3.53964,1.81368,2.35713,0.000496953,0.000496953,0.000496953
12,142.851,2.76601,1.37927,1.90231,0.16281,0.23877,0.10226,0.03083,3.53878,1.77172,2.35042,0.000496315,0.000496315,0.000496315
13,154.023,2.75411,1.36774,1.88888,0.1821,0.22468,0.10337,0.03003,3.52809,1.74751,2.29685,0.000495616,0.000495616,0.000495616
14,165.23,2.77002,1.3831,1.8949,0.17376,0.20384,0.09336,0.02903,3.5475,1.78194,2.36426,0.000494858,0.000494858,0.000494858
15,176.392,2.73228,1.35046,1.85568,0.17825,0.23894,0.1101,0.03406,3.50285,1.7023,2.3278,0.000494039,0.000494039,0.000494039
16,187.619,2.67636,1.32348,1.85691,0.18224,0.22758,0.10536,0.03363,3.55757,1.71991,2.38584,0.000493162,0.000493162,0.000493162
17,198.755,2.698,1.31389,1.86111,0.15345,0.24452,0.10191,0.03301,3.51632,1.76731,2.34999,0.000492224,0.000492224,0.000492224
18,210.119,2.68941,1.2994,1.85523,0.15943,0.22128,0.10419,0.03266,3.51309,1.75881,2.32976,0.000491228,0.000491228,0.000491228
19,221.253,2.65658,1.29694,1.84525,0.18896,0.22018,0.11017,0.03473,3.5293,1.75196,2.36206,0.000490173,0.000490173,0.000490173
20,232.439,2.63643,1.28198,1.83323,0.18347,0.22341,0.12123,0.0371,3.5228,1.80172,2.35846,0.000489059,0.000489059,0.000489059
21,243.667,2.60347,1.25915,1.81176,0.19308,0.22372,0.12466,0.03826,3.51673,1.7263,2.34941,0.000487886,0.000487886,0.000487886
22,254.869,2.61271,1.24862,1.81665,0.16557,0.22851,0.1113,0.03322,3.51359,1.79905,2.34076,0.000486656,0.000486656,0.000486656
23,265.983,2.62777,1.25639,1.82321,0.1663,0.24118,0.10647,0.03178,3.53144,1.75157,2.35725,0.000485368,0.000485368,0.000485368
24,277.139,2.59335,1.23049,1.80067,0.17309,0.24454,0.1111,0.03335,3.54888,1.73955,2.33102,0.000484022,0.000484022,0.000484022
25,288.257,2.55221,1.20883,1.78858,0.1649,0.2522,0.11276,0.03474,3.5059,1.73959,2.32867,0.00048262,0.00048262,0.00048262
26,299.416,2.53855,1.18392,1.78463,0.15742,0.21855,0.10187,0.03137,3.54563,1.74435,2.37723,0.00048116,0.00048116,0.00048116
27,310.661,2.56944,1.19083,1.7927,0.15756,0.22647,0.10183,0.03056,3.56753,1.77525,2.35325,0.000479644,0.000479644,0.000479644
28,321.848,2.5459,1.21523,1.78225,0.16311,0.22465,0.10216,0.03325,3.50252,1.75419,2.36335,0.000478072,0.000478072,0.000478072
29,332.964,2.56823,1.2118,1.77902,0.17021,0.21254,0.10621,0.03057,3.59152,1.80813,2.39312,0.000476445,0.000476445,0.000476445
30,344.101,2.5102,1.18776,1.75336,0.16564,0.21427,0.11133,0.03289,3.56685,1.73342,2.39141,0.000474762,0.000474762,0.000474762
31,355.203,2.49946,1.17495,1.76032,0.1665,0.22394,0.10885,0.03164,3.58815,1.7405,2.38039,0.000473024,0.000473024,0.000473024
32,366.335,2.52722,1.15838,1.75615,0.18403,0.21967,0.12237,0.03533,3.57293,1.71749,2.4081,0.000471232,0.000471232,0.000471232
33,377.431,2.52311,1.23194,1.76547,0.15773,0.22617,0.10495,0.03182,3.51474,1.77194,2.36375,0.000469386,0.000469386,0.000469386
34,388.585,2.49982,1.18191,1.74046,0.17586,0.25169,0.12072,0.0354,3.54895,1.70164,2.38234,0.000467486,0.000467486,0.000467486
35,399.666,2.48103,1.16551,1.75749,0.17177,0.23806,0.11568,0.0351,3.56448,1.75527,2.44253,0.000465534,0.000465534,0.000465534
36,410.854,2.4756,1.13945,1.75265,0.17356,0.23373,0.11618,0.03557,3.57326,1.74965,2.43652,0.000463528,0.000463528,0.000463528
37,422.012,2.47987,1.13203,1.72716,0.17497,0.25929,0.11542,0.03459,3.54473,1.76828,2.36954,0.000461471,0.000461471,0.000461471
38,433.163,2.43223,1.11841,1.71809,0.18655,0.24756,0.11889,0.0362,3.51122,1.71466,2.37865,0.000459362,0.000459362,0.000459362
39,444.318,2.47046,1.16234,1.75198,0.19177,0.23922,0.1156,0.03316,3.52107,1.72137,2.36593,0.000457202,0.000457202,0.000457202
40,455.475,2.49459,1.15873,1.73822,0.17331,0.23398,0.10971,0.03297,3.51943,1.74477,2.32558,0.000454992,0.000454992,0.000454992
41,466.61,2.42625,1.11887,1.70299,0.18387,0.23103,0.10494,0.03271,3.55639,1.73544,2.39155,0.000452732,0.000452732,0.000452732
42,477.738,2.46549,1.15233,1.73164,0.18261,0.21699,0.11341,0.03355,3.56053,1.71545,2.43536,0.000450422,0.000450422,0.000450422
43,488.893,2.42872,1.10546,1.70791,0.19193,0.20268,0.11035,0.03305,3.60753,1.75763,2.40709,0.000448063,0.000448063,0.000448063
44,500.008,2.41004,1.08852,1.69726,0.1779,0.22022,0.11054,0.03425,3.60663,1.77099,2.43931,0.000445657,0.000445657,0.000445657
45,511.191,2.41586,1.11961,1.72779,0.16448,0.21484,0.10733,0.03339,3.58187,1.75866,2.4501,0.000443202,0.000443202,0.000443202
46,522.427,2.37879,1.09125,1.6777,0.16975,0.21613,0.10432,0.03192,3.61869,1.79402,2.44626,0.0004407,0.0004407,0.0004407
47,533.537,2.41404,1.09313,1.69775,0.18356,0.2232,0.11025,0.03273,3.56421,1.73764,2.3987,0.000438152,0.000438152,0.000438152
48,544.638,2.37231,1.07532,1.68547,0.17662,0.21988,0.10937,0.03188,3.57819,1.75376,2.42864,0.000435559,0.000435559,0.000435559
49,555.817,2.38218,1.07108,1.69685,0.16479,0.23822,0.10828,0.03284,3.55001,1.76934,2.42994,0.00043292,0.00043292,0.00043292
50,566.984,2.37591,1.06905,1.70424,0.18634,0.23027,0.11128,0.03073,3.62613,1.75042,2.44291,0.000430236,0.000430236,0.000430236
51,578.188,2.35557,1.06818,1.66536,0.17375,0.25294,0.11825,0.03357,3.56419,1.75686,2.38295,0.000427509,0.000427509,0.000427509
