experiment_number,group_folder,notebook_count,executed_notebook_count,raw_output_count,analysis_markdown_count,status,notebooks,raw_outputs,notes
1,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/1,3,2,0,0,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/1/001_clean-aug-off-hook-off-baseline.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/1/01_fourier-highpass-alpha01sigma50.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/01_light_aug_hook_off_baseline.ipynb,,root canonical candidate present
2,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/2,2,1,0,0,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/2/02_fourier-highpass-alpha03sigma50.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/02_fourier_highpass_s50_a0p30_no_aug_hook_off.ipynb,,root canonical candidate present
3,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/3,2,1,0,0,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/3/03_only_fourier_03_bandpass_l12_h60_a0p20_no_aug_hook_off_training_log.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/03_bandpass_l12_h60_a0p20_no_aug_hook_off.ipynb,,root canonical candidate present
4,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/4,2,1,0,0,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/4/04_only-fourier-04-bandpass-l20-h80-a0p20-no-aug-hook.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/04_bandpass_l20_h80_a0p20_no_aug_hook_off.ipynb,,root canonical candidate present
5,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/5,2,1,0,0,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/5/05_high-freq-damping.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/05_highfreq_damping_s50_a0p10_no_aug_hook_off.ipynb,,root canonical candidate present
6,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/6,2,1,0,0,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/6/06_only-fourier-06-lowfreq-flatten-s100-b0p30-no-aug.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/06_lowfreq_flatten_s100_b0p30_no_aug_hook_off.ipynb,,root canonical candidate present
7,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/7,2,1,0,0,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/7/07_only-fourier-07-homomorphic-s50-gl0p70-gh1p20-no-a.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/07_homomorphic_s50_gl0p70_gh1p20_no_aug_hook_off.ipynb,,root canonical candidate present
8,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/8,2,1,0,0,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/8/08_only-fourier-08-random-highpass-train-aug-a005-a02.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/08_random_highpass_train_aug_a005_a020_no_yolo_aug_hook_off.ipynb,,root canonical candidate present
9,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/9,2,1,0,0,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/9/09_only-fourier-09-mixed-original-highpass-a0p10-trai.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/09_mixed_original_highpass_a0p10_train_no_yolo_aug_hook_off.ipynb,,root canonical candidate present
10,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/10,2,1,0,0,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/1to10/10/10_only-fourier-10-train-only-highpass-a0p10-eval-ori.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/010_train_only_highpass_a0p10_eval_original_hook_off.ipynb,,root canonical candidate present
11,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/11,2,1,1,0,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/11/11_only-fourier-11-highpass-alpha-sweep-005-015-020-n.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/011_highpass_alpha_sweep_005_015_020_no_aug_hook_off.ipynb,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/11/11_only_fourier_highpass_alpha_sweep_005_015_020_no_aug_hook_off_summary.csv,root canonical candidate present
12,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/12,2,1,0,0,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/12/12_only_fourier_12_factorial_A_H_highpass_s50_a0p10.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/012_factorial_A_H_highpass_s50_a0p10.ipynb,,root canonical candidate present
13,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/013_mode_G_fourier_tuning,4,3,5,2,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/013_mode_G_fourier_tuning/013-mode-g-fourier-tuning-seed42.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/013_mode_G_fourier_tuning/013-mode-g-fourier-tuning-seed42_1.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/013_mode_G_fourier_tuning/013_mode_G_fourier_tuning_seed42.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/013-mode-g-fourier-tuning-seed42.ipynb,shrimp-leakage-aware-segmentation/ONLY_fourier/evidence/intake_downloads/only_fourier_mode_G_fourier_tuning_seed42_paper_row.csv; shrimp-leakage-aware-segmentation/ONLY_fourier/evidence/intake_downloads/only_fourier_mode_G_fourier_tuning_seed42_partial.csv; shrimp-leakage-aware-segmentation/ONLY_fourier/evidence/intake_downloads/only_fourier_mode_G_fourier_tuning_seed42_summary.csv; shrimp-leakage-aware-segmentation/ONLY_fourier/evidence/intake_downloads/only_fourier_mode_G_highpass_local_sweep_seed42_paper_row.csv; shrimp-leakage-aware-segmentation/ONLY_fourier/evidence/intake_downloads/only_fourier_mode_G_highpass_local_sweep_seed42_summary.csv,root canonical candidate present; unique Downloads evidence present
14,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/14_highpass_local_sweep,2,2,2,1,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/14_highpass_local_sweep/014-mode-g-highpass-local-sweep-seed42.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/014-mode-g-highpass-local-sweep-seed42.ipynb,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/14_highpass_local_sweep/only_fourier_mode_G_highpass_local_sweep_seed42_paper_row.csv; shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/14_highpass_local_sweep/only_fourier_mode_G_highpass_local_sweep_seed42_summary.csv,root canonical candidate present
15,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/015_fourier_attention_interaction,4,3,0,2,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/015_fourier_attention_interaction/015_fourier_G4_simam_ca_interaction_seed42.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/015_fourier_attention_interaction/015_modeA-fouirer-hev-aug-attention.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/015_fourier_attention_interaction/015_modeBCD_fouirer-hev-aug-attention.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/015_modeA-fouirer-hev-aug-attention.ipynb,,root canonical candidate present
16,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/16,1,0,1,0,raw_output_without_executed_notebook,shrimp-leakage-aware-segmentation/ONLY_fourier/016_fourier_strongaug_hook_ablation_seed42.ipynb,shrimp-leakage-aware-segmentation/ONLY_fourier/evidence/intake_downloads/only_fourier_strongaug_hook_ablation_seed42_summary.csv,root canonical candidate present; unique Downloads evidence present
17,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/015_fourier_attention_interaction,2,1,5,0,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/015_fourier_attention_interaction/017-learnable-feature-fourier-fddem-no-aug-hook-of (1).ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/017_learnable_feature_fourier_fddem_no_aug_hook_off_seed42.ipynb,shrimp-leakage-aware-segmentation/ONLY_fourier/evidence/intake_downloads/only_fourier_feature_refinement_no_aug_hook_off_seed42_paper_row (1).csv; shrimp-leakage-aware-segmentation/ONLY_fourier/evidence/intake_downloads/only_fourier_feature_refinement_no_aug_hook_off_seed42_paper_row (2).csv; shrimp-leakage-aware-segmentation/ONLY_fourier/evidence/intake_downloads/only_fourier_feature_refinement_no_aug_hook_off_seed42_paper_row (3).csv; shrimp-leakage-aware-segmentation/ONLY_fourier/evidence/intake_downloads/only_fourier_learnable_feature_fddem_no_aug_hook_off_seed42_paper_row.csv; shrimp-leakage-aware-segmentation/ONLY_fourier/evidence/intake_downloads/only_fourier_learnable_feature_fddem_no_aug_hook_off_seed42_summary.csv,root canonical candidate present; unique Downloads evidence present
18,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/018_only_fourier_diff_methods,2,1,2,0,complete,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/018_only_fourier_diff_methods/018-fourier-feature-refinement-no-aug-hook-off-see.ipynb; shrimp-leakage-aware-segmentation/ONLY_fourier/018_fourier_feature_refinement_no_aug_hook_off_seed42.ipynb,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/018_only_fourier_diff_methods/only_fourier_feature_refinement_no_aug_hook_off_seed42_paper_row.csv; shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/018_only_fourier_diff_methods/only_fourier_feature_refinement_no_aug_hook_off_seed42_summary.csv,root canonical candidate present
19,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/19,1,0,1,0,raw_output_without_executed_notebook,shrimp-leakage-aware-segmentation/ONLY_fourier/019_fddem_band_tuning_gamma001_no_aug_hook_off_seed42.ipynb,shrimp-leakage-aware-segmentation/ONLY_fourier/evidence/intake_downloads/only_fourier_fddem_band_tuning_gamma001_no_aug_hook_off_seed42_paper_row.csv,root canonical candidate present; unique Downloads evidence present
20,shrimp-leakage-aware-segmentation/ONLY_fourier/training_log/11to20/20,1,0,1,0,raw_output_without_executed_notebook,shrimp-leakage-aware-segmentation/ONLY_fourier/020_fddem_cutoff_sweep_gamma001_no_aug_hook_off_seed42.ipynb,shrimp-leakage-aware-segmentation/ONLY_fourier/evidence/intake_downloads/only_fourier_fddem_cutoff_sweep_gamma001_no_aug_hook_off_seed42_paper_row.csv,root canonical candidate present; unique Downloads evidence present
