source_group,source_file,source_table_kind,source_priority,run_family,run_label,mode,experiment,name,policy,split_policy,split_fingerprint,seed,training_seed,model,params_million,ultralytics_version,fourier_enabled,fourier_transform,fourier_sigma,fourier_alpha,fourier_policy,preprocessing_policy,clean_light_aug_enabled,default_hook_enabled,strong_aug_enabled,attention_enabled,attention_policy,baseline_augmentation_policy,hidden_albumentations_disabled,train_epochs_requested,train_patience,epochs_ran,best_epoch_by_mask_map50,train_time_min,train_images_used,actual_train_image_files,eval_domain,full_test_mask_map50,full_test_mask_map50_95,labeled_test_mask_map50,labeled_test_mask_map50_95,healthy_test_mask_fp_rate,healthy_test_fp_masks_per_image,labeled_test_disease_mask_miss_rate,labeled_test_mask_count_mae,healthy_aware_labeled_val_mask_map50,healthy_aware_labeled_test_mask_map50,best_pt,run_path,notes,metric_row_id,beats_054_map50,delta_vs_054_map50,delta_vs_G4_reference_map50
factorial_A_H_highpass_s50_a0p10,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\only_fourier_factorial_A_H_highpass_s50_a0p10_summary.csv,csv_summary,2,factorial_A_H_highpass_s50_a0p10,G,G,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,50.0,0.1,highpass_s50_a0p10_all_splits,fourier_highpass,1.0,1.0,,,,clean_light_yolo_aug,0.0,100,40,100.0,28.0,30.26,,905.0,,0.5030983427376186,0.1613277908212959,0.5317711903382856,0.1709041492404407,0.2439024390243902,0.2926829268292683,0.1022727272727272,0.4375,0.4475210299907208,0.4701650373449375,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G_fourier_on_clean_aug_on_default_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G_fourier_on_clean_aug_on_default_hook_on,Normalized from full summary CSV.,018_factorial_A_H_highpass_s50_a0p10_G,False,-0.008228809661714465,0.0
mode_G_fourier_tuning,shrimp-leakage-aware-segmentation\ONLY_fourier\mode_G_fourier_tuning\training_log\013-mode-g-fourier-tuning-seed42.ipynb,notebook_rendered_table,3,mode_G_fourier_tuning_seed42,G4,G4,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,,,,,,,,,,,,,,100,40,,,,,,,,,0.531771,0.170904,0.243902,0.292683,0.102273,0.4375,,0.470165,,,Extracted from rendered notebook output table; use rerun CSV when available.,035_mode_G_fourier_tuning_seed42_G4,False,-0.008229000000000042,-1.9033828557724064e-07
factorial_A_H_highpass_s50_a0p10,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\only_fourier_factorial_A_H_highpass_s50_a0p10_summary.csv,csv_summary,2,factorial_A_H_highpass_s50_a0p10,D,D,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,False,none,,,none,none,1.0,1.0,,,,clean_light_yolo_aug,0.0,100,40,96.0,56.0,26.64,,905.0,,0.4815317066431566,0.158036179598201,0.5120017724041486,0.167785262966108,0.2439024390243902,0.2682926829268293,0.0795454545454545,0.3219696969696969,0.4410794996957484,0.4595812254714065,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_D_fourier_off_clean_aug_on_default_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_D_fourier_off_clean_aug_on_default_hook_on,Normalized from full summary CSV.,019_factorial_A_H_highpass_s50_a0p10_D,False,-0.027998227595851466,-0.019769417934137
canonical_markdown_summary,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\training_log_summary.md,markdown_main_results,1,training_log_summary_main_results,Hook-on clean baseline anchor,,Hook-on clean baseline anchor,Hook-on clean baseline anchor,"no Fourier, clean-light YOLO aug, hook on",stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,False,none,,,,,True,True,,,,,False,100,40,86.0,56.0,,905.0,905.0,original,,,0.511424,0.163868,0.243902,0.268293,0.079545,0.331439,,0.45853,,,Canonical row from training_log_summary.md Main Results table.,016_training_log_summary_main_results_Hook-on_clean_baseline_anchor,False,-0.028576000000000046,-0.02034719033828558
mode_G_highpass_local_sweep_seed42,shrimp-leakage-aware-segmentation\ONLY_fourier\highpass_local_sweep\training_log\only_fourier_mode_G_highpass_local_sweep_seed42_summary.csv,csv_summary,2,mode_G_highpass_local_sweep_seed42,T1,T1,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,35.0,0.08,highpass_boost_s35_a0.080_all_splits,fourier_highpass,1.0,1.0,,,,clean_light_yolo_aug,0.0,100,40,100.0,70.0,35.87,,905.0,,0.4494325487004967,0.1577637191680641,0.486738276115596,0.1697868053942021,0.4146341463414634,0.4634146341463415,0.0568181818181818,0.3712121212121211,0.4235715223411501,0.4181915281481164,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T1_highpass_s35_a0p08_clean_aug_on_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T1_highpass_s35_a0p08_clean_aug_on_hook_on,Normalized from full summary CSV.,025_mode_G_highpass_local_sweep_seed42_T1,False,-0.05326172388440403,-0.04503291422268957
mode_G_highpass_local_sweep_seed42,shrimp-leakage-aware-segmentation\ONLY_fourier\highpass_local_sweep\training_log\only_fourier_mode_G_highpass_local_sweep_seed42_summary.csv,csv_summary,2,mode_G_highpass_local_sweep_seed42,T6,T6,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,40.0,0.12,highpass_boost_s40_a0.120_all_splits,fourier_highpass,1.0,1.0,,,,clean_light_yolo_aug,0.0,100,40,100.0,17.0,29.62,,905.0,,0.4497222464882138,0.1527929187077059,0.4848696936914167,0.1624473496406801,0.3414634146341463,0.3658536585365853,0.125,0.3977272727272727,0.4100592193175871,0.4120869885916385,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T6_highpass_s40_a0p12_clean_aug_on_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T6_highpass_s40_a0p12_clean_aug_on_hook_on,Normalized from full summary CSV.,026_mode_G_highpass_local_sweep_seed42_T6,False,-0.05513030630858334,-0.04690149664686888
mode_G_highpass_local_sweep_seed42,shrimp-leakage-aware-segmentation\ONLY_fourier\highpass_local_sweep\training_log\only_fourier_mode_G_highpass_local_sweep_seed42_summary.csv,csv_summary,2,mode_G_highpass_local_sweep_seed42,T3,T3,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,35.0,0.12,highpass_boost_s35_a0.120_all_splits,fourier_highpass,1.0,1.0,,,,clean_light_yolo_aug,0.0,100,40,100.0,99.0,34.86,,905.0,,0.4501871917756742,0.158191049942898,0.4767208202606478,0.165574204558741,0.4146341463414634,0.4634146341463415,0.1022727272727272,0.3428030303030303,0.4263916315484749,0.4027763450204409,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T3_highpass_s35_a0p12_clean_aug_on_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T3_highpass_s35_a0p12_clean_aug_on_hook_on,Normalized from full summary CSV.,027_mode_G_highpass_local_sweep_seed42_T3,False,-0.06327917973935221,-0.055050370077637745
canonical_markdown_summary,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\training_log_summary.md,markdown_main_results,1,training_log_summary_main_results,Clean aug hook-off control,,Clean aug hook-off control,Clean aug hook-off control,"no Fourier, clean-light YOLO aug",stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,False,none,,,,,True,False,,,,,True,100,40,100.0,,,905.0,905.0,original,,,0.473408,0.158613,0.390244,0.439024,0.090909,0.518939,,0.3948,,,Canonical row from training_log_summary.md Main Results table.,002_training_log_summary_main_results_Clean_aug_hook-off_control,False,-0.06659200000000004,-0.058363190338285575
factorial_A_H_highpass_s50_a0p10,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\only_fourier_factorial_A_H_highpass_s50_a0p10_summary.csv,csv_summary,2,factorial_A_H_highpass_s50_a0p10,C,C,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,False,none,,,none,none,1.0,0.0,,,,clean_light_yolo_aug,1.0,100,40,100.0,64.0,27.47,,905.0,,0.4468493537337749,0.1503753310971147,0.473407811181355,0.158613021953826,0.3902439024390244,0.4390243902439024,0.0909090909090909,0.5189393939393939,0.4548696496406144,0.3948000876041192,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_C_fourier_off_clean_aug_on_default_hook_off/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_C_fourier_off_clean_aug_on_default_hook_off,Normalized from full summary CSV.,017_factorial_A_H_highpass_s50_a0p10_C,False,-0.06659218881864504,-0.05836337915693057
mode_G_fourier_tuning,shrimp-leakage-aware-segmentation\ONLY_fourier\mode_G_fourier_tuning\training_log\013-mode-g-fourier-tuning-seed42.ipynb,notebook_rendered_table,3,mode_G_fourier_tuning_seed42,G8,G8,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,,,,,,,,,,,,,,100,40,,,,,,,,,0.471856,0.174861,0.463415,0.731707,0.034091,0.346591,,0.403071,,,Extracted from rendered notebook output table; use rerun CSV when available.,034_mode_G_fourier_tuning_seed42_G8,False,-0.06814400000000004,-0.05991519033828557
