image_index,filename,stratum,original_height,original_width,label_instances
0,Healthy-136-img-1_jpg.rf.fdc35bb6ce35b407deb6c6efb264c819.jpg,Healthy,2048,2048,0
1,Healthy-111-img-1_jpg.rf.9f2421ddb071fac4c2d8c7652b61d3ec.jpg,Healthy,2048,2048,0
2,Healthy-136-img-2_jpg.rf.a2a513d9986ba387f62ed694ffd45fb5.jpg,Healthy,2048,2048,0
3,Healthy-78-img-2_jpg.rf.a3b2cf1f57a7640088ed8102fa91aac2.jpg,Healthy,2048,2048,0
4,Healthy-32-img-3_jpg.rf.b8c2755afeb873e00e74dbf953046f77.jpg,Healthy,2048,2048,0
5,Healthy-32-img-2_jpg.rf.2db3bf9a7f53ef014f94c089dddd7329.jpg,Healthy,2048,2048,0
6,BG-35-img-1_jpg.rf.d6ca09f61ee2b428d7f89f7c677bcf84.jpg,BG,2048,2048,1
7,BG-25-img-2_jpg.rf.d0cd8eab6ea2f1cc30811a9f018894c7.jpg,BG,2048,2048,1
8,BG-21-img-1_jpg.rf.9bfc050bcfb821988aa4b65da8264bbb.jpg,BG,2048,2048,1
9,BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,2048,2048,1
10,BG-21-img-2_jpg.rf.782a5eed29865423babedbe507fbad57.jpg,BG,2048,2048,1
11,BG-41-img-2_jpg.rf.698ab1840c3193a59221e2eeb28f7b3c.jpg,BG,2048,2048,1
12,WSSV-18-img-3_jpg.rf.fd00f14466ebaa2e151291c345293465.jpg,WSSV,2048,2048,1
13,WSSV-106-img-2_jpg.rf.512b1a953e19dc4b8f39b731b5ff16cf.jpg,WSSV,2048,2048,1
14,WSSV-1-img-2_jpg.rf.40688fc7481929d84ec37db2c3cac016.jpg,WSSV,2048,2048,1
15,WSSV-19-img-2_jpg.rf.62a78b5e0e48205859a5f80cd218115b.jpg,WSSV,2048,2048,1
16,WSSV-65-img-3_jpg.rf.f4a72a362d654ab8bd44a97d89138d80.jpg,WSSV,2048,2048,1
17,WSSV-18-img-2_jpg.rf.73a4abd889d17222e3d6dd795be929c1.jpg,WSSV,2048,2048,1
18,WSSV_BG-46-img-1_jpg.rf.a3f23f96783ebde9b37e9936ae3325f6.jpg,WSSV_BG,2048,2048,2
19,WSSV_BG-4-img-2_jpg.rf.31ae5fc52e438d7b99a716254264916e.jpg,WSSV_BG,2048,2048,3
20,WSSV_BG-33-img-1_jpg.rf.90d11fdfacbbb40f5dcb57837e5e0a1e.jpg,WSSV_BG,2048,2048,2
21,WSSV_BG-58-img-2_jpg.rf.309de253f103119506669b53fe80ffa2.jpg,WSSV_BG,2048,2048,2
22,WSSV_BG-37-img-3_jpg.rf.a8f25c6708ad231f5834feaf7266b498.jpg,WSSV_BG,2048,2048,2
23,WSSV_BG-33-img-2_jpg.rf.bb7f66f7b91d78ebf1dfb74cd627beae.jpg,WSSV_BG,2048,2048,2
