split,source_dataset,class_name,images,experiment
test,ShrimpDB,BG,16,shrimpdb3
test,ShrimpDB,Healthy,11,shrimpdb3
test,ShrimpDB,WSSV,20,shrimpdb3
train,ShrimpDB,BG,78,shrimpdb3
train,ShrimpDB,Healthy,49,shrimpdb3
train,ShrimpDB,WSSV,94,shrimpdb3
val,ShrimpDB,BG,17,shrimpdb3
val,ShrimpDB,Healthy,10,shrimpdb3
val,ShrimpDB,WSSV,20,shrimpdb3
test,ShrimpDB,BG,16,combined4
test,ShrimpDB,Healthy,11,combined4
test,ShrimpDB,WSSV,20,combined4
test,ShrimpDiseaseDB,BG,29,combined4
test,ShrimpDiseaseDB,Healthy,61,combined4
test,ShrimpDiseaseDB,WSSV,50,combined4
test,ShrimpDiseaseDB,WSSV_BG,33,combined4
train,ShrimpDB,BG,78,combined4
train,ShrimpDB,Healthy,49,combined4
train,ShrimpDB,WSSV,94,combined4
train,ShrimpDiseaseDB,BG,139,combined4
train,ShrimpDiseaseDB,Healthy,282,combined4
train,ShrimpDiseaseDB,WSSV,229,combined4
train,ShrimpDiseaseDB,WSSV_BG,154,combined4
val,ShrimpDB,BG,17,combined4
val,ShrimpDB,Healthy,10,combined4
val,ShrimpDB,WSSV,20,combined4
val,ShrimpDiseaseDB,BG,30,combined4
val,ShrimpDiseaseDB,Healthy,60,combined4
val,ShrimpDiseaseDB,WSSV,49,combined4
val,ShrimpDiseaseDB,WSSV_BG,33,combined4
