source_dataset,original_class,source_path,filename,suffix,bytes,width,height,mode,sha256,class_name
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/mancha-branca_pag61_88.jpg_no_bg.png,mancha-branca_pag61_88.jpg_no_bg.png,.png,163682,451,235,RGBA,029ba0fe938e98dcf6b29c7152b6ac51910cec28531cef8ab08a47bf51fb10c9,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/6.8100480-3x2-940x627.jpg_no_bg.png,6.8100480-3x2-940x627.jpg_no_bg.png,.png,232217,612,408,RGBA,1b95bcf2a898f016c6407a2cb47091a42dc8f6ae948334d5709311e5beccef38,WSSV
ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/image0111.jpg_no_bg.png,image0111.jpg_no_bg.png,.png,70878,295,211,RGBA,2580cc9150225f0e09bb4e09de4cbe74e078f0149902697326113e489c59ef8f,BG
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/27.tt0.PNG_no_bg.png,27.tt0.PNG_no_bg.png,.png,153203,359,315,RGBA,277f8ef9d520b4b0b2b66b7b91dc97ecd971e69a6fe661fe3ecf13a5651f7db3,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/tt0 (1).PNG_no_bg.png,tt0 (1).PNG_no_bg.png,.png,153203,359,315,RGBA,277f8ef9d520b4b0b2b66b7b91dc97ecd971e69a6fe661fe3ecf13a5651f7db3,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/dom-trang-tom.jpg_no_bg.png,dom-trang-tom.jpg_no_bg.png,.png,225592,612,408,RGBA,2be38c55e81acff9444936b04a884509b471abb75c191e2e08b9e2af669869d5,WSSV
ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/den-mang-tom.jpg_no_bg.png,den-mang-tom.jpg_no_bg.png,.png,134617,448,336,RGBA,2cee7343631bfff1b95eeaac74d4272c6d0fba271d5d0eb0f448efd7617f1091,BG
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/images (5).jpg_no_bg.png,images (5).jpg_no_bg.png,.png,57460,247,204,RGBA,2d2c4277dd9fefe4efd4dc2a8c396dfb1d9c011f654413b7fa836a84ae7c56e8,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/26.kinh-nghiem-xu-ly-benh-dom-trang-tren-tom1.jpg_no_bg.png,26.kinh-nghiem-xu-ly-benh-dom-trang-tren-tom1.jpg_no_bg.png,.png,301317,612,408,RGBA,35018dad4fa69e0120d8348b2916786bcb8fa7e341091fd0d42da6629ee6c1f9,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/13.dt.jpg_no_bg.png,13.dt.jpg_no_bg.png,.png,188031,576,434,RGBA,3972d87d6d548c01c661a4bd40a19a9d76d86fb28f87b1aafd93e7f5f3e22fab,WSSV
