source_dataset,audit_label,source_path,filename,suffix,bytes,width,height,mode,sha256
ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/15.cac-benh-thuong-gap-o-tom-the-chan-trang.jpg_no_bg.png,15.cac-benh-thuong-gap-o-tom-the-chan-trang.jpg_no_bg.png,.png,138965,557,296,RGBA,22388c5879f0f5084d693439280dcf9fa7c69dd03a39083bb1f73b733114d980
ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/338173_1_En_6_Fig83_HTML.jpg_no_bg.png,338173_1_En_6_Fig83_HTML.jpg_no_bg.png,.png,153325,540,214,RGBA,25c95e829ab98e911883f75b946f3acb30a5832e537d8a3e675dc277c69cba4a
ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/8030c763-62d2-47fa-abd5-d9f81ef848d0-large16x9_Shrimp1.jpg,8030c763-62d2-47fa-abd5-d9f81ef848d0-large16x9_Shrimp1.jpg,.jpg,84955,986,555,RGB,b67506dfe079e1ed9829635b7fe30e48ff04e928f3de104b059c7759a51bbdc9
ShrimpDB,Dom_Den,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Den/2018-05-14-tom-the-chan-trang_15262632035.jpg_no_bg.png,2018-05-14-tom-the-chan-trang_15262632035.jpg_no_bg.png,.png,266930,613,408,RGBA,e4df003ca82a97406c14a81d4eb40bc2f87962ee25b70c22d170f6758e526799
ShrimpDB,Dom_Den,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Den/nguyên nhân gây bệnh đốm đen.jpg_no_bg.png,nguyên nhân gây bệnh đốm đen.jpg_no_bg.png,.png,138965,557,296,RGBA,22388c5879f0f5084d693439280dcf9fa7c69dd03a39083bb1f73b733114d980
ShrimpDB,Dom_Den,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Den/nguyên nhân gây bệnh đốm đen1.jpg_no_bg.png,nguyên nhân gây bệnh đốm đen1.jpg_no_bg.png,.png,138965,557,296,RGBA,22388c5879f0f5084d693439280dcf9fa7c69dd03a39083bb1f73b733114d980
ShrimpDB,Dom_Den,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Den/tom-bi-hoi-chung-taura.jpg_no_bg.png,tom-bi-hoi-chung-taura.jpg_no_bg.png,.png,138965,557,296,RGBA,22388c5879f0f5084d693439280dcf9fa7c69dd03a39083bb1f73b733114d980
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/338173_1_En_6_Fig83_HTML.jpg_no_bg.png,338173_1_En_6_Fig83_HTML.jpg_no_bg.png,.png,153325,540,214,RGBA,25c95e829ab98e911883f75b946f3acb30a5832e537d8a3e675dc277c69cba4a
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/8030c763-62d2-47fa-abd5-d9f81ef848d0-large16x9_Shrimp1.jpg,8030c763-62d2-47fa-abd5-d9f81ef848d0-large16x9_Shrimp1.jpg,.jpg,84955,986,555,RGB,b67506dfe079e1ed9829635b7fe30e48ff04e928f3de104b059c7759a51bbdc9
ShrimpDB,Tom_BT,/kaggle/input/datasets/vohoangtu/shrimpdb/Tom_BT/2018-05-14-tom-the-chan-trang_15262632035.jpg_no_bg.png,2018-05-14-tom-the-chan-trang_15262632035.jpg_no_bg.png,.png,266930,613,408,RGBA,e4df003ca82a97406c14a81d4eb40bc2f87962ee25b70c22d170f6758e526799
