Index,source_dataset,original_class,source_path,filename,suffix,bytes,width,height,mode,sha256,class_name,split,label,materialized_path
90,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/0619WEB_tpwd_1557846179.jpg_no_bg.png,0619WEB_tpwd_1557846179.jpg_no_bg.png,.png,149112,905,276,RGBA,4ba70ceb1978fc29ba053bdf0c906b8bfdfed1debb09f2e721dd48911be37bc0,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/4ba70ceb1978_sdb_00000.png
22,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/15.cac-benh-thuong-gap-o-tom-the-chan-trang.jpg,15.cac-benh-thuong-gap-o-tom-the-chan-trang.jpg,.jpg,333705,557,296,CMYK,13cab7a4c45a06fc2831527731b6e9221ccfe4180c3d46ad92db5a973eec043b,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/13cab7a4c45a_sdb_00001.jpg
81,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/2010-10-20-shrimp.jpg_no_bg.png,2010-10-20-shrimp.jpg_no_bg.png,.png,184782,500,333,RGBA,42bad25f19a00b10cd643d464d971d3acfb8d7dc23779e5e0e6cb3c0b76c6f92,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/42bad25f19a0_sdb_00002.png
157,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/2018-11-29-tom5.jpg_no_bg.png,2018-11-29-tom5.jpg_no_bg.png,.png,268834,600,337,RGBA,81016ef90d1b88240ac8d50846dc608e58ea12e21b1be3374697e10a96fefe5a,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/81016ef90d1b_sdb_00003.png
204,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/22.Black-Tiger-Shrimp-fish-20pcs.jpg_no_bg.png,22.Black-Tiger-Shrimp-fish-20pcs.jpg_no_bg.png,.png,110829,444,563,RGBA,a220d7a866249ea0aaba8ff3dc9d4242088807a0e547d9ac965b6e511da57e88,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/a220d7a86624_sdb_00004.png
100,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/41.thao-duoc-hi-para-tri-den-mang-tom-the-tom-su.jpg_no_bg.png,41.thao-duoc-hi-para-tri-den-mang-tom-the-tom-su.jpg_no_bg.png,.png,224232,500,500,RGBA,50b42e629cefc8e02fb1252dfbb25f8eb947f162ae26d8d175ac24d2fc5ed9a5,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/50b42e629cef_sdb_00005.png
34,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/52.h2s_hinhchuthich3.JPG_no_bg.png,52.h2s_hinhchuthich3.JPG_no_bg.png,.png,206399,410,307,RGBA,1a628f0087809e59e1d1722ed14d0a66a55572e0781a9d306b4797ca606a157b,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/1a628f008780_sdb_00006.png
249,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/5c6d9c88cb7f6.image2.jpg_no_bg.png,5c6d9c88cb7f6.image2.jpg_no_bg.png,.png,135414,1038,241,RGBA,bca5423ee6316153694a0dfacd19ffd972c5ab28daca49325009dcf53d2b7560,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/bca5423ee631_sdb_00007.png
234,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/5c6d9c88cb7f6.image3.jpg_no_bg.png,5c6d9c88cb7f6.image3.jpg_no_bg.png,.png,186106,755,331,RGBA,b4433b97e9c23d530d60e02d1f77dd5ad4a41d0ede1154cde501366bc6bd3ec2,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/b4433b97e9c2_sdb_00008.png
46,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/9.tomcangxanh8.png,9.tomcangxanh8.png,.png,162528,611,195,RGBA,26dac55272c37dd4ecb7a355bc8151e764df3e31c0a953ba2fc8fd9803d49cf7,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/26dac55272c3_sdb_00009.png
