split,source_dataset,class_name,images
test,ShrimpDB,BG,16
test,ShrimpDB,Healthy,11
test,ShrimpDB,WSSV,20
test,ShrimpDiseaseDB,BG,29
test,ShrimpDiseaseDB,Healthy,61
test,ShrimpDiseaseDB,WSSV,50
test,ShrimpDiseaseDB,WSSV_BG,33
train,ShrimpDB,BG,78
train,ShrimpDB,Healthy,49
train,ShrimpDB,WSSV,94
train,ShrimpDiseaseDB,BG,139
train,ShrimpDiseaseDB,Healthy,282
train,ShrimpDiseaseDB,WSSV,229
train,ShrimpDiseaseDB,WSSV_BG,154
val,ShrimpDB,BG,17
val,ShrimpDB,Healthy,10
val,ShrimpDB,WSSV,20
val,ShrimpDiseaseDB,BG,30
val,ShrimpDiseaseDB,Healthy,60
val,ShrimpDiseaseDB,WSSV,49
val,ShrimpDiseaseDB,WSSV_BG,33
